"","chimp","DOB.x","Dam.x","Sire.x","Sex.x","Rater.x","DOPR.x","DaysAgeatTest","YearsAgeatTest","location.x","Version.x","Group.size.x","fear.x","dom.x","pers.x","caut.x","stbl.x","aut.x","stngy.x","jeals.x","reckl.x","soc.x","tim.x","symp.x","play.x","sol.x","actv.x","help.x","buly.x","aggr.x","manp.x","gntl.x","affc.x","exct.x","impl.x","inqs.x","subm.x","depd.x","irri.x","pred.x","decs.x","depr.x","sens.x","defn.x","intll.x","prot.x","invt.x","clmy.x","errc.x","frdy.x","lazy.x","dsor.x","unem.x","imit.x","indp.x","DOB.y","Dam.y","Sire.y","location.y","Group.size.y","Sex.y","Rater.y","DOPR.y","Version.y","reckl.y","aut.y","symp.y","sol.y","buly.y","actv.y","fear.y","caut.y","imit.y","unem.y","stngy.y","play.y","sens.y","exct.y","aggr.y","indp.y","intll.y","affc.y","stbl.y","help.y","tim.y","impl.y","depd.y","decs.y","defn.y","irri.y","lazy.y","invt.y","dom.y","pred.y","frdy.y","depr.y","clmy.y","prot.y","subm.y","gntl.y","manp.y","soc.y","inqs.y","jeals.y","pers.y","errc.y","dsor.y","fear.z","pers.z","caut.z","stbl.z","aut.z","stngy.z","jeals.z","reckl.z","soc.z","tim.z","symp.z","play.z","sol.z","actv.z","help.z","buly.z","aggr.z","manp.z","gntl.z","affc.z","exct.z","impl.z","inqs.z","subm.z","depd.z","irri.z","pred.z","decs.z","depr.z","sens.z","defn.z","intll.z","prot.z","invt.z","clmy.z","errc.z","frdy.z","lazy.z","dsor.z","unem.z","imit.z","indp.z"
"31","Brian","3/31/1979","Lolita","Jiggs",1,"WH ","10/31/97",6789,19.1,"Yerkes","A",2,2,4,5,2,3,1,6,6,5,2,5,3,2,6,3,2,5,5,2,2,2,5,5,3,3,5,5,6,3,4,3,5,2,4,2,5,5,3,4,5,4,2,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","Brooks","11/10/1992","Lena","Sellers",1,"SS","01/03/1999",2245,6.3,"Yerkes","B",2,4,5,5,3,4,6,4,5,4,4,2,4,7,1,7,5,4,3,4,6,6,5,5,6,1,1,1,7,4,1,4,4,4,5,6,1,5,6,1,1,1,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","Buffy","01/02/1984","Beleka","Juan",0,"LP","06/11/2000",6005,16.9,"Yerkes","B",NA,5,1,1,6,2,6,2,2,1,2,6,3,2,7,1,5,1,2,2,5,2,6,2,1,7,2,2,2,4,6,6,2,5,1,1,1,2,2,5,1,5,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","Callie","2/18/1991","Waga","Rogger",0,"MW","7/15/01",3800,10.7,"Yerkes","A",5,5,3,5,5,4,1,2,2,2,4,5,3,3,5,4,4,3,5,5,3,2,4,2,3,6,5,4,5,4,2,5,2,4,6,2,1,2,2,2,2,4,5,2,"2/18/1991","Waga","Rogger","Yerkes",5,0,"DL","10/04/1997","B",1,4,4,4,2,5,5,6,5,5,2,3,5,2,1,2,3,4,5,3,6,2,7,5,2,2,2,4,1,6,5,6,2,4,7,6,4,5,4,5,2,2,5,5,3.5,5.5,4.5,2.5,2,3.5,1.5,4.5,5.5,3.5,3,4.5,4.5,3.5,2.5,3,4.5,4.5,3,3,2,3.5,6.5,6,3,5.5,4.5,4,5,2,3.5,5,3,1.5,2,3.5,2,3.5,4.5,5,2
"35","Carl","5/21/1986","Reba","Phillip",1,"LF","12/08/1997",4219,11.9,"Yerkes","A",3,4,4,5,4,4,5,3,3,3,5,3,6,4,4,3,5,3,3,3,5,5,4,3,5,4,3,2,4,4,3,6,3,4,4,5,4,3,5,4,5,4,4,4,"5/21/1986","Reba","Phillip","Yerkes",3,1,"AH","7/15/01","B",4,1,4,2,3,5,2,3,4,3,4,2,5,6,2,5,4,4,5,5,1,2,3,5,5,2,4,3,4,5,5,3,3,4,5,4,5,4,4,3,5,2,2,3,5,3.5,4.5,3,3.5,3,3.5,4.5,2,5,3,3,4,5,3,2.5,4,4.5,4.5,5,2.5,4.5,4.5,3,2,4.5,4.5,3,5.5,4,4,4,4,3.5,2.5,5,4,3.5,3.5,4,4.5
"36","Carmichael","3/21/1983","Ericka","Rogger",1,"WH","11/03/1997",5341,15,"Yerkes","A",7,3,2,4,5,5,1,3,4,2,6,6,4,4,6,2,4,3,2,5,6,5,3,2,1,6,6,2,5,5,4,5,2,1,4,1,5,3,4,5,6,5,1,3,"3/21/1983","Ericka","Rogger","Yerkes",7,1,"MW","7/26/01","B",6,4,4,3,5,5,2,4,4,3,4,3,5,5,6,5,3,4,3,3,3,5,3,3,2,4,5,3,6,5,3,5,4,3,2,4,3,3,3,4,3,5,5,2.5,3.5,4.5,4,2.5,3.5,4,4,4.5,4.5,4,3.5,4.5,3.5,3.5,4,4,4,5,4.5,4,3.5,2,4,4.5,3,5,4,4.5,5,2,2,3.5,2,4.5,4,3.5,5,5.5,4,2.5,4
"37","Cathy","10/05/1989","Georgia","Walnut",0,"SS","1/13/99",3387,9.5,"Yerkes","A",NA,5,2,5,3,6,1,1,1,2,4,1,3,5,1,6,5,1,1,4,6,4,1,1,5,5,5,1,6,6,1,5,4,5,2,3,1,1,7,1,2,5,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","Cheeta","01/01/1957","","",0,"WH","8/13/97",14834,41.7,"Yerkes","B",NA,2,5,5,2,2,4,6,5,5,4,3,2,2,5,4,3,5,6,5,3,2,5,5,4,3,2,6,3,4,4,4,5,5,3,4,4,5,2,4,4,3,4,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","Cheri","01/01/1955","","",0,"DL","10/04/1997",15617,43.9,"Yerkes","B",NA,4,1,1,6,5,6,2,2,2,2,6,2,1,7,3,1,2,2,2,5,1,4,2,3,7,6,6,4,5,5,5,1,4,1,2,6,4,2,5,5,5,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","Christa","06/01/1995","Lilone","Rogger",0,"AH","7/26/01",2247,6.3,"Yerkes","A",9,6,1,5,6,3,1,4,5,3,3,5,3,4,4,4,4,2,2,5,5,5,3,2,6,6,6,2,4,4,2,6,4,4,3,4,5,3,5,2,3,4,5,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","Cissie","11/28/1976","Boka","Hep",0,"LP","06/11/2000",8596,24.1,"Yerkes","B",NA,6,4,3,4,3,6,2,3,4,3,4,4,3,5,3,4,4,3,3,4,5,5,6,2,3,3,4,3,4,4,4,4,5,5,2,1,4,4,2,1,2,3,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","Claus","12/25/1992","Gwennie","Jimoh",1,"SS","01/10/1999",2207,6.2,"Yerkes","A",NA,3,2,4,4,4,1,3,4,5,5,2,5,7,2,7,4,4,3,5,5,6,3,3,6,4,5,1,3,4,1,5,3,5,4,5,2,1,5,1,3,1,4,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","Clint","06/06/1980","Cheri","Walnut",1,"DL","10/04/1997",6329,17.8,"Yerkes","A",3,1,4,6,5,3,1,6,5,2,5,2,2,7,3,6,4,6,5,5,3,3,6,2,7,2,2,5,5,6,1,6,7,7,2,7,2,2,5,1,3,1,4,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","Columbus","10/10/1977","Sonia","Phinneas",1,"WH","11/12/1999",8068,22.7,"Yerkes","A",NA,6,4,3,6,4,6,6,4,5,3,6,4,3,7,3,3,5,4,6,2,2,6,5,5,3,5,3,3,5,5,2,4,3,5,2,6,5,4,5,5,3,2,5,"10/10/1977","Sonia","Phinneas","Yerkes",NA,1,"LP","8/17/97","B",2,4,4,6,NA,2,2,6,NA,2,6,3,3,4,2,4,4,1,2,2,2,5,3,5,4,6,6,2,5,6,2,6,2,3,2,3,3,1,2,4,4,3,4,4,3.5,6,3,5,6,4,3.5,2,4,4,3,6.5,2.5,2.5,NA,3,4.5,2.5,1.5,5,5,3.5,2.5,4,4.5,4.5,5,5.5,2.5,4,3.5,4,2,4,4,3,5.5,4.5,2.5,NA,4.5
"45","Conan","01/03/1986","Mai","Walnut",1,"MW","7/15/01",5672,15.9,"Yerkes","A",2,2,6,5,2,5,2,4,4,2,5,2,3,4,1,4,5,2,4,2,4,4,4,2,3,3,2,4,5,5,2,4,2,4,4,3,2,2,5,5,2,4,2,6,"01/03/1986","Mai","Walnut","Yerkes",2,1,"WH","8/13/97","B",3,1,4,5,5,4,5,4,4,4,4,4,4,5,3,4,3,3,4,4,5,3,6,3,3,4,5,2,3,4,3,4,5,4,5,3,4,4,3,4,4,5,5,3.5,4.5,3,4.5,1.5,4,4,2.5,4.5,3.5,3.5,4,3,4,4.5,3.5,3.5,3,3.5,3.5,4.5,2.5,3,4,4,4,4.5,4,3,4,2.5,3.5,4,2.5,3.5,3.5,4,5,3.5,4,3,5
"46","Cynthia","06/07/1980","Beleka","Iyk",0,"SS","1/13/99",6794,19.1,"Yerkes","B",NA,2,2,5,6,6,1,2,7,2,6,2,6,3,2,4,6,4,1,1,6,5,1,2,5,4,2,2,6,5,2,6,1,6,5,4,1,2,6,5,1,2,4,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47","Daisey","10/01/1989","Tai","Phinneas",0,"SS","1/16/99",3394,9.5,"Yerkes","B",NA,5,5,4,2,3,2,7,5,5,3,5,1,3,3,4,2,6,5,5,3,3,5,5,2,2,4,6,4,5,4,2,5,3,2,2,4,5,3,5,5,5,5,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48","Dara","6/16/1988","Leslie","Homer",0,"AH","7/26/01",4788,13.4,"Yerkes","A",11,2,6,6,5,3,2,5,5,3,3,4,3,3,4,4,3,5,5,4,3,3,3,3,3,3,4,5,4,5,3,5,5,4,4,4,3,3,3,2,5,3,4,5,"6/16/1988","Leslie","Homer","Yerkes",11,0,"WH","12/30/98","B",5,NA,1,2,6,6,5,5,4,3,7,4,3,5,6,6,6,4,4,2,2,5,4,5,6,6,2,4,6,4,2,2,2,5,1,2,5,5,5,6,6,2,1,3.5,6,5,3.5,NA,6,5.5,4,4,3,2,3.5,3,5,2.5,5.5,5.5,4.5,2.5,3.5,4,4,4,2,4,5.5,4,5,2.5,4,5.5,5,4.5,4,2.5,2.5,2.5,2,3,3,4,5.5
"49","David","6/27/1977","Flora","Hal",1,"MW","7/15/01",8784,24.7,"Yerkes","A",2,5,3,3,5,5,2,4,3,2,5,2,5,3,2,4,4,2,3,2,4,3,5,3,5,3,3,3,5,5,2,5,2,4,3,4,2,2,5,2,2,3,2,5,"6/27/1977","Flora","Hal","Yerkes",2,1,"SS","1/14/99","B",6,7,2,6,4,6,4,3,4,2,4,6,4,6,5,4,2,2,2,2,5,7,4,3,4,3,3,2,2,4,4,3,5,3,5,2,2,2,5,5,5,6,6,4.5,4,4,3.5,4.5,4,4,4,3.5,3.5,3.5,4.5,4,5,3,3,4,2,3,2.5,5.5,5,5,4,3.5,3,4.5,4,2.5,4.5,3,3,3,3,3.5,4,4.5,2.5,4,2.5,3,4.5
"50","Dobbs","01/01/1961","","",1,"MW","7/15/01",14805,41.6,"Yerkes","A",2,1,7,5,2,2,2,5,5,5,2,1,2,2,6,3,2,6,7,5,2,1,6,6,2,1,1,6,5,6,5,2,6,5,3,2,2,6,2,2,5,3,2,6,"01/01/1961","","","Yerkes",2,1,"WH","8/28/97","B",2,5,2,6,2,1,4,4,2,6,4,1,2,1,1,6,3,2,4,3,6,4,5,6,2,3,6,3,2,4,3,6,5,3,5,4,3,2,2,3,6,5,5,2.5,5.5,3,3,3.5,4.5,4,3.5,2,3.5,2,1.5,6,2,2.5,4,4,4,3,1.5,3.5,5,2,3,3,4.5,4.5,6,5.5,2,4,4,3,2.5,3.5,5.5,2.5,4,5,4.5,2,6
"51","Dona","04/03/1990","Peony","Walnut",0,"LP","06/11/2000",3722,10.5,"Yerkes","B",NA,4,2,2,5,4,2,4,3,2,6,5,5,3,5,3,5,3,3,4,6,6,4,2,3,6,6,2,2,6,2,6,3,6,5,2,1,2,6,4,1,5,4,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52","Donald","10/15/1987","Reba","Jimoh",1,"WH","7/15/01",5022,14.1,"Yerkes","A",4,2,4,4,2,2,4,4,5,6,4,4,2,5,6,4,2,5,4,5,4,3,6,5,5,2,4,4,3,2,5,2,6,4,4,3,4,5,3,2,6,3,4,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53","Dover","2/25/1994","Cissie","Homer",1,"JF","02/10/1999",1811,5.1,"Yerkes","B",NA,4,1,2,2,4,1,2,5,5,6,2,3,7,1,7,2,1,1,2,4,5,5,5,6,6,6,1,5,4,1,5,1,4,2,4,2,3,6,1,5,3,4,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54","Duff","02/08/1990","Lena","Clint",1,"MW","7/15/01",4175,11.7,"Yerkes","A",2,2,5,5,3,2,7,5,6,5,3,3,2,2,3,6,4,4,6,5,3,2,6,6,4,3,3,6,2,3,3,3,5,3,5,2,3,6,3,2,6,3,2,2,"02/08/1990","Lena","Clint","Yerkes",2,1,"AH","7/30/01","B",6,7,2,4,5,5,2,2,4,3,3,3,3,4,5,5,3,3,2,4,2,5,2,3,3,5,3,3,5,3,2,4,5,3,3,3,4,4,2,4,4,5,6,2,4.5,2.5,2,7,4,5,5.5,3.5,2.5,2,2.5,3.5,5.5,4,4.5,5.5,4.5,3,2.5,5,5.5,3,3,2.5,5.5,2.5,3,3.5,3,4,3,4,2.5,4,5.5,2.5,2.5,6,3,3,3.5
"55","Edwina","5/28/1991","Lolita","Edward",0,"WH","11/02/1997",2350,6.6,"Yerkes","A",6,4,5,6,5,3,1,6,6,5,3,3,2,1,5,4,3,6,5,5,2,2,5,6,5,2,4,6,4,4,5,2,6,5,3,3,4,4,2,4,4,2,2,6,"5/28/1991","Lolita","Edward","Yerkes",6,0,"KB","10/04/1997","B",4,2,2,5,6,5,3,5,4,5,6,4,4,3,5,5,5,3,5,3,2,3,2,6,5,4,2,3,6,6,4,4,4,3,2,3,6,5,4,7,6,2,2,3.5,6,5,4,1.5,6,6.5,4.5,4,2.5,2,2.5,5,4.5,3,6,5,5.5,2.5,2.5,4,4.5,4.5,2,3,5,5,5,4.5,3,5.5,5,3,3,4,3,3,3,3,3.5,3,5.5
"56","Ellie","8/14/1972","Cookie","Homer",0,"AH","7/15/01",10562,29.7,"Yerkes","B",NA,2,2,2,5,5,1,4,2,2,3,5,2,1,6,1,3,2,1,4,5,2,1,1,1,6,4,1,6,3,5,4,1,4,2,3,2,2,2,7,2,7,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"57","Elvira","10/31/1988","Barbi","Jimoh",0,"WH","11/05/1997",3292,9.2,"Yerkes","A",7,2,5,6,4,6,1,5,6,3,6,2,5,6,1,6,5,5,3,7,4,5,3,3,6,3,3,2,6,6,1,5,5,7,5,5,2,2,5,1,1,4,4,6,"10/31/1988","Barbi","Jimoh","Yerkes",7,0,"MW","7/26/01","B",5,2,3,3,4,5,6,2,4,3,4,4,5,6,2,3,6,5,3,5,2,6,5,3,3,5,2,5,3,5,3,2,4,4,6,3,4,4,5,6,6,4,4,4,6,3,4.5,1.5,4.5,6,4,5,2,4,5,2,5.5,5,4.5,2.5,5.5,3.5,5,4.5,4.5,5.5,4.5,4,3.5,5.5,4.5,1.5,5,4,6.5,4.5,5,3,3,4,1.5,2.5,3.5,4,4.5
"58","Elwood","2/19/1990","Jaq","Harv",1,"AH","7/26/01",4175,11.7,"Yerkes","A",9,1,6,2,2,5,1,3,2,2,2,2,2,2,5,3,3,5,4,4,4,3,2,3,2,4,2,2,4,4,5,3,5,3,3,3,3,3,3,6,3,6,3,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"59","Ericka","10/20/1973","","",0,"SS","1/16/99",9219,25.9,"Yerkes","B",NA,1,7,7,1,2,1,7,7,7,2,1,2,4,1,4,3,7,6,7,1,4,5,6,5,1,1,7,7,7,1,4,6,2,2,4,1,2,1,4,2,1,1,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"60","Evelyne","09/04/1991","Sabrina","Puddin",0,"MW","7/15/01",3602,10.1,"Yerkes","A",5,6,2,3,6,4,1,1,2,2,2,6,2,2,5,3,2,1,1,1,4,2,5,2,2,7,6,2,6,2,5,6,1,4,2,2,2,1,4,2,2,5,2,1,"09/04/1991","Sabrina","Puddin","Yerkes",5,0,"MW","7/29/01","B",2,1,3,2,6,6,4,5,5,6,7,2,2,4,5,5,6,3,6,3,2,2,4,6,3,2,1,4,6,6,3,2,1,6,3,4,6,6,6,6,4,1,1,5,3.5,5.5,5,1,4,4,2,4,4,2.5,2,3.5,4.5,2.5,3.5,3,3.5,4,2.5,4.5,2,4,5,5,2,6,4,3.5,4,2,5,4,3,1.5,1,3.5,1.5,1.5,5.5,3.5,3
"61","Faye","6/22/1992","Sheila","",0,"AH","7/15/01",3310,9.3,"Yerkes","A",2,2,4,4,3,5,2,4,2,2,3,3,3,4,4,4,4,2,2,3,5,3,2,2,5,5,3,4,5,5,2,4,3,4,2,4,3,2,3,4,2,5,5,4,"6/22/1992","Sheila","","Yerkes",2,0,"WH","6/16/02","B",2,2,3,5,2,4,4,5,2,6,4,3,5,4,2,5,5,4,6,3,6,4,5,4,1,4,3,2,2,5,4,3,3,4,5,4,3,5,5,3,4,6,4,3,4,4,5.5,2,4,2.5,2,4,4.5,3,3.5,4.5,4,3.5,2,2,3,4.5,3.5,3,3,5,5,4,4,5,4.5,2.5,4.5,2,4.5,3,3,3,4,3.5,3.5,3,5.5,3.5,4.5
"62","Fiona","12/05/1994","Leslie","Lux",0,"AH","7/26/01",2425,6.8,"Yerkes","A",11,6,2,5,6,3,1,6,6,3,6,5,5,5,2,4,5,2,1,5,4,5,4,3,6,6,5,2,4,3,2,5,5,5,4,5,5,3,5,3,2,3,4,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
