chimp	DOB	Dam	Sire	Sex	Rater	DOPR	DaysAgeatTest	YearsAgeatTest	location	Version 	Group size	fear	dom	pers	caut	stbl	aut	stngy	jeals	reckl	soc	tim	symp	play	sol	actv	help	buly	aggr	manp	gntl	affc	exct	impl	inqs	subm	depd	irri	pred	decs	depr	sens	defn	intll	prot	invt	clmy	errc	frdy	lazy	dsor	unem	imit	indp
Hunter	08/03/1984	Lilone	Rogger	1	WH	07/10/1997	4724	13.3	Yerkes	A	2	5	5	5	2	2	1	3	5	6	5	2	2	1	6	4	2	6	6	6	2	2	6	3	3	2	4	5	4	6	3	2	6	4	2	4	4	6	4	2	3	2	4	6
Suwanee	2/17/85	Peony	Walnut	0	WH	11/15/97	4654	13.1	Yerkes	A	7	4	2	4	5	5	1	5	5	2	6	5	5	6	2	6	4	3	2	5	5	5	3	3	5	6	5	2	4	4	2	5	3	5	3	3	3	2	5	2	3	4	4	3
Brandy	4/26/85	Lolita	Walnut	0	WH	11/11/1997	4582	12.9	Yerkes	A	2	4	5	4	5	4	4	5	5	3	5	6	3	4	3	4	3	5	5	5	3	3	5	5	3	3	4	5	2	3	4	5	3	2	5	5	5	5	3	3	6	4	3	4
Shirley	01/11/1985	Tai	Rogger	0	WH	07/10/1997	4563	12.8	Yerkes	A	2	4	5	6	5	4	7	6	2	2	4	4	4	5	3	4	4	5	5	5	4	4	6	2	4	4	5	5	6	6	5	4	5	5	5	4	2	4	4	3	4	2	4	5
Sheena	1/20/89	Sabrina	Puddin	0	WH	7/15/01	4559	12.8	Yerkes	A	5	2	6	5	1	4	2	6	6	6	5	3	4	5	2	5	3	6	5	5	3	4	5	5	6	2	2	3	5	5	2	4	5	5	5	5	4	4	3	3	3	3	4	5
Barney	05/06/1989	Melissa	Joseph	1	MW	7/15/01	4453	12.5	Yerkes	A	2	1	7	7	2	2	5	7	6	7	1	2	1	2	2	7	3	7	7	6	1	1	6	6	5	1	1	7	6	5	2	5	2	5	2	2	2	3	3	2	5	2	2	7
Socrates	1/23/87	Gwennie	Walnut	1	SS	01/10/1999	4370	12.3	Yerkes	B		1	7	7	1	5	1	3	1	6	6	1	5	5	2	5	4	6	6	7	6	6	4	6	6	1	1	3	5	7	2	6	7	7	4	7	1	2	4	1	1	1	1	7
Carl	5/21/86	Reba	Phillip	1	LF	12/08/1997	4219	11.9	Yerkes	A	3	4	4	5	4	4	5	3	3	3	5	3	6	4	4	3	5	3	3	3	5	5	4	3	5	4	3	2	4	4	3	6	3	4	4	5	4	3	5	4	5	4	4	4
Luther	1/14/90	Pamela	Rogger	1	AH	7/15/01	4200	11.8	Yerkes	A	2	2	2	5	4	7	2	2	2	2	4	3	3	1	5	1	5	4	3	2	6	4	2	1	5	3	4	2	7	6	4	4	3	2	4	2	4	1	4	5	3	5	3	4
Tank	2/18/86	Leslie	Ossabaw	1	WH	8/15/97	4196	11.8	Yerkes	A	3	2	5	6	2	2	4	3	5	6	4	2	2	5	4	5	4	6	6	6	2	3	5	5	4	3	4	5	5	5	4	3	6	5	4	4	5	5	3	2	4	3	4	5
Elwood	2/19/90	Jaq	Harv	1	AH	7/26/01	4175	11.7	Yerkes	A	9	1	6	2	2	5	1	3	2	2	2	2	2	2	5	3	3	5	4	4	4	3	2	3	2	4	2	2	4	4	5	3	5	3	3	3	3	3	3	6	3	6	3	6
Duff	02/08/1990	Lena	Clint	1	MW	7/15/01	4175	11.7	Yerkes	A	2	2	5	5	3	2	7	5	6	5	3	3	2	2	3	6	4	4	6	5	3	2	6	6	4	3	3	6	2	3	3	3	5	3	5	2	3	6	3	2	6	3	2	2
Kasey	5/13/86	Jenda	Iyk	0	WH	9/30/97	4158	11.7	Yerkes	B		6	2	4	6	3	5	5	4	2	3	6	3	3	4	3	3	5	4	4	4	2	5	3	2	6	6	5	5	3	4	3	3	3	2	4	5	5	2	5	5	2	5	2
Natasha	12/19/87	Mai	Walnut	0	SS	1/16/99	4046	11.4	Yerkes	B		5	3	2	3	4	1	4	6	3	4	2	2	3	2	2	5	6	2	4	6	4	3	1	3	5	4	2	7	2	1	5	1	5	2	1	2	1	6	7	1	2	3	5
Ranette	12/17/87	Marilyne	Walnut	0	SS	1/13/99	4045	11.4	Yerkes	A		2	5	4	4	5	1	4	5	4	5	2	4	4	2	4	4	5	5	4	4	3	3	2	2	3	3	5	6	5	2	4	4	5	3	3	1	2	3	5	3	3	4	3
Winston	01/12/1987	Barbara	Ossabaw	1	LF	12/08/1997	3983	11.2	Yerkes	A	3	2	5	5	3	4	2	3	3	3	4	2	3	4	4	4	4	4	5	4	3	3	5	5	4	2	2	4	3	4	3	4	4	5	4	4	3	5	4	3	3	3	3	4
Artemus	12/18/90	Jenda	Iyk	1	AH	7/15/01	3862	10.8	Yerkes	A	5	1	7	6	2	3	3	7	5	5	5	2	2	4	4	6	3	5	5	5	3	5	6	5	5	1	2	4	3	5	1	4	4	5	3	6	2	5	4	1	5	2	4	7
Bjorn	7/16/88	Anja	Walnut	1	SS	1/19/99	3839	10.8	Yerkes	A		3	2	2	4	3	1	2	2	2	4	3	4	4	4	3	3	2	3	2	4	4	3	2	4	4	4	2	4	4	2	4	2	4	4	4	1	1	4	2	1	2	4	4
Callie	2/18/91	Waga	Rogger	0	MW	7/15/01	3800	10.7	Yerkes	A	5	5	3	5	5	4	1	2	2	2	4	5	3	3	5	4	4	3	5	5	3	2	4	2	3	6	5	4	5	4	2	5	2	4	6	2	1	2	2	2	2	4	5	2
Dona	04/03/1990	Peony	Walnut	0	LP	06/11/2000	3722	10.5	Yerkes	B		4	2	2	5	4	2	4	3	2	6	5	5	3	5	3	5	3	3	4	6	6	4	2	3	6	6	2	2	6	2	6	3	6	5	2	1	2	6	4	1	5	4	3
Arthur	5/21/91	Jaq	Rogger	1	MW	7/26/01	3719	10.4	Yerkes	A	6	2	5	6	2	1	3	6	7	7	4	1	2	2	3	7	4	6	6	5	2	3	7	6	4	1	2	6	5	4	4	2	3	2	3	2	4	7	3	2	5	3	2	5
Rebecca	5/20/91	Mickie	Frans	0	AH	7/15/01	3709	10.4	Yerkes	A	5	4	1	5	6	4	1	2	3	1	6	5	5	4	3	5	5	1	1	5	4	5	4	3	4	6	6	2	4	3	2	5	3	4	5	4	4	3	5	2	3	3	5	3
Amanda	6/15/91	Sheila	Jimoh	0	MW	7/26/01	3694	10.4	Yerkes	A	6	7	1	2	6	2	4	3	5	2	5	1	3	2	5	4	4	1	2	6	3	2	5	6	3	7	7	5	5	2	4	4	3	4	2	1	5	5	3	3	5	3	7	2
Scott	6/23/87	Jencie	Jimoh	1	LF	7/18/97	3678	10.3	Yerkes	A	2	2	5	5	2	4	1	1	5	2	4	1	5	5	1	4	5	4	4	4	3	4	3	5	5	1	2	4	3	4	1	4	4	5	4	6	1	4	4	2	1	3	2	5
Katrina	7/26/87	Sheila	Walnut	0	LF	7/18/97	3645	10.2	Yerkes	A	2	5	1	4	5	4	6	1	1	1	4	4	4	3	2	4	5	1	1	1	5	6	4	2	4	5	5	2	4	4	2	6	2	6	5	4	3	1	6	1	1	1	7	4
Evelyne	09/04/1991	Sabrina	Puddin	0	MW	7/15/01	3602	10.1	Yerkes	A	5	6	2	3	6	4	1	1	2	2	2	6	2	2	5	3	2	1	1	1	4	2	5	2	2	7	6	2	6	2	5	6	1	4	2	2	2	1	4	2	2	5	2	1
Jarred	9/21/87	Gay	Ossabaw	1	LF	7/24/97	3594	10.1	Yerkes	A	3	1	7	7	1	3	1	5	5	5	4	1	1	6	1	6	3	6	6	4	2	4	3	5	5	1	1	5	2	6	2	2	4	6	2	5	2	6	3	1	1	1	1	7
Rhett	4/20/89	Atlanta	Walnut	1	JM	01/11/1999	3553	10	Yerkes	B		1	4	5	2	3	1	2	4	5	5	1	3	4	1	4	3	5	5	2	3	5	3	1	5	2	2	1	4	5	1	3	5	5	2	3	1	1	3	1	1	2	2	5
Storer	11/19/91	Mai	Walnut	1	WH	7/15/01	3526	9.9	Yerkes	A	5	1	4	6	5	6	2	2	1	2	5	4	5	6	2	2	4	2	1	5	6	6	3	2	5	3	4	2	6	4	2	5	2	4	5	4	1	1	6	4	2	2	5	6
Magnum	07/08/1989	Gay	Rogger	1	SS	01/10/1999	3473	9.8	Yerkes	A		5	3	4	5	3	2	2	2	1	5	4	4	6	2	6	4	3	2	2	5	4	4	4	6	6	6	1	3	4	2	6	3	5	3	5	1	2	5	1	3	1	4	4
Travis	08/02/1989	Cissie	Kipper	1	SS	1/13/99	3451	9.7	Yerkes	B		4	5	5	2	2	1	5	5	6	4	1	1	4	1	5	2	6	4	5	1	3	2	2	4	2	2	3	5	6	1	3	1	3	2	3	1	2	3	4	2	2	4	5
Jewelle	03/09/1992	Jaq	Rogger	0	AH	7/26/01	3426	9.6	Yerkes	A	9	3	6	7	5	3	1	7	6	5	4	3	3	3	5	4	3	6	5	4	3	3	4	6	4	2	2	5	4	5	3	3	5	5	3	3	3	4	3	2	3	4	4	6
Fritz	7/14/88	Bo	Ossabaw	1	WH	11/21/97	3417	9.6	Yerkes	A	8	3	5	5	2	2	5	4	5	6	3	4	2	4	4	4	3	5	6	3	2	2	5	5	4	2	2	6	2	3	4	2	5	3	6	3	5	6	2	4	5	3	2	6
Daisey	10/01/1989	Tai	Phinneas	0	SS	1/16/99	3394	9.5	Yerkes	B		5	5	4	2	3	2	7	5	5	3	5	1	3	3	4	2	6	5	5	3	3	5	5	2	2	4	6	4	5	4	2	5	3	2	2	4	5	3	5	5	5	5	2
Cathy	10/05/1989	Georgia	Walnut	0	SS	1/13/99	3387	9.5	Yerkes	A		5	2	5	3	6	1	1	1	2	4	1	3	5	1	6	5	1	1	4	6	4	1	1	5	5	5	1	6	6	1	5	4	5	2	3	1	1	7	1	2	5	5	5
Lamar	4/27/88	Lolita	Walnut	1	LF	7/24/97	3375	9.5	Yerkes	A	2	4	3	3	5	4	1	1	4	1	4	2	4	5	3	5	4	4	3	2	4	5	4	2	5	5	4	2	4	4	2	5	3	4	4	6	2	4	4	2	2	2	2	4
Ronald	05/04/1988	Banana	Geoff	1	LF	7/24/97	3368	9.5	Yerkes	A	3	4	1	1	5	4	1	1	1	1	4	4	4	4	4	3	3	1	1	1	4	4	3	4	3	7	6	2	4	3	4	4	2	3	2	3	5	3	4	4	4	4	3	3
Faye	6/22/92	Sheila		0	AH	7/15/01	3310	9.3	Yerkes	A	2	2	4	4	3	5	2	4	2	2	3	3	3	4	4	4	4	2	2	3	5	3	2	2	5	5	3	4	5	5	2	4	3	4	2	4	3	2	3	4	2	5	5	4
Elvira	10/31/88	Barbi	Jimoh	0	WH	11/05/1997	3292	9.2	Yerkes	A	7	2	5	6	4	6	1	5	6	3	6	2	5	6	1	6	5	5	3	7	4	5	3	3	6	3	3	2	6	6	1	5	5	7	5	5	2	2	5	1	1	4	4	6
Wilma	10/27/88	Vivienne	Duncan	0	WH	7/23/97	3191	9	Yerkes	A	9	2	5	5	5	6	1	3	5	2	6	2	3	5	2	5	4	5	2	5	5	5	3	2	4	4	3	1	7	5	1	5	3	5	5						5	5	4	6
Kevin	07/08/1990	Barbara	Jimoh	1	JF	01/12/1999	3110	8.7	Yerkes	B		6	2	2	2	2	1	5	4	7	4	2	2	6	4	6	2	7	5	2	1	3	5	6	6	5	4	3	3	6	1	4	5	6	1	4	2	3	3	1	4	2	1	4
Agatha	1/21/93	Melinda	Walnut	0	AH	7/26/01	3108	8.7	Yerkes	A	11	5	3	4	5	5	2	5	5	3	5	5	5	3	3	4	5	3	3	5	5	4	5	3	4	5	5	2	5	5	2	5	5	4	4	4	4	3	4	3	5	4	4	5
Polyanna	2/17/89	Lilone	Jimoh	0	WH	7/30/97	3085	8.7	Yerkes	A	12	5	4	4	5	4	1	4	3	2	5	5	4	4	4	4	4	4	3	5	4	4	4	2	3	5	4	4	5	4	3	4	4	5	4	4	4	2	2	4	4	5	4	4
Lizzie	08/06/1990	Foxy	Edward	0	SS	1/14/99	3083	8.7	Yerkes	A		3	3	5	4	4	3	3	3	3	6	3	4	7	1	6	6	4	3	3	4	5	3	3	6	3	4	3	5	4	2	4	2	5	4	4	1	1	6	1	2	1	2	4
Alicia	6/26/89	Cynthia	Phineas	0	WH	11/11/1997	3060	8.6	Yerkes	B		1	5	3	6	4	1	5	4	2	5	6	4	3	4	5	3	5	5	6	4	2	5	2	4	3	5	5	5	4	2	4	2	3	4	3	2	3	3	5	3	4	4	3
Sylvia	7/19/93	Melissa	Carmichael	0	MW	7/24/01	2927	8.2	Yerkes	A	6	5	3	4	5	4	1	3	2	1	5	3	4	5	2	5	4	2	1	4	4	5	5	5	5	2	4	1	4	4	1	6	6	4	2	5	3	2	6	2	3	3	5	3
Missy	07/08/1993	Mai	Jimoh	0	TH	8/16/00	2596	7.3	Yerkes	B		6	1	4	7	2	2	1	1	1	6	7	6	7	1	7	3	1	1	1	7	6	4	5	6	7	7	1	7	2	1	7	1	6	4	5	2	1	7	1	5	3	6	1
Julie	8/29/94	Ellie	Conan	0	AH	7/15/01	2512	7.1	Yerkes	A	4	4	4	6	3	3	2	4	4	4	4	3	2	5	2	5	3	3	3	4	4	3	4	5	4	4	4	5	4	5	2	5	4	4	2	3	2	2	4	2	2	3	4	3
Sean	3/16/92	Barbi	Rogger	1	JM	01/11/1999	2492	7	Yerkes	A		5	3	4	4	3	1	5	5	3	5	2	2	6	2	5	3	5	5	4	3	4	2	2	5	3	4	2	3	4	1	4	4	3	3	3	3	3	4	1	3	2	4	3
Fiona	12/05/1994	Leslie	Lux	0	AH	7/26/01	2425	6.8	Yerkes	A	11	6	2	5	6	3	1	6	6	3	6	5	5	5	2	4	5	2	1	5	4	5	4	3	6	6	5	2	4	3	2	5	5	5	4	5	5	3	5	3	2	3	4	3
Edwina	5/28/91	Lolita	Edward	0	WH	11/02/1997	2350	6.6	Yerkes	A	6	4	5	6	5	3	1	6	6	5	3	3	2	1	5	4	3	6	5	5	2	2	5	6	5	2	4	6	4	4	5	2	6	5	3	3	4	4	2	4	4	2	2	6
Rosemary	02/11/1994	Foxy	Carmichael	0	LP	06/11/2000	2312	6.5	Yerkes	B		5	2	2	5	4	6	3	2	2	7	3	6	4	3	3	5	2	2	4	6	7	4	2	5	4	6	2	5	5	4	6	3	5	6	5	1	2	6	3	1	3	4	4
Frannie	10/26/92	Borie	Jimoh	0	SS	01/03/1999	2260	6.3	Yerkes	B	2	5	1	5	6	3	5	2	2	4	4	5	4	4	4	5	4	4	1	4	5	4	6	5	6	5	5	3	5	4	2	4	2	4	4	5	1	5	6	1	2	3	4	3
Christa	06/01/1995	Lilone	Rogger	0	AH	7/26/01	2247	6.3	Yerkes	A	9	6	1	5	6	3	1	4	5	3	3	5	3	4	4	4	4	2	2	5	5	5	3	2	6	6	6	2	4	4	2	6	4	4	3	4	5	3	5	2	3	4	5	3
Brooks	11/10/1992	Lena	Sellers	1	SS	01/03/1999	2245	6.3	Yerkes	B	2	4	5	5	3	4	6	4	5	4	4	2	4	7	1	7	5	4	3	4	6	6	5	5	6	1	1	1	7	4	1	4	4	4	5	6	1	5	6	1	1	1	4	4
Claus	12/25/92	Gwennie	Jimoh	1	SS	01/10/1999	2207	6.2	Yerkes	A		3	2	4	4	4	1	3	4	5	5	2	5	7	2	7	4	4	3	5	5	6	3	3	6	4	5	1	3	4	1	5	3	5	4	5	2	1	5	1	3	1	4	5
Dover	2/25/94	Cissie	Homer	1	JF	02/10/1999	1811	5.1	Yerkes	B		4	1	2	2	4	1	2	5	5	6	2	3	7	1	7	2	1	1	2	4	5	5	5	6	6	6	1	5	4	1	5	1	4	2	4	2	3	6	1	5	3	4	3
Jolson	01/10/1993	Suwanee	Carmichael	1	WH	11/30/97	1785	5	Yerkes	A	8	2	5	5	4	4	1	5	3	3	6	2	4	6	1	5	4	2	1	6	4	5	3	2	6	3	3	2	4	5	1	4	3	5	5	5	2	1	5	1	1	2	4	6
Liza	3/19/94	Georgia	Jimoh	0	SS	1/19/99	1767	5	Yerkes	B		2	2	6	2	4	1	3	4	5	5	2	4	5	1	4	4	2	2	2	4	6	5	4	6	3	4	2	3	4	2	4	4	5	3	4	2	1	5	1	1	1	5	5
Patrick	7/14/93	Teppi	Zeb	1	KG	2/18/98	1680	4.7	Yerkes	A	4	6	1	2	5	2	7	6	6	4	3	7	4	5	4	4	4	2	4	3	6	6	6	6	4	6	5	6	3	4	5	5	5	3	3	3	5	5	4	5	4	2	4	3
Lucas	3/22/93	Bo	Rogger	1	WH	09/12/1997	1635	4.6	Yerkes	A	2	1	6	7	2	2	6	4	6	7	6	1	2	4	3	5	2	4	6	3	4	5	7	4	3	3	2	3	5	5	2	3	6	2	4	2	3	4	5	2	2	1	1	5
Morgan	04/11/1996	Kasey		1	LP	06/03/2000	1514	4.3	Yerkes	B		4	4	4	4	3	1	5	6	4	6	2	2	7	1	7	2	2	6	2	3	7	5	5	6	4	6	2	4	3	1	4	5	3	2	4	2	1	3	1	1	2	4	4
Lindsey	02/10/1994	Leslie	Lux	0	KG	02/01/1998	1452	4.1	Yerkes	A		4	5	6	5	3	5	4	6	3	5	5	5	4	3	4	5	4	3	7	4	5	5	3	5	5	6	4	4	6	4	5	2	6	4	5	4	4	4	3	2	4	5	3
Wilson	03/09/1994	Gay	Rogger	1	KG	2/18/98	1442	4.1	Yerkes	A		5	5	5	5	3	2	5	5	6	6	4	4	6	3	6	5	4	3	3	5	6	4	4	3	4	5	4	5	3	2	6	4	2	6	5	6	4	6	4	5	3	5	3
Samantha	8/28/97	Melinda	Lux	0	AH	7/26/01	1428	4	Yerkes	A	11	5	1	6	5	5	1	2	4	3	4	3	4	5	2	6	4	1	1	5	4	5	2	2	5	6	6	2	3	1	2	4	5	4	4	4	3	2	5	1	5	5	5	3
Abby	05/11/1995	Barbara	Sam	0	SS	1/19/99	1349	3.8	Yerkes	A		4	2	5	5	4	1	1	1	1	5	5	3	7	1	6	1	1	1	1	4	6	1	1	5	4	4	1	4	4	1	4	1	3	1	4	1	1	6	1	1	2	2	2
Jaimie	5/17/95	Ericka		0	SS	1/14/99	1338	3.8	Yerkes	B		2	1	4	4	3	1	2	4	4	7	4	4	7	1	7	4	2	1	4	7	6	2	1	7	5	5	1	4	2	1	4	1	3	4	4	5	1	6	1	5	5	7	4
Tara	09/05/1995	Rita	Jimoh	0	JF	01/12/1999	1225	3.4	Yerkes	B		3	2	4	4	6	1	4	2	1	6	1	5	6	1	6	4	1	2	2	6	7	2	2	7	5	3	1		6	1	4	1	4		4	2	1	6	1	1			5
Grayson	5/22/97	Alicia	Elwood	1	LP	06/03/2000	1108	3.1	Yerkes	A		3	2	3	5	3	5	3	4	4	6	5	5	5	3	5	4	2	2	4	5	6	4	3	4	5	6	2	5	4	2	4	2	4	2	2	5	3	6	1	1	4	4	3
Julianne	5/15/98	Tai		0	TH	8/16/00	824	2.3	Yerkes	A		5	1	5	7	4	1	1	4	4	6	2	4	7	1	7	4	2	1	4	7	7	5	5	7	4	7	1	7	5	1	5	1	6	4	4	5	2	6	1	2	2	6	3
Azalea	03/07/1997	Peony	Rhett	0	SS	1/19/99	683	1.9	Yerkes	A		1	1	2	3	4	1	1	1	1	5	2	4	5	1	4	1	1	1	1	4	4	2	2	4	2	4	1	3	2	1	3	1	2	2	3	2	1	4	2	2	2	3	4
