chimp,DOB,Sex,Dam,Sire,Rater,Numraters,Date,Zoo_Name,Version,Group_size,fear,dom,pers,caut,stbl,aut,stngy,jeals,reckl,soc,tim,symp,play,sol,actv,help,buly,aggr,manp,gntl,affc,exct,impl,inqs,subm,depd,irri,pred,decs,depr,sens,defn,intll,prot,invt,clmy,errc,frdy,lazy,dsor,unem,imit,indp,dominance,surgency,dependability,agreeableness,emotionality,openness
Georgia,8/27/1980,0,Borie,Jiggs,JH,1,8/16/2000,Yerkes,A,1,1,7,7,2,6,1,7,7,6,6,1,2,4,1,4,3,7,7,7,1,4,4,6,7,1,1,6,1,6,1,2,7,6,2,6,1,6,3,2,2,3,2,7,6.75,4.777777778,2,2,3.666666667,6.5
Gwennie,01/01/1969,0,Unknown,Unknown,SS,1,1/16/1999,Yerkes,B,,1,1,7,7,6,1,1,7,1,6,1,4,1,5,1,5,1,1,7,1,6,1,1,6,1,4,1,7,6,1,5,2,7,5,7,1,1,2,7,1,2,4,5,4.5,3.444444444,6.222222222,4,3,6.5
Heppie,05/08/1969,0,Lolita,Hep,AH,2,7/15/2001,Yerkes,A,2,4,3,3,6,6,2,4,3,2,4,5,4,2,5,1,4,1,1,4,5,4,3,1,1,4,3,2,6,4,5,4,2,3,4,2,5,2,3,6,3,6,4,4,3.333333333,2.888888889,6,4.2,2.333333333,1.5
Heppie,05/08/1969,,Lolita,Hep,MW,2,7/29/2001,Yerkes,B,2,5,4,3,4,5,2,4,4,3,3,4,4,3,5,3,4,3,3,4,4,4,4,5,4,5,4,5,5,5,5,5,4,3,3,3,4,3,4,4,4,3,3,5,3.75,3.333333333,4.222222222,4,4,3.5
Hoboh,01/01/1959,1,Unknown,Unknown,WH,1,7/27/1997,Yerkes,A,3,1,6,6,2,2,6,6,4,6,3,5,2,3,4,4,4,5,6,5,3,3,6,6,4,2,4,4,5,5,5,2,6,4,4,4,5,6,4,4,5,1,4,5,5.25,3.555555556,2.888888889,3,6.333333333,4
Hunter,08/03/1984,1,Lilone,Rogger,WH,1,07/10/1997,Yerkes,A,2,5,5,5,2,2,1,3,5,6,5,2,2,1,6,4,2,6,6,6,2,2,6,3,3,2,4,5,4,6,3,2,6,4,2,4,4,6,4,2,3,2,4,6,5,3.666666667,3.111111111,2,6,3.5
Iyk,08/01/1962,1,Unknown,Unknown,MW,1,7/26/2001,Yerkes,A,6,3,1,2,5,5,2,2,3,2,2,5,3,3,6,1,4,2,2,1,5,5,2,2,1,3,2,2,6,3,5,4,2,3,3,1,3,1,4,7,5,4,3,6,3.416666667,2.666666667,5.666666667,3.8,3,1
Jacqueline,10/16/1976,0,Martha,Homer,WH,2,11/03/1997,Yerkes,A,7,5,5,3,2,3,1,6,6,6,4,5,3,1,4,4,3,6,5,5,3,2,5,6,1,1,4,6,2,4,3,3,6,2,2,1,2,6,2,4,5,2,2,6,4.583333333,3.111111111,2.222222222,2.8,5.333333333,1
Jacqueline,10/16/1976,,Martha,Homer,MW,2,7/25/2001,Yerkes,B,7,3,4,4,3,6,2,6,5,4,3,2,3,4,3,4,4,5,5,5,4,3,3,3,3,2,2,5,4,5,3,3,5,4,4,4,3,2,3,4,3,3,4,5,5.083333333,3.888888889,4,3.6,3.333333333,3.5
Jaimie,5/17/1995,0,Ericka,Unknown,SS,1,1/14/1999,Yerkes,B,,2,1,4,4,3,1,2,4,4,7,4,4,7,1,7,4,2,1,4,7,6,2,1,7,5,5,1,4,2,1,4,1,3,4,4,5,1,6,1,5,5,7,4,3.166666667,6.777777778,5.555555556,4.6,3.333333333,5.5
Jarred,9/21/1987,1,Gay,Ossabaw,LF,1,7/24/1997,Yerkes,A,3,1,7,7,1,3,1,5,5,5,4,1,1,6,1,6,3,6,6,4,2,4,3,5,5,1,1,5,2,6,2,2,4,6,2,5,2,6,3,1,1,1,1,7,6.583333333,4.888888889,3.222222222,2,5,5
Jeanie,01/01/1969,0,Unknown,Unknown,WH,2,07/10/1997,Yerkes,A,2,4,4,5,5,7,1,2,3,2,5,2,5,5,3,3,4,2,2,5,5,5,4,4,5,3,2,2,5,5,1,4,2,6,5,6,2,2,5,2,2,5,4,5,4.416666667,5,5.555555556,4.6,2.666666667,5.5
Jeanie,01/01/1969,,Unknown,Unknown,MW,2,7/15/2001,Yerkes,B,2,3,6,5,5,5,2,3,5,3,2,5,3,2,2,2,2,2,2,4,3,3,4,2,2,2,3,5,5,4,4,5,3,4,2,2,3,2,4,4,3,5,5,2,4,3.555555556,4.888888889,3,3.333333333,2
Jenda,2/14/1958,0,Soda,Jent,MW,2,7/26/2001,Yerkes,A,6,3,2,2,5,5,3,2,2,1,2,4,3,1,6,2,4,1,2,3,4,3,3,2,2,5,5,2,5,5,5,4,1,3,2,2,4,2,4,2,5,4,2,6,3.25,2.777777778,5.777777778,3.4,3.333333333,2
Jenda,2/14/1958,,Soda,Jent,WH,2,12/30/1998,Yerkes,B,6,5,1,2,5,2,7,2,1,1,1,6,5,1,7,2,2,1,2,3,4,1,2,3,1,6,3,5,5,4,7,2,2,1,2,3,6,5,4,5,6,5,2,6,2.666666667,1.777777778,4.888888889,3,3.666666667,2
Jennifere,01/01/1963,0,Unknown,Unknown,WH,1,09/10/1997,Yerkes,B,,4,5,7,3,2,5,6,5,3,2,3,1,2,6,3,3,6,5,4,3,2,7,5,2,3,3,7,2,6,4,4,6,5,3,3,4,6,2,4,4,1,3,5,5.333333333,2.666666667,2.777777778,2.8,6.666666667,2.5
Jesse,8/14/1982,0,Jenda,Iyk,SS,1,1/19/1999,Yerkes,B,,2,1,6,5,4,1,1,1,2,2,2,4,3,6,3,3,1,1,2,6,4,1,1,4,5,4,2,4,3,2,4,2,4,2,2,1,2,4,5,1,2,1,6,3.666666667,3.111111111,6.222222222,3.8,3.666666667,3
Jewelle,03/09/1992,0,Jaq,Rogger,AH,2,7/26/2001,Yerkes,A,9,3,6,7,5,3,1,7,6,5,4,3,3,3,5,4,3,6,5,4,3,3,4,6,4,2,2,5,4,5,3,3,5,5,3,3,3,4,3,2,3,4,4,6,5.583333333,3.888888889,3.222222222,3,4.333333333,3.5
Jewelle,03/09/1992,,Jaq,Rogger,LP,2,8/17/1997,Yerkes,B,9,2,6,5,3,2,3,7,7,6,3,1,3,5,5,6,3,6,4,3,3,2,5,7,6,1,1,6,3,7,6,5,5,5,2,7,1,4,2,1,2,1,4,7,6.25,3.777777778,2.888888889,3.2,6,6.5
J. carter,1/21/1977,1,Anna,Franklin,AH,2,7/15/2001,Yerkes,A,2,1,6,3,2,3,1,6,5,3,3,4,2,2,5,2,3,5,5,4,2,2,2,2,4,2,1,4,5,5,5,3,3,4,2,3,4,4,2,6,4,5,4,5,5.333333333,2.555555556,4.333333333,2.4,3.333333333,3.5
J. carter,1/21/1977,,Anna,Franklin,WH,2,8/21/1997,Yerkes,B,2,4,4,5,4,6,3,4,4,2,4,5,4,4,5,3,4,4,2,3,5,4,3,3,4,5,5,3,5,3,4,5,3,3,5,4,5,3,5,5,3,5,3,5,3.75,3.666666667,5.111111111,4.6,2.666666667,4
Jimoh,01/01/1964,1,Unknown,Unknown,LP,1,06/11/2000,Yerkes,B,,2,4,3,5,6,4,5,3,4,6,2,5,4,5,4,5,5,4,5,6,6,3,2,4,2,4,2,6,5,2,6,2,6,5,2,1,1,6,4,1,6,2,5,4.833333333,4.555555556,5.666666667,5.4,2.333333333,3
Jolson,01/10/1993,1,Suwannee,Carmichael,WH,2,11/30/1997,Yerkes,A,8,2,5,5,4,4,1,5,3,3,6,2,4,6,1,5,4,2,1,6,4,5,3,2,6,3,3,2,4,5,1,4,3,5,5,5,2,1,5,1,1,2,4,6,4.916666667,5.777777778,5.777777778,4.2,4.333333333,5.5
Jolson,01/10/1993,,Suwannee,Carmichael,MW,2,7/26/2001,Yerkes,B,8,3,6,6,3,3,4,5,5,6,3,2,2,3,4,6,3,5,5,5,3,4,6,5,5,2,2,5,5,3,3,6,5,5,2,5,3,5,3,2,4,3,2,4,5.166666667,4,3.222222222,3.2,5.333333333,5
Joseph,11/25/1980,1,Jenda,Walnut,WH,2,8/15/1997,Yerkes,A,2,3,5,5,2,3,5,5,4,5,5,3,4,5,4,5,4,5,5,4,3,3,5,5,5,3,4,4,4,4,5,4,5,4,4,4,4,5,5,4,4,2,4,4,4.75,4.222222222,3.444444444,3.8,5.333333333,4.5
Joseph,11/25/1980,,Jenda,Walnut,MW,2,7/15/2001,Yerkes,B,2,2,6,6,2,2,3,6,1,7,1,2,1,2,5,6,2,7,7,6,1,1,7,6,2,1,2,7,6,5,3,7,7,2,2,2,2,2,1,1,3,2,2,6,5.75,3.111111111,3.333333333,2.6,6.333333333,2
Juan,2/23/1968,1,Jenny,Frans,WH,1,7/17/1997,Yerkes,A,3,6,2,2,2,6,5,1,1,1,5,7,5,4,6,2,4,2,2,4,5,5,3,2,2,5,5,2,6,4,2,4,2,2,5,3,5,2,5,5,6,5,3,5,2.75,3.888888889,5.777777778,4.6,2.666666667,2.5
Julie,8/29/1994,0,Ellie,Conan,AH,1,,Yerkes,A,4,4,4,6,3,3,2,4,4,4,4,3,2,5,2,5,3,3,3,4,4,3,4,5,4,4,4,5,4,5,2,5,4,4,2,3,2,2,4,2,2,3,4,3,4.25,4.777777778,4.333333333,3.2,4.666666667,3.5
Justin,08/01/1986,1,Foxy,Duncan,AH,2,7/15/2001,Yerkes,A,2,4,3,5,3,6,2,3,2,4,6,1,3,3,3,4,4,2,1,4,5,6,5,2,6,4,2,1,6,4,2,4,2,4,4,5,1,1,6,5,2,2,3,5,4.333333333,4.666666667,6.111111111,4,4.333333333,5.5
Justin,08/01/1986,,Foxy,Duncan,DL,2,10/04/1997,Yerkes,B,2,2,5,3,2,5,2,4,5,6,4,2,3,5,3,6,2,6,5,4,3,2,4,6,5,5,4,4,5,3,2,3,5,6,2,5,2,5,4,2,5,3,5,5,4.75,4.777777778,3.111111111,2.6,4,5
Kasey,5/13/1986,0,Jenda,Iyk,WH,1,9/30/1997,Yerkes,B,,6,2,4,6,3,5,5,4,2,3,6,3,3,4,3,3,5,4,4,4,2,5,3,2,6,6,5,5,3,4,3,3,3,2,4,5,5,2,5,5,2,5,2,2.833333333,3.222222222,4.222222222,3,5.333333333,3
Katrina,7/26/1987,0,Sheila,Walnut,LF,2,7/18/1997,Yerkes,A,2,5,1,4,5,4,6,1,1,1,4,4,4,3,2,4,5,1,1,1,5,6,4,2,4,5,5,2,4,4,2,6,2,6,5,4,3,1,6,1,1,1,7,4,3.083333333,5.444444444,6.333333333,5,5,4
Katrina,7/26/1987,,Sheila,Walnut,KB,2,10/04/1997,Yerkes,B,2,2,5,5,5,6,2,3,3,1,5,4,5,6,5,3,5,3,1,5,6,5,2,3,6,4,3,2,6,5,5,6,2,7,4,6,1,2,6,4,1,3,7,7,4.75,4.666666667,6.111111111,5.2,3,6
Kengee,06/01/1988,0,Martha,Chuck,AH,2,7/26/2001,Yerkes,A,11,2,7,7,2,6,2,7,6,5,4,1,1,5,3,3,3,6,5,5,3,3,4,4,3,2,1,3,5,6,2,3,4,5,2,3,5,2,3,6,2,3,3,6,6.333333333,3.777777778,4.222222222,2.4,3.666666667,3
Kengee,06/01/1988,,Martha,Chuck,DP,2,7/27/2001,Yerkes,B,11,2,6,6,2,6,1,7,7,3,6,2,5,7,2,6,4,6,5,6,3,6,5,5,6,2,2,1,5,6,2,5,5,7,5,6,4,2,5,3,2,2,6,6,6.166666667,5.888888889,4.333333333,4.4,4.333333333,6
Kevin,07/08/1990,1,Barbara,Jimoh,JF,1,01/12/1999,Yerkes,B,,6,2,2,2,2,1,5,4,7,4,2,2,6,4,6,2,7,5,2,1,3,5,6,6,5,4,3,3,6,1,4,5,6,1,4,2,3,3,1,4,2,1,4,4.416666667,4.555555556,3.333333333,2,5.666666667,5
Lamar,4/27/1988,1,Lolita,Walnut,LF,2,7/24/1997,Yerkes,A,2,4,3,3,5,4,1,1,4,1,4,2,4,5,3,5,4,4,3,2,4,5,4,2,5,5,4,2,4,4,2,5,3,4,4,6,2,4,4,2,2,2,2,4,3.583333333,4.666666667,5.222222222,4.2,4.666666667,5.5
Lamar,4/27/1988,,Lolita,Walnut,CP,2,8/17/1997,Yerkes,B,2,3,6,4,7,6,3,6,7,2,7,4,6,6,2,6,5,2,2,4,6,7,3,2,6,1,5,2,4,5,1,6,2,6,5,6,1,3,7,2,2,2,4,5,4.5,6.222222222,5.111111111,5.6,3.666666667,6
Lee,12/29/1983,0,Halpha,Jiggs,WH,2,07/12/1997,Yerkes,A,2,3,2,5,4,5,3,5,5,4,4,4,3,5,4,4,5,4,5,5,3,3,5,5,4,5,5,2,5,5,5,3,5,5,5,5,4,2,5,2,3,5,4,5,4.166666667,4.222222222,4.222222222,3.8,3.666666667,4.5
Lee,12/29/1983,,Halpha,Jiggs,DP,2,7/27/2001,Yerkes,B,2,2,6,4,5,6,1,6,6,3,6,2,5,3,3,2,3,4,2,3,4,6,3,4,3,4,3,2,6,5,2,5,6,6,5,4,5,2,6,6,5,2,3,6,5.083333333,4.333333333,4.444444444,4.4,3.666666667,3.5
Lena,2/29/1976,0,Reba,Hep,AH,2,7/15/2001,Yerkes,A,2,4,3,4,6,3,2,2,2,2,5,4,5,2,4,3,4,1,1,6,5,5,4,3,5,6,3,1,3,4,3,6,5,5,4,5,4,2,4,4,3,4,4,3,3.25,4,5.333333333,4.8,4.333333333,5
Lena,2/29/1976,,Reba,Hep,BN,2,06/02/2000,Yerkes,A,2,4,4,4,4,4,2,4,4,2,4,3,3,4,3,3,3,3,3,3,4,3,4,3,4,3,3,3,4,4,3,4,3,4,4,4,1,1,3,3,2,2,3,4,4.166666667,3.888888889,5.222222222,3.6,4.666666667,4
Les,09/08/1975,1,Flora,Hal,MW,2,7/15/2001,Yerkes,A,2,7,1,6,6,2,6,5,6,3,2,6,4,2,3,5,2,1,3,4,2,2,7,5,2,7,2,5,5,4,4,6,1,4,1,2,2,6,3,3,5,2,1,1,2.833333333,3.222222222,3.888888889,3,6.333333333,2
Les,09/08/1975,,Flora,Hal,AH,2,7/30/2001,Yerkes,B,2,7,1,5,5,2,3,3,5,3,3,6,2,3,5,4,3,2,2,5,4,3,5,3,4,7,5,4,3,3,4,5,2,4,2,4,4,5,3,4,3,2,4,3,2.583333333,3.444444444,4.444444444,3.2,5.666666667,4
Leslie,01/01/1970,0,Unknown,Unknown,AH,2,7/26/2001,Yerkes,A,11,2,5,2,3,6,4,2,2,2,5,2,5,3,4,1,4,2,2,4,5,5,3,3,3,3,3,2,5,4,4,4,3,4,5,4,4,3,5,7,3,5,4,5,4.25,3.555555556,5.444444444,4.6,2.666666667,3.5
Leslie,01/01/1970,,Unknown,Unknown,WH,2,9/26/1997,Yerkes,B,11,5,5,5,6,6,5,5,2,1,5,5,5,1,4,2,3,3,3,5,5,5,2,2,3,3,4,3,6,5,5,3,3,5,4,4,3,2,5,5,2,5,2,6,4.25,3.333333333,5.777777778,4,2.333333333,3.5
Lil' one,01/01/1969,0,Unknown,Unknown,AH,2,7/26/2001,Yerkes,A,9,5,3,5,4,3,2,1,2,3,4,4,5,3,3,3,5,3,3,5,5,5,5,3,4,3,3,3,5,4,3,5,3,5,5,5,5,3,5,3,2,3,4,3,3.75,4.333333333,5.222222222,5,5,4.5
Lil' one,01/01/1969,,Unknown,Unknown,SS,2,1/14/1999,Yerkes,B,9,2,4,6,4,5,1,6,5,2,5,3,5,2,4,2,4,2,1,5,6,6,2,1,6,4,2,1,6,6,1,5,4,7,5,4,1,2,6,2,2,3,1,6,5.166666667,4.333333333,5.777777778,5,3.333333333,5
Lindsey,02/10/1994,1,Leslie,Lux,KG,2,02/01/1998,Yerkes,A,,4,5,6,5,3,5,4,6,3,5,5,5,4,3,4,5,4,3,7,4,5,5,3,5,5,6,4,4,6,4,5,2,6,4,5,4,4,4,3,2,4,5,3,4.083333333,4.555555556,4.555555556,4.6,4.666666667,5
Lindsey,02/10/1994,,Leslie,Lux,LP,2,06/11/2000,Yerkes,B,,5,4,4,3,3,6,6,6,5,4,3,3,6,2,6,3,4,4,3,3,6,6,5,4,4,4,4,3,5,2,4,4,3,3,4,4,5,5,2,2,3,4,4,4.25,5.444444444,3.555555556,3.2,5.333333333,4
Lizzie,08/06/1990,0,Foxy,Edward,SS,1,1/14/1999,Yerkes,A,,3,3,5,4,4,3,3,3,3,6,3,4,7,1,6,6,4,3,3,4,5,3,3,6,3,4,3,5,4,2,4,2,5,4,4,1,1,6,1,2,1,2,4,4.25,5.777777778,5.444444444,4.4,4.666666667,5
Lolita,08/01/1959,0,Unknown,Unknown,WH,1,7/24/1997,Yerkes,A,3,4,4,5,5,4,2,5,2,2,5,6,4,4,5,2,4,3,2,5,5,4,5,3,3,4,4,4,5,4,5,5,3,4,4,4,3,3,5,6,2,6,4,5,3.916666667,3.555555556,5.333333333,4.4,3.666666667,3.5
Lucas,3/22/1993,1,Bo,Rogger,WH,1,,Yerkes,A,2,1,6,7,2,2,6,4,6,7,6,1,2,4,3,5,2,4,6,3,4,5,7,4,3,3,2,3,5,5,2,3,6,2,4,2,3,4,5,2,2,1,1,5,5.333333333,4.777777778,3.444444444,3,6.666666667,2.5
Lucy,07/01/1956,0,Unknown,Unknown,DL,1,10/04/1997,Yerkes,B,,6,2,2,6,5,5,3,3,2,5,6,5,2,5,3,5,2,3,3,6,5,3,2,2,6,7,4,5,4,3,6,3,4,6,2,5,2,5,5,2,5,6,5,2.583333333,4.111111111,5.333333333,5.6,3,2
Lulu,01/01/1957,0,Unknown,Unknown,SS,1,1/14/1999,Yerkes,B,,3,1,4,4,3,2,2,4,1,5,4,5,4,4,3,5,1,1,3,5,5,5,2,5,4,4,2,6,4,2,5,3,5,5,2,2,2,6,2,2,1,2,4,3.5,4.555555556,5.888888889,5,5.666666667,3.5
Luther,1/14/1990,1,Pamela,Rogger,AH,2,7/15/2001,Yerkes,A,2,2,2,5,4,7,2,2,2,2,4,3,3,1,5,1,5,4,3,2,6,4,2,1,5,3,4,2,7,6,4,4,3,2,4,2,4,1,4,5,3,5,3,4,4.083333333,3,6,4.4,2,3.5
Luther,1/14/1990,,Pamela,Rogger,MW,2,7/29/2001,Yerkes,B,2,4,4,6,4,3,5,4,5,4,4,3,4,5,3,6,4,3,5,3,4,4,6,5,5,4,4,5,3,5,4,5,4,4,5,3,3,5,4,2,3,3,6,4,4.25,4.888888889,3.444444444,4.4,5.333333333,4
Lux,8/16/1981,1,Marilyne,Walnut,AH,1,7/26/2001,Yerkes,A,11,2,6,5,3,4,3,2,2,3,3,3,3,3,5,3,4,4,5,4,4,3,5,4,4,1,1,2,3,3,5,3,5,4,4,4,5,4,4,6,5,4,3,5,4.916666667,3,4.111111111,3.6,4.333333333,4
Lyons,08/03/1984,1,Lilone,Rogger,SS,1,1/14/1999,Yerkes,B,,4,5,5,2,2,5,6,5,7,4,2,3,5,3,5,2,6,6,5,2,3,6,6,5,3,3,5,3,4,3,3,5,4,3,4,2,5,3,3,2,4,3,5,5.083333333,4.222222222,2.888888889,2.6,5.333333333,4.5
Magnum,07/08/1989,1,Gay,Rogger,SS,1,01/10/1999,Yerkes,A,,5,3,4,5,3,2,2,2,1,5,4,4,6,2,6,4,3,2,2,5,4,4,4,6,6,6,1,3,4,2,6,3,5,3,5,1,2,5,1,3,1,4,4,3.25,5.444444444,5.444444444,4.4,5.333333333,5.5
Mai,01/01/1964,0,Unknown,Unknown,TH,1,8/16/2000,Yerkes,B,,5,2,6,4,2,1,6,6,2,3,6,3,2,4,2,4,5,4,4,3,5,6,1,2,6,6,6,2,5,5,4,4,4,6,2,2,6,3,6,4,1,1,2,3.583333333,2.777777778,3.666666667,4,6.333333333,2
Marietta,08/03/1973,0,Martha,Homer,MW,2,7/15/2001,Yerkes,A,2,6,1,2,6,3,2,3,3,2,3,5,5,3,2,2,4,1,2,2,5,4,4,2,2,6,5,2,5,4,6,6,2,4,2,2,4,1,5,6,4,3,3,2,2.416666667,3.333333333,5.666666667,4.4,4.666666667,2
Marietta,08/03/1973,,Martha,Homer,SS,2,1/14/1999,Yerkes,B,2,3,4,5,3,4,6,5,5,3,2,4,3,2,6,3,3,5,2,4,4,2,2,3,4,3,3,4,4,4,4,3,4,4,2,4,1,4,2,2,2,3,4,5,4.666666667,3,4.555555556,3,3.666666667,4
Marilyne,1/13/1971,0,Lola,Unknown,SS,1,1/14/1999,Yerkes,B,,2,7,7,1,5,2,7,6,6,3,1,1,3,6,3,3,5,5,7,3,4,3,5,4,1,1,5,4,7,4,4,7,7,3,5,2,3,3,2,1,2,1,7,6.75,3.222222222,3.333333333,2.8,4,4.5
Martha,07/07/1960,0,Flora,Jent,SS,1,1/14/1999,Yerkes,B,,2,3,3,4,4,2,3,2,2,3,2,4,2,4,2,4,2,1,2,4,4,3,1,3,2,3,1,6,4,2,4,1,5,4,1,1,2,4,6,1,4,1,5,4.333333333,3.111111111,6.555555556,4,3.666666667,2
Mary,07/07/1960,0,Flora,Jent,AH,2,7/15/2001,Yerkes,A,2,3,1,2,6,4,1,1,1,1,3,5,4,2,5,1,2,1,1,4,6,5,4,2,2,6,5,2,6,5,4,5,1,4,3,2,5,2,3,7,1,5,4,4,2.75,2.888888889,6.555555556,4,3.666666667,2
Mary,07/07/1960,,Flora,Jent,BN,2,06/02/2000,Yerkes,A,2,3,3,3,4,4,3,4,3,3,3,5,3,2,5,3,3,2,2,3,4,3,3,2,3,5,4,3,4,4,4,4,3,3,2,3,3,2,2,4,4,4,3,3,3.416666667,3,5.111111111,3.2,3.666666667,3
Mason,9/18/1984,1,Gwennie,Walnut,AH,1,,Yerkes,A,2,1,5,2,2,3,2,2,2,3,5,1,3,4,3,4,3,3,3,4,3,4,4,3,4,4,3,4,4,4,2,4,3,5,3,2,3,3,4,4,3,3,2,6,4.666666667,4.222222222,4.888888889,3.2,4.666666667,3
Maxine,02/10/1957,0,Unknown,Unknown,MW,2,7/15/2001,Yerkes,A,2,7,1,5,7,3,2,2,5,2,3,7,3,2,2,1,6,1,1,2,6,4,5,2,3,7,6,4,6,2,6,5,2,5,1,2,3,2,4,6,4,3,2,2,2,2.888888889,5.333333333,4.2,5,2.5
Maxine,02/10/1957,,Unknown,Unknown,BN,2,5/20/2000,Yerkes,A,2,3,2,2,4,4,2,2,1,2,3,4,3,2,4,2,3,1,1,1,4,3,3,2,4,4,4,2,4,4,4,4,2,3,2,2,2,1,3,4,2,4,2,3,3.166666667,3,6.111111111,3.2,3.666666667,3
Mega,11/27/1984,0,Cookie,Jimoh,DP,2,7/27/2001,Yerkes,A,2,1,6,3,5,6,1,6,6,7,6,2,3,3,2,4,3,4,2,4,3,3,6,2,1,3,2,4,7,7,2,5,6,6,4,2,2,2,5,2,1,1,6,6,5.416666667,5,4.555555556,3.6,5,1.5
Mega,11/27/1984,,Cookie,Jimoh,WH,2,8/19/1997,Yerkes,B,2,2,5,5,2,4,4,5,1,5,4,2,3,3,5,5,3,5,4,5,3,3,5,5,4,3,4,5,5,5,4,4,5,5,5,5,3,3,3,4,3,4,5,5,5.166666667,3.777777778,4.222222222,3.6,4.333333333,4.5
Melinda,10/30/1982,0,Lana,Juan,WH,1,1/15/1998,Yerkes,A,8,6,3,2,5,6,1,2,2,1,5,6,4,4,3,4,4,1,2,5,6,5,3,1,1,5,5,2,5,4,3,5,1,4,6,2,2,2,5,4,4,5,2,3,2.666666667,4.333333333,6,5,2.666666667,1.5
Melissa,6/27/1981,0,Tai,Harv,WH,2,7/23/1997,Yerkes,A,8,1,7,7,2,3,1,7,7,6,4,2,2,6,4,6,3,7,4,7,2,4,5,5,6,2,2,4,4,6,2,3,6,6,5,4,4,4,4,4,4,2,4,7,6.5,4.666666667,3.111111111,3,5.333333333,5
Melissa,6/27/1981,,Tai,Harv,MW,2,7/26/2001,Yerkes,B,8,3,5,6,3,3,1,6,6,4,4,2,1,2,3,3,3,6,4,6,3,4,5,6,5,2,2,5,5,6,2,4,4,6,4,4,3,4,4,5,4,3,2,6,5.75,3.666666667,3.555555556,3,5,4.5
Merv,01/06/1976,1,Halpha,Hep,AH,2,7/15/2001,Yerkes,A,2,2,5,5,2,3,2,5,5,5,4,2,4,5,4,6,4,5,5,4,3,4,5,5,5,2,2,5,5,5,2,4,4,4,4,5,2,3,3,1,3,2,4,7,5.5,4.777777778,3.777777778,3.8,5.333333333,5
Merv,01/06/1976,,Halpha,Hep,DL,2,10/04/1997,Yerkes,B,2,2,7,7,2,2,4,7,7,6,5,2,2,5,4,6,2,7,7,5,2,4,6,6,5,2,2,6,4,6,2,3,6,5,2,7,2,6,5,2,2,1,5,5,6.166666667,5.111111111,2.444444444,2.2,6.333333333,6
Missy,07/08/1993,0,Mai,Jimoh,TH,1,8/16/2000,Yerkes,B,,6,1,4,7,2,2,1,1,1,6,7,6,7,1,7,3,1,1,1,7,6,4,5,6,7,7,1,7,2,1,7,1,6,4,5,2,1,7,1,5,3,6,1,1.833333333,6.666666667,6.111111111,5.4,5,5.5
Mort,12/20/1976,1,Mary,Homer,WH,2,07/07/1997,Yerkes,A,2,1,6,6,1,2,6,6,6,6,4,4,4,4,4,4,1,7,7,4,1,2,7,7,4,2,2,7,5,6,4,4,6,4,2,4,2,6,2,4,5,1,4,6,5.916666667,3.555555556,2.111111111,2.4,6.666666667,4
Mort,12/20/1976,,Mary,Homer,MW,2,7/15/2001,Yerkes,B,2,1,7,7,1,1,7,7,6,2,1,2,1,2,2,6,2,7,7,6,1,1,7,6,2,1,1,7,2,6,2,4,6,3,1,2,1,3,2,1,4,2,2,7,6.5,3.666666667,2.777777778,1.8,6.666666667,2
Natasha,12/19/1987,0,Mai,Walnut,SS,1,1/16/1999,Yerkes,B,,5,3,2,3,4,1,4,6,3,4,2,2,3,2,2,5,6,2,4,6,4,3,1,3,5,4,2,7,2,1,5,1,5,2,1,2,1,6,7,1,2,3,5,4,4,6,4,4.333333333,2
Patrick,7/14/1993,1,Teppi,Zeb,KG,1,2/18/1998,Yerkes,A,4,6,1,2,5,2,7,6,6,4,3,7,4,5,4,4,4,2,4,3,6,6,6,6,4,6,5,6,3,4,5,5,5,3,3,3,5,5,4,5,4,2,4,3,2.666666667,4,3,4.4,6,3.5
Peony,01/01/1968,0,Unknown,Unknown,SS,1,1/19/1999,Yerkes,B,,1,7,5,1,6,1,6,3,2,5,1,4,2,5,1,4,3,1,2,6,5,1,1,2,1,2,1,6,6,1,4,5,4,4,2,1,1,6,4,1,4,1,6,5.916666667,3.777777778,6.111111111,4.4,2.333333333,2
Phillip,4/30/1977,1,Lolita,Hep,MW,2,7/26/2001,Yerkes,A,6,3,4,4,3,2,5,5,6,6,3,3,2,1,6,2,2,3,3,5,1,2,5,6,3,2,3,6,4,5,4,2,4,3,3,2,3,5,2,5,4,5,3,6,4.666666667,2.444444444,3.111111111,2,4.666666667,2.5
Phillip,4/30/1977,,Lolita,Hep,SS,2,1/19/1999,Yerkes,B,6,2,7,5,1,5,2,6,5,5,1,1,1,4,6,4,1,6,6,4,2,1,3,6,3,1,1,4,3,6,2,2,6,3,1,1,1,2,1,2,2,1,1,6,6.083333333,2.888888889,3.444444444,1.4,4.333333333,2
Phineus,01/01/1966,1,Unknown,Unknown,JF,1,01/12/1999,Yerkes,B,,5,6,4,4,3,2,7,7,2,6,2,4,6,2,5,2,6,5,6,3,5,5,2,5,2,2,2,6,6,1,4,1,6,5,4,1,2,4,1,1,2,1,6,5.5,5.222222222,5.333333333,3.6,5.333333333,4.5
Polyanna,2/17/1989,0,Lilone,Jimoh,WH,1,7/30/1997,Yerkes,A,12,5,4,4,5,4,1,4,3,2,5,5,4,4,4,4,4,4,3,5,4,4,4,2,3,5,4,4,5,4,3,4,4,5,4,4,4,2,2,4,4,5,4,4,3.75,4,5,4,3.666666667,3.5
