X1..I.like.to.have.the.final.s,X2..I.spend.a.lot.of.time.visi,X3..I.often.want.to.impress.ot,X4..It.is.not.important.to.me.,X5..I.try.to.be.in.the.company,X6..I.feel.sad.if.nobody.recog,X7..Encounters.with.other.peop,X8..I.like.buying.things.which,X9..I.would.like.to.be.an.exec,X10..I.have.little.interest.in,X11..I.would.be.very.worried.i,X12..I.want.to.be.able.to.shar,X13..Getting.close.to.someone.,X14..I.feel.confident.when.dir,X15..Often.I.would.rather.be.a,X16..The.idea.of.not.having.an,X17..I.start.worrying.instantl,X18..I.try.to.control.others.r,X19..I.am.happy.to.do.people.f,X20..I.like.to.fully.immerse.m,X21..I.am.willing.to.use.aggre,X22..I.am.more.likely.to.help.,X23..Others.know.it.is.better.,X24..I.do.not.enjoy.having.aut,X25..Iƒ..m.very.keen.on.an.und,X26..It.is.important.to.me.to.,X27..I.go.out.of.my.way.to.mee,X28..I.enjoy.having.control.ov,X29..I.often.try.to.get.my.own,X30..I.do.not.have.a.forceful.,X31..It.is.better.to.do.good.t,X32..I.like.it.when.others.loo,X33..I.become.scared.when.I.lo,X34..The.opportunity.to.exerci,X35..Continuously.improve.myse,X36..To.be.in.a.leadership.pos,X37..Continuously.engage.in.ne,X38..Give.sympathy.and.love.to,X39..Opportunities.to.influenc,X40..Projects.that.challenge.m,X41..Personally.producing.work,X42..Be.respected.and.admired.,X43..Opportunities.to.take.on.,X44..High.social.status.,X45..Have.a.close..intimate.re,X46..Be.able.to.exert.influenc,X47..Engage.in.a.lot.of.activi,X48..To.be.well.known.to.a.lot,X49..A.position.with.prestige.,X50..Maintaining.high.standard,X51..Be.held.in.high.esteem.by,X52..Not.being.separated.from.,Age.in.years.,subject,gender
5,3,3,4,3,3,3,3,2,2,3,3,2,4,3,4,3,4,4,3,4,3,3,4,3,4,3,3,4,3,6,4,4,2,4,2,4,3,2,3,1,2,2,1,2,2,1,1,2,1,2,4,47,121,male
5,4,4,5,4,2,5,1,4,5,5,5,2,2,3,5,4,3,2,1,4,5,6,3,5,4,2,1,4,2,6,4,2,6,5,4,1,2,3,4,3,2,5,6,4,3,2,4,3,6,4,5,31,122,female
4,3,4,4,3,3,4,4,3,3,3,3,3,3,3,3,3,3,4,3,3,3,3,4,3,3,3,3,4,3,6,3,3,2,3,2,3,3,3,3,3,3,3,2,3,3,3,2,2,3,3,3,30,123,female
5,1,3,5,2,5,3,2,1,3,4,5,4,1,1,6,5,4,4,6,3,2,2,2,2,4,1,2,3,3,6,4,6,1,4,1,5,4,4,1,6,6,1,5,6,5,2,6,4,6,5,6,22,124,NA
6,6,6,4,6,6,4,6,6,6,6,5,5,5,5,3,3,4,6,4,4,4,3,6,6,6,6,6,4,4,6,6,4,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,21,125,male
4,4,4,3,4,3,4,4,3,3,4,3,4,4,4,4,4,4,3,4,4,3,4,3,3,3,3,4,4,4,4,4,3,4,3,3,4,3,4,4,3,3,3,4,4,4,3,3,4,4,3,3,24,126,male
5,3,3,5,3,2,3,1,4,3,2,4,3,4,3,3,4,4,4,4,4,4,4,3,4,3,2,1,4,2,5,3,4,2,6,2,5,5,5,5,5,3,5,1,5,2,3,1,1,5,4,6,36,127,male
2,5,4,4,5,5,5,5,4,4,6,5,3,4,3,3,3,3,5,5,2,3,2,4,4,4,5,3,2,3,6,5,2,3,5,3,5,6,3,5,6,5,5,3,5,3,4,4,3,5,5,4,41,129,female
3,2,4,2,3,2,6,1,5,5,4,6,5,5,3,5,2,3,6,6,1,5,2,4,5,5,4,5,4,2,6,5,2,4,6,5,6,6,5,5,6,4,6,3,6,4,5,2,4,6,3,6,28,130,male
5,3,5,4,4,5,5,5,4,2,3,5,4,2,3,5,2,4,5,5,2,6,3,4,3,5,2,4,3,2,5,5,5,2,6,2,3,2,2,3,4,3,3,2,6,2,3,2,4,3,4,5,24,132,male
5,4,5,6,4,5,4,3,4,5,4,4,2,5,4,6,3,4,6,5,4,3,2,4,5,4,2,3,3,2,6,4,4,2,5,3,5,5,3,6,6,5,6,2,5,2,3,2,4,6,5,4,28,133,female
3,2,3,5,2,4,4,3,3,2,4,4,5,2,2,4,3,2,4,5,2,3,3,3,3,3,2,2,2,3,6,4,5,2,6,2,4,6,2,3,5,4,2,2,6,2,3,1,2,4,4,5,44,134,female
3,1,2,3,2,2,3,1,1,1,3,3,2,2,2,2,2,2,4,2,1,2,3,2,3,2,1,1,3,1,6,4,4,1,4,1,3,4,1,3,5,2,3,1,2,1,2,1,1,5,3,4,39,135,male
6,6,6,5,5,5,5,6,6,5,5,5,5,5,4,5,5,5,5,4,4,4,5,5,6,6,4,5,5,3,5,6,4,5,5,5,5,4,5,5,5,5,5,5,4,5,5,4,6,5,5,3,32,136,male
5,4,2,4,3,3,4,3,5,6,6,6,4,5,3,3,3,3,5,5,3,3,4,4,5,5,3,4,4,3,5,5,3,3,6,4,5,6,5,6,6,4,6,4,5,5,4,3,5,5,5,5,23,137,female
5,2,5,5,2,5,3,1,6,6,4,3,2,5,4,4,4,4,4,5,3,2,2,5,5,5,5,5,5,4,5,5,4,5,6,5,6,2,5,6,4,5,6,6,4,5,5,6,6,3,5,5,38,138,male
5,4,4,5,4,3,4,4,5,5,5,5,4,5,5,3,3,4,5,5,3,3,4,5,5,5,4,4,3,4,6,5,4,5,5,5,5,5,5,5,5,5,5,3,6,5,5,3,4,5,5,6,30,139,female
4,3,3,5,4,2,5,4,2,2,3,5,3,4,3,2,1,3,5,5,3,3,3,4,5,2,5,3,2,2,6,5,2,2,4,2,4,3,3,4,4,4,4,3,5,4,3,2,3,4,4,5,26,140,male
5,2,4,5,3,4,4,2,3,5,5,5,3,5,3,5,4,3,4,5,4,4,3,4,4,3,3,2,4,4,6,4,4,3,4,3,3,4,3,2,4,3,3,2,5,3,3,2,3,4,3,3,21,141,female
5,5,5,5,4,4,4,3,4,4,6,5,4,4,4,4,5,5,5,5,3,3,4,4,5,4,4,4,4,3,5,4,4,4,5,4,5,6,4,5,5,6,5,3,5,3,4,3,3,5,5,6,37,142,female
5,6,6,2,5,4,3,5,1,6,6,6,4,4,2,5,6,5,5,6,6,5,2,1,5,2,6,5,5,6,6,5,6,6,5,1,5,4,3,3,1,5,2,2,2,6,5,6,6,5,6,5,33,143,male
4,5,2,2,6,4,5,4,5,2,5,5,5,6,6,5,5,5,5,5,4,2,2,5,5,5,5,5,4,4,4,5,5,5,5,6,4,3,5,5,5,6,4,5,6,5,5,5,6,5,5,6,28,144,female
4,4,4,5,4,4,4,3,3,2,6,5,2,4,4,5,3,4,5,4,2,4,2,4,5,5,2,4,4,3,6,4,4,3,4,2,3,3,3,2,4,4,4,2,4,4,3,2,2,4,4,4,44,145,male
2,3,3,2,3,2,4,3,2,2,2,5,4,4,3,2,2,2,4,4,2,2,2,3,2,2,2,2,2,2,6,3,3,2,5,2,4,5,2,4,5,2,4,2,5,2,3,2,2,5,2,5,39,146,female
5,5,5,5,5,5,3,3,4,4,4,4,3,5,4,4,4,3,5,4,3,2,3,5,5,5,3,4,3,3,6,6,5,5,5,5,5,4,5,6,6,5,5,4,6,5,5,4,5,6,6,6,34,147,male
3,3,3,4,3,3,4,3,3,3,3,4,4,4,3,3,3,3,4,4,3,3,3,3,3,3,3,3,3,3,6,4,3,2,5,2,5,5,2,5,5,4,4,2,4,2,3,2,2,5,4,4,34,148,male
2,1,3,4,4,2,4,2,1,1,4,5,1,2,3,4,4,2,4,3,1,3,2,2,3,2,2,2,1,1,6,3,5,1,6,1,3,5,3,3,4,3,3,1,4,2,3,1,2,4,3,5,NA,150,NA
4,2,5,6,4,6,4,5,5,5,6,5,2,4,3,6,6,4,6,5,4,2,3,4,6,5,1,4,4,4,6,5,6,3,6,2,4,5,3,5,6,6,4,3,4,3,3,5,6,6,6,4,25,151,female
4,3,4,4,4,3,4,4,3,4,4,4,2,3,4,4,3,4,5,3,5,3,3,4,4,4,3,3,3,2,5,5,4,2,6,4,6,2,3,6,6,3,6,2,3,3,3,2,2,6,4,4,31,152,male
5,4,5,4,5,5,4,5,5,4,5,3,3,4,2,5,4,3,4,3,3,3,3,4,3,4,3,4,2,3,5,5,4,3,4,4,3,3,4,3,5,4,3,3,3,3,3,4,4,5,4,5,26,153,female
4,5,6,5,6,6,6,4,5,3,6,6,5,4,5,5,2,4,5,5,5,6,3,4,5,6,2,4,4,4,6,5,4,4,6,4,6,6,6,6,6,6,6,6,6,5,5,6,6,6,6,6,23,154,male
4,4,3,2,4,5,6,3,2,3,5,3,2,4,5,3,2,2,3,3,2,1,2,4,4,5,4,3,3,4,6,4,3,2,5,3,6,3,4,4,5,4,5,3,3,2,4,3,3,4,5,3,33,155,female
4,5,6,1,4,5,4,3,3,5,3,3,2,6,4,3,2,4,5,4,6,2,4,3,3,5,3,3,2,5,4,6,1,2,5,2,4,6,4,5,6,4,3,2,4,5,4,3,2,6,5,4,35,156,male
6,6,5,6,6,3,6,6,6,6,6,1,2,6,4,1,1,6,6,6,1,4,1,6,6,6,6,6,6,3,6,6,6,6,6,6,6,6,6,4,6,6,6,6,6,6,4,6,6,6,6,6,25,157,male
4,3,4,5,3,4,5,4,5,6,5,5,5,4,4,2,1,1,4,4,1,1,1,4,4,4,2,1,1,2,6,4,1,2,6,3,4,6,3,3,5,4,2,3,6,2,4,3,3,5,5,6,44,158,female
5,2,5,6,2,5,6,6,5,5,5,6,2,5,1,2,2,5,6,6,5,2,4,2,2,5,2,2,6,2,6,5,6,5,6,5,6,6,5,5,6,6,6,6,6,6,6,5,6,6,6,6,30,160,male
5,4,4,5,3,3,3,3,5,5,5,4,3,5,2,5,4,5,5,3,3,3,4,5,5,4,3,5,4,3,4,5,5,4,4,5,5,3,5,4,5,5,5,3,4,5,3,3,4,5,5,3,22,162,female
2,5,5,5,5,2,5,1,2,2,4,3,4,2,4,3,5,2,4,3,4,4,3,3,3,2,3,4,5,3,5,3,2,4,3,4,3,2,2,3,4,3,3,3,4,3,2,3,3,2,3,3,27,163,female
2,5,5,5,6,5,5,5,5,2,3,5,5,5,2,5,5,5,5,5,5,5,5,2,5,5,5,5,5,2,5,5,5,3,6,3,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,35,164,female
4,6,2,4,5,1,6,2,1,3,2,6,5,4,6,3,1,2,6,6,2,2,3,3,2,1,5,3,3,3,6,4,3,2,6,3,5,6,2,4,6,4,5,1,6,2,6,3,2,6,4,6,31,165,female
4,2,3,5,3,4,4,2,4,5,4,5,4,4,5,4,3,4,5,6,3,5,2,5,5,4,4,3,2,2,6,6,5,3,6,6,5,5,6,3,6,6,4,3,6,6,6,5,5,5,5,6,30,166,female
4,1,3,2,1,2,4,3,2,2,4,5,4,4,2,3,2,2,5,6,4,2,3,3,4,2,2,2,2,3,5,4,1,1,5,2,3,5,3,3,5,2,3,1,5,2,2,1,1,4,3,5,41,167,male
5,3,3,4,5,5,5,2,2,6,5,5,2,5,2,3,4,4,5,5,2,2,2,4,5,6,5,3,4,2,5,5,4,5,6,5,5,5,4,6,5,5,5,4,5,4,6,4,5,6,6,6,23,168,male
5,5,1,6,5,1,5,5,5,6,5,5,5,5,2,5,5,1,5,5,5,5,2,5,3,4,6,1,2,6,6,6,2,6,6,6,6,6,6,6,6,6,6,5,5,5,5,6,5,5,5,5,32,170,female
6,3,4,4,3,5,4,3,4,3,4,5,4,4,2,5,3,3,3,6,4,5,4,3,5,5,5,6,5,3,4,5,5,4,5,4,4,5,6,6,5,4,5,3,4,4,4,5,5,6,6,3,33,171,female
4,5,3,3,2,3,2,4,3,4,2,4,2,4,4,3,2,4,4,3,5,4,5,4,3,4,2,3,5,3,6,3,4,4,3,4,4,3,4,3,3,4,4,2,1,2,2,3,3,3,2,4,30,172,male
2,5,4,5,5,3,2,1,1,2,6,5,3,4,5,3,2,2,5,5,1,2,1,2,5,3,4,2,1,2,6,2,2,1,4,2,2,5,2,2,4,4,4,1,4,2,4,3,2,5,5,5,57,173,male
4,2,4,4,2,2,5,4,3,4,4,5,3,5,3,3,2,4,5,5,2,4,3,4,4,3,2,3,3,2,6,6,4,2,4,3,3,4,2,3,5,5,4,3,5,3,4,2,4,5,5,5,20,174,female
4,4,4,4,4,5,3,3,3,4,5,4,3,4,3,6,4,3,4,4,2,3,3,4,4,4,2,3,3,3,5,4,4,2,6,3,5,4,3,5,5,2,4,2,5,3,4,2,2,5,3,4,27,175,female
3,2,3,3,3,2,4,3,2,1,5,3,3,3,2,3,2,2,5,2,1,4,1,2,3,4,2,2,1,3,6,4,2,2,5,2,6,4,3,5,6,6,6,2,4,3,3,3,2,6,5,5,46,176,male
5,5,5,5,5,5,5,5,5,6,5,5,2,5,5,2,2,5,5,5,5,5,4,5,5,5,5,5,5,5,6,5,2,4,6,5,5,5,5,5,5,5,5,5,5,5,4,4,4,5,5,6,25,177,male
4,5,4,5,5,3,5,4,4,5,6,5,2,5,4,4,3,4,6,5,4,2,2,4,5,5,4,4,5,5,4,4,5,4,6,5,5,5,4,4,6,4,5,4,5,5,4,5,5,6,5,3,25,178,male
4,4,4,4,4,4,4,3,3,3,4,3,3,3,4,4,3,3,3,3,3,3,3,3,4,4,3,3,4,3,6,4,4,2,3,2,3,4,3,3,4,3,3,2,4,2,4,2,2,4,4,3,54,179,male
5,4,6,5,4,4,4,4,3,3,5,5,4,3,3,4,2,4,4,5,4,2,4,4,4,4,3,3,3,2,5,5,2,1,4,2,5,5,4,2,6,6,6,2,6,2,2,3,6,6,4,6,29,180,female
2,1,5,5,2,5,5,1,1,1,6,6,4,4,2,5,5,5,5,5,1,5,4,1,5,5,2,1,4,2,6,6,6,1,5,1,4,5,5,5,6,6,4,2,5,5,3,3,3,5,6,6,49,181,male
6,4,5,5,3,2,4,2,5,5,4,4,3,5,3,4,3,5,4,5,5,4,5,5,4,5,4,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,6,5,4,5,6,6,5,6,29,182,male
2,1,3,4,1,3,3,2,2,1,4,3,3,2,4,5,2,3,4,3,3,3,3,3,3,3,1,2,3,2,5,4,3,2,3,2,2,2,2,3,4,3,3,2,2,1,1,1,2,4,2,2,31,183,male
1,3,1,2,4,1,5,2,2,2,5,4,5,5,2,6,2,2,5,5,2,2,3,5,3,3,5,1,2,2,6,4,5,2,5,3,3,5,4,5,6,6,6,1,6,3,5,3,2,6,4,6,NA,184,NA
3,2,4,5,2,2,5,1,1,6,4,6,4,2,2,4,2,2,5,5,1,2,1,2,3,3,2,2,2,1,6,5,3,3,6,2,5,6,4,4,5,3,4,2,6,3,4,4,1,5,3,6,23,185,female
4,5,3,3,3,3,4,2,3,3,4,4,3,4,3,5,3,4,5,5,2,2,3,3,4,3,5,3,2,2,6,4,3,2,5,2,4,5,2,5,5,2,5,2,5,2,3,2,2,5,2,5,30,186,male
5,3,4,4,2,3,3,1,1,1,5,6,1,4,2,5,5,2,5,5,5,5,2,2,5,4,2,2,4,4,6,5,5,2,4,2,2,3,3,2,4,2,2,2,4,3,1,2,2,4,3,4,36,187,male
4,1,3,4,3,4,4,4,3,2,6,4,2,3,3,4,3,3,5,4,3,2,3,2,6,3,1,2,3,3,6,4,4,2,3,1,4,3,2,3,5,3,3,2,4,2,2,2,2,4,6,4,43,188,male
2,3,3,3,4,4,4,3,4,5,5,5,2,2,6,4,2,4,4,4,2,3,2,4,5,4,3,2,2,3,6,5,4,2,5,3,3,5,5,4,5,4,3,1,5,4,4,2,3,5,5,6,24,189,female
4,3,3,4,5,5,5,1,4,5,2,5,3,4,4,2,2,3,5,5,2,2,2,5,2,6,3,2,3,5,5,5,2,4,5,5,6,4,5,6,5,4,6,1,4,3,2,5,3,5,6,6,23,190,male
4,3,2,2,4,3,4,4,4,2,3,4,3,3,3,4,5,4,4,5,4,4,2,3,4,4,5,3,3,3,5,5,3,3,4,4,3,3,4,4,5,4,4,2,4,3,3,2,3,4,3,4,36,191,male
3,4,3,5,5,5,5,4,3,2,6,5,3,5,5,5,5,5,5,4,3,2,3,3,6,5,5,2,2,1,6,4,5,2,6,2,5,6,3,3,6,5,4,2,5,3,4,2,3,6,4,6,42,192,female
5,5,4,5,4,5,5,3,4,4,4,5,3,4,4,5,4,4,4,3,3,3,4,4,4,5,3,4,3,4,4,4,4,4,5,4,4,4,4,5,4,5,5,4,5,4,4,4,4,5,5,5,19,193,male
5,6,6,4,5,6,4,4,5,5,6,4,3,5,4,5,6,6,5,4,5,4,3,4,5,5,4,5,4,5,6,6,5,4,5,5,4,4,5,4,6,6,4,5,2,6,4,5,5,6,5,3,27,194,male
4,2,4,4,2,2,3,1,4,3,1,4,2,4,2,2,2,4,4,4,3,4,3,4,3,4,3,4,4,3,5,5,2,2,3,3,4,3,3,3,5,2,3,2,5,3,1,1,2,4,2,4,30,195,male
5,2,2,3,2,2,2,2,2,3,2,4,2,4,3,4,2,4,4,4,4,2,2,3,4,2,2,2,2,3,6,4,2,1,6,1,1,4,4,4,6,2,4,1,5,4,2,2,1,5,4,6,42,196,female
6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,1,1,1,1,4,1,1,1,1,1,1,1,1,1,6,1,6,1,4,1,2,1,1,1,3,1,1,1,1,1,1,1,1,3,1,1,57,197,male
5,5,3,6,3,5,5,1,3,3,6,6,3,5,3,6,5,5,5,6,5,6,4,3,6,5,5,5,5,2,6,6,5,4,6,5,5,6,5,5,5,5,5,2,6,5,4,4,4,5,5,6,25,198,female
1,5,3,6,5,2,5,1,1,4,4,6,3,4,4,5,2,2,5,6,2,2,2,3,2,2,3,3,1,2,5,4,4,2,6,2,3,3,2,5,6,4,4,1,6,2,4,1,1,6,4,6,25,199,female
4,3,4,4,4,5,6,4,3,2,4,3,3,4,3,5,3,3,4,4,3,5,2,3,4,4,5,3,3,3,6,4,4,2,3,2,2,4,2,1,3,3,2,2,4,2,3,3,2,3,3,4,55,201,male
4,2,2,5,4,2,5,2,3,5,3,5,4,4,3,5,4,4,4,4,4,4,5,5,4,4,4,5,4,2,5,4,5,5,5,4,3,5,4,4,5,5,4,4,4,5,4,4,4,4,5,4,31,202,male
5,3,4,6,4,5,5,4,3,3,6,4,2,2,4,4,4,3,4,4,3,3,3,3,6,5,3,3,3,2,5,5,4,2,4,2,3,5,3,3,5,4,3,2,5,3,4,2,2,5,5,5,40,203,female
5,3,4,5,2,3,4,3,2,4,6,6,2,4,3,4,2,2,4,3,1,1,2,4,4,4,3,3,3,2,6,4,4,2,4,2,3,5,5,4,6,5,3,1,4,3,2,2,1,6,6,6,39,204,female
4,1,4,4,1,3,4,1,3,4,3,5,3,4,3,3,2,4,5,5,3,2,3,4,2,3,1,4,3,4,6,4,2,2,4,1,3,5,2,6,4,2,4,1,3,2,2,1,1,4,2,3,30,205,male
4,2,5,4,2,3,2,1,1,1,4,4,3,2,1,5,4,3,5,5,2,1,1,1,4,3,1,1,2,3,6,6,6,1,6,1,5,4,3,3,5,3,3,1,2,3,1,1,1,6,1,4,22,206,male
4,3,2,4,3,3,5,2,4,4,5,5,3,5,4,4,2,2,4,5,4,2,2,4,4,3,3,2,2,2,6,5,2,2,6,3,6,5,5,6,6,4,6,2,5,3,3,2,2,6,4,5,40,207,male
6,1,6,6,3,3,4,5,6,5,4,5,5,5,2,5,5,5,5,5,5,5,2,5,4,5,2,5,5,4,4,4,4,4,4,4,4,4,4,4,3,5,5,5,5,5,3,3,4,4,4,4,33,208,male
5,2,4,5,3,5,4,3,5,5,5,4,3,5,3,4,4,4,5,3,3,2,3,5,5,5,2,4,3,2,6,6,4,3,6,5,4,4,6,4,5,5,4,3,3,6,3,4,4,6,6,4,33,209,male
4,3,5,4,4,4,5,3,2,2,5,5,5,3,4,3,5,3,5,5,3,4,4,2,5,3,2,2,4,2,5,5,5,2,5,2,5,5,5,5,5,5,5,4,5,4,4,4,4,5,5,5,NA,210,NA
4,3,4,4,3,4,4,2,2,3,4,6,5,3,3,4,4,3,5,4,2,3,2,3,4,4,3,3,2,2,6,4,3,2,6,3,5,4,4,5,4,4,5,3,5,4,4,3,3,5,4,3,48,211,male
4,4,3,4,3,3,4,4,5,5,3,6,5,6,3,4,3,4,6,6,4,3,4,4,2,3,3,3,1,5,5,4,4,3,6,5,6,6,5,5,5,5,5,1,6,4,3,1,4,6,4,6,31,212,female
3,3,3,4,4,4,4,3,3,4,3,3,3,3,4,4,4,4,3,3,3,2,3,4,4,4,4,4,3,3,4,3,3,3,3,3,4,4,4,3,4,4,4,3,3,3,3,3,3,3,4,4,24,213,male
2,3,2,3,2,3,2,3,2,3,4,3,2,3,2,3,2,3,4,3,2,4,3,2,4,2,2,3,3,2,5,3,3,3,4,2,3,4,2,4,5,4,3,2,3,2,3,3,3,4,4,3,27,214,male
3,1,2,2,1,1,2,1,1,1,3,1,1,2,1,4,2,1,4,1,4,2,2,2,4,3,1,1,3,4,4,3,4,1,6,1,3,1,1,6,5,2,3,1,1,2,1,1,1,6,3,1,37,215,male
3,4,4,5,4,2,4,2,1,5,2,4,2,4,5,2,4,2,4,5,2,2,2,3,4,4,4,2,4,5,4,4,4,2,3,3,3,3,3,3,2,2,2,2,3,3,3,3,3,3,3,3,29,216,male
5,5,5,5,5,4,5,5,5,5,4,5,2,5,3,2,2,5,5,5,5,2,4,5,4,5,2,4,4,3,4,5,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,22,217,male
5,3,4,4,4,4,6,5,2,3,5,6,5,5,4,3,2,3,6,6,5,2,2,3,5,5,4,3,4,4,6,5,2,3,5,2,5,6,4,5,6,4,5,2,6,4,5,2,2,6,5,6,27,218,male
5,3,5,6,4,5,6,6,6,5,5,5,4,5,3,5,5,5,6,5,2,5,5,6,5,5,2,5,5,5,6,6,5,5,4,5,5,5,4,5,5,5,5,5,5,4,5,6,5,5,5,5,27,219,female
4,3,3,5,3,4,5,2,2,2,6,5,6,3,3,6,6,4,5,6,1,1,3,3,6,4,3,2,2,2,6,3,6,2,5,2,5,6,2,3,6,4,3,2,6,2,3,3,3,6,5,6,27,220,female
6,1,1,2,1,1,3,1,4,5,5,5,5,6,3,6,4,4,6,4,3,1,3,5,4,3,3,4,3,5,5,4,4,2,4,2,5,3,2,4,6,1,4,1,6,2,2,1,1,5,2,2,34,221,male
5,2,3,4,2,5,5,2,1,1,6,6,5,1,2,1,3,4,4,5,5,5,3,2,6,4,2,2,3,1,6,5,2,1,5,1,2,6,4,2,4,5,2,1,6,1,3,2,3,6,5,6,35,222,male
6,5,5,4,4,4,5,5,6,6,4,5,5,5,4,3,3,4,6,4,4,4,3,4,4,5,5,4,4,4,6,6,3,4,5,4,3,6,5,2,4,4,3,3,5,4,4,4,3,4,5,5,29,223,male
5,3,6,5,3,5,3,5,2,2,6,5,3,5,2,5,5,4,5,6,3,4,2,2,6,5,1,2,2,4,6,6,5,2,6,2,5,5,4,6,6,6,6,2,5,2,3,5,1,5,5,5,29,224,female
4,5,3,4,5,3,5,3,3,2,6,6,5,5,4,6,6,5,5,5,1,5,2,2,6,4,4,3,3,2,6,5,5,2,4,4,4,5,5,2,5,5,5,5,5,6,5,6,6,5,5,5,30,225,female
5,2,5,5,3,4,4,5,5,5,4,5,3,5,3,5,5,5,5,3,4,4,4,5,3,4,3,4,4,4,6,5,5,4,4,4,3,4,4,2,4,5,5,4,4,2,2,4,5,5,5,4,29,226,female
2,2,1,5,2,3,5,1,4,6,1,6,4,5,3,1,1,1,5,6,1,1,2,6,1,1,2,4,1,6,6,1,1,3,6,3,6,1,3,6,6,1,6,1,6,3,3,3,4,6,3,3,33,227,NA
5,4,3,5,4,3,4,2,3,3,4,5,6,5,3,3,4,4,5,6,4,4,3,3,4,4,4,3,2,5,6,5,4,4,5,5,4,3,3,4,5,5,5,2,5,3,3,3,3,4,4,6,36,228,male
5,3,4,4,4,4,4,3,4,5,4,4,3,5,2,5,3,4,4,4,3,4,4,4,4,5,1,4,4,1,6,5,4,4,6,4,4,4,4,4,4,4,4,3,5,4,3,1,3,4,4,4,35,229,male
6,1,2,5,2,3,4,5,6,6,1,5,6,5,1,6,4,5,6,6,3,1,5,6,2,6,1,6,4,6,5,5,6,3,4,6,3,3,5,5,6,5,6,1,6,5,2,2,6,6,6,6,28,230,female
4,5,5,4,3,5,4,4,2,4,5,5,4,5,4,4,4,3,3,5,4,5,2,3,5,4,3,2,4,3,5,4,4,2,5,3,4,3,3,5,5,3,4,2,5,2,3,2,2,5,3,5,32,231,female
4,1,5,3,3,2,4,1,2,3,2,3,2,3,4,4,3,4,5,4,4,2,2,3,1,1,1,2,3,2,6,3,2,2,5,2,4,3,2,4,5,3,4,3,5,3,4,2,3,4,4,2,33,232,male
4,2,1,4,3,3,3,2,1,2,3,5,4,3,1,6,3,3,5,5,2,5,2,2,3,3,2,2,2,2,6,2,5,1,6,1,5,3,2,5,5,3,4,1,5,1,1,1,1,1,1,5,22,233,female
4,4,3,4,4,3,4,2,3,3,4,4,3,3,3,5,2,2,3,5,3,3,3,3,4,3,2,3,3,4,4,3,4,1,4,1,2,4,2,1,5,2,1,1,5,2,2,1,2,4,2,5,36,234,female
5,2,4,5,5,2,4,2,5,5,2,6,2,5,1,2,2,4,5,5,2,2,2,5,5,5,2,5,2,2,6,5,2,5,6,5,5,5,5,5,5,5,5,2,5,5,5,5,5,5,5,5,33,236,male
4,4,3,5,4,3,5,3,3,2,5,5,4,5,4,3,2,3,5,5,3,4,2,4,4,5,4,3,3,3,5,4,3,2,5,3,5,4,3,4,5,5,5,2,6,2,4,3,2,5,5,6,33,237,male
3,3,3,3,3,3,4,1,1,1,3,4,3,3,2,3,3,2,5,6,1,1,3,3,4,4,3,2,2,1,6,4,4,1,6,1,6,6,1,6,6,3,4,1,4,1,1,1,1,5,3,2,48,238,female
4,3,3,4,3,3,4,4,3,3,3,6,5,4,3,5,3,3,4,5,1,1,4,4,3,3,3,3,3,3,5,4,4,3,6,3,5,6,4,5,5,3,4,2,6,3,2,2,2,6,2,6,42,239,female
4,3,5,2,4,4,4,1,1,5,3,5,1,5,4,2,3,4,4,4,3,2,1,5,4,5,1,4,1,1,6,5,2,6,5,5,5,6,5,5,5,5,5,1,1,1,3,2,1,5,2,5,20,240,female
4,2,4,4,2,3,3,4,2,1,4,4,4,4,1,5,3,4,6,4,3,2,4,3,6,3,3,3,4,2,5,5,4,2,6,1,5,5,3,4,4,6,5,3,5,3,3,3,4,4,6,5,NA,241,NA
3,3,4,4,2,5,3,4,3,3,4,5,3,2,3,5,5,2,5,5,2,4,3,2,4,5,2,2,3,2,6,4,5,2,5,3,5,4,3,5,5,4,5,3,4,2,3,4,4,5,4,5,31,242,male
4,2,4,4,3,4,3,2,2,1,5,5,1,2,2,5,4,3,5,5,3,3,3,3,5,5,2,2,2,3,4,4,4,2,4,1,3,4,3,2,4,3,3,1,4,4,3,3,3,3,3,6,26,243,male
5,5,5,2,4,4,5,5,2,3,4,4,4,5,3,5,3,5,5,4,3,4,3,3,4,3,3,4,3,4,5,5,4,2,5,2,5,5,3,3,4,3,3,1,5,2,4,2,2,3,4,4,27,244,male
2,5,4,3,4,2,6,4,4,3,5,4,5,2,6,5,5,2,5,5,5,5,2,3,4,3,4,4,1,1,6,4,4,5,5,2,5,6,5,5,5,5,5,6,6,6,6,6,4,6,6,5,22,245,female
5,4,1,1,2,1,5,1,1,1,1,6,2,4,3,6,1,4,5,6,1,1,1,1,1,3,5,1,1,1,6,2,4,1,6,2,5,6,2,6,6,4,6,1,6,1,2,3,1,6,3,6,59,246,female
3,2,2,3,2,3,3,3,2,1,3,6,3,2,1,3,2,3,4,4,5,1,2,2,2,3,1,2,3,5,6,3,3,1,6,1,6,6,2,3,5,2,3,1,6,2,2,1,1,5,3,6,40,247,female
