chimp,Sex,DOB,Dam,Sire,Rater,DOPR,DaysAgeatTest,YearsAgeatTest,location,Version ,Group size,fear,dom,pers,caut,stbl,aut,stngy,jeals,reckl,soc,tim,symp,play,sol,actv,help,buly,aggr,manp,gntl,affc,exct,impl,inqs,subm,depd,irri,pred,decs,depr,sens,defn,intll,prot,invt,clmy,errc,frdy,lazy,dsor,unem,imit,indp
Rowena,0,8/13/88,Ericka,Dobbs,AH,7/26/01,4730,13.3,Yerkes,A,11,3,2,6,4,5,2,4,3,6,3,3,2,4,4,4,3,2,2,3,3,2,3,5,4,2,3,5,3,5,4,4,4,4,2,3,4,5,3,5,4,3,4,5
Hunter,1,8/3/84,Lilone,Rogger,WH,7/10/97,4724,13.3,Yerkes,A,2,5,5,5,2,2,1,3,5,6,5,2,2,1,6,4,2,6,6,6,2,2,6,3,3,2,4,5,4,6,3,2,6,4,2,4,4,6,4,2,3,2,4,6
Suwanee,0,2/17/85,Peony,Walnut,WH,11/15/97,4654,13.1,Yerkes,A,7,4,2,4,5,5,1,5,5,2,6,5,5,6,2,6,4,3,2,5,5,5,3,3,5,6,5,2,4,4,2,5,3,5,3,3,3,2,5,2,3,4,4,3
Brandy,0,4/26/85,Lolita,Walnut,WH,11/11/97,4582,12.9,Yerkes,A,2,4,5,4,5,4,4,5,5,3,5,6,3,4,3,4,3,5,5,5,3,3,5,5,3,3,4,5,2,3,4,5,3,2,5,5,5,5,3,3,6,4,3,4
Shirley,0,1/11/85,Tai,Rogger,WH,7/10/97,4563,12.8,Yerkes,A,2,4,5,6,5,4,7,6,2,2,4,4,4,5,3,4,4,5,5,5,4,4,6,2,4,4,5,5,6,6,5,4,5,5,5,4,2,4,4,3,4,2,4,5
Sheena,0,1/20/89,Sabrina,Puddin,WH,7/15/01,4559,12.8,Yerkes,A,5,2,6,5,1,4,2,6,6,6,5,3,4,5,2,5,3,6,5,5,3,4,5,5,6,2,2,3,5,5,2,4,5,5,5,5,4,4,3,3,3,3,4,5
Barney,1,5/6/89,Melissa,Joseph,MW,7/15/01,4453,12.5,Yerkes,A,2,1,7,7,2,2,5,7,6,7,1,2,1,2,2,7,3,7,7,6,1,1,6,6,5,1,1,7,6,5,2,5,2,5,2,2,2,3,3,2,5,2,2,7
Socrates,1,1/23/87,Gwennie,Walnut,SS,1/10/99,4370,12.3,Yerkes,B,,1,7,7,1,5,1,3,1,6,6,1,5,5,2,5,4,6,6,7,6,6,4,6,6,1,1,3,5,7,2,6,7,7,4,7,1,2,4,1,1,1,1,7
Carl,1,5/21/86,Reba,Phillip,LF,12/8/97,4219,11.9,Yerkes,A,3,4,4,5,4,4,5,3,3,3,5,3,6,4,4,3,5,3,3,3,5,5,4,3,5,4,3,2,4,4,3,6,3,4,4,5,4,3,5,4,5,4,4,4
Luther,1,1/14/90,Pamela,Rogger,AH,7/15/01,4200,11.8,Yerkes,A,2,2,2,5,4,7,2,2,2,2,4,3,3,1,5,1,5,4,3,2,6,4,2,1,5,3,4,2,7,6,4,4,3,2,4,2,4,1,4,5,3,5,3,4
Tank,1,2/18/86,Leslie,Ossabaw,WH,8/15/97,4196,11.8,Yerkes,A,3,2,5,6,2,2,4,3,5,6,4,2,2,5,4,5,4,6,6,6,2,3,5,5,4,3,4,5,5,5,4,3,6,5,4,4,5,5,3,2,4,3,4,5
Elwood,1,2/19/90,Jaq,Harv,AH,7/26/01,4175,11.7,Yerkes,A,9,1,6,2,2,5,1,3,2,2,2,2,2,2,5,3,3,5,4,4,4,3,2,3,2,4,2,2,4,4,5,3,5,3,3,3,3,3,3,6,3,6,3,6
Duff,1,2/8/90,Lena,Clint,MW,7/15/01,4175,11.7,Yerkes,A,2,2,5,5,3,2,7,5,6,5,3,3,2,2,3,6,4,4,6,5,3,2,6,6,4,3,3,6,2,3,3,3,5,3,5,2,3,6,3,2,6,3,2,2
Kasey,0,5/13/86,Jenda,Iyk,WH,9/30/97,4158,11.7,Yerkes,B,,6,2,4,6,3,5,5,4,2,3,6,3,3,4,3,3,5,4,4,4,2,5,3,2,6,6,5,5,3,4,3,3,3,2,4,5,5,2,5,5,2,5,2
Natasha,0,12/19/87,Mai,Walnut,SS,1/16/99,4046,11.4,Yerkes,B,,5,3,2,3,4,1,4,6,3,4,2,2,3,2,2,5,6,2,4,6,4,3,1,3,5,4,2,7,2,1,5,1,5,2,1,2,1,6,7,1,2,3,5
Ranette,0,12/17/87,Marilyne,Walnut,SS,1/13/99,4045,11.4,Yerkes,A,,2,5,4,4,5,1,4,5,4,5,2,4,4,2,4,4,5,5,4,4,3,3,2,2,3,3,5,6,5,2,4,4,5,3,3,1,2,3,5,3,3,4,3
Winston,1,1/12/87,Barbara,Ossabaw,LF,12/8/97,3983,11.2,Yerkes,A,3,2,5,5,3,4,2,3,3,3,4,2,3,4,4,4,4,4,5,4,3,3,5,5,4,2,2,4,3,4,3,4,4,5,4,4,3,5,4,3,3,3,3,4
Artemus,1,12/18/90,Jenda,Iyk,AH,7/15/01,3862,10.8,Yerkes,A,5,1,7,6,2,3,3,7,5,5,5,2,2,4,4,6,3,5,5,5,3,5,6,5,5,1,2,4,3,5,1,4,4,5,3,6,2,5,4,1,5,2,4,7
Bjorn,1,7/16/88,Anja,Walnut,SS,1/19/99,3839,10.8,Yerkes,A,,3,2,2,4,3,1,2,2,2,4,3,4,4,4,3,3,2,3,2,4,4,3,2,4,4,4,2,4,4,2,4,2,4,4,4,1,1,4,2,1,2,4,4
Callie,0,2/18/91,Waga,Rogger,MW,7/15/01,3800,10.7,Yerkes,A,5,5,3,5,5,4,1,2,2,2,4,5,3,3,5,4,4,3,5,5,3,2,4,2,3,6,5,4,5,4,2,5,2,4,6,2,1,2,2,2,2,4,5,2
Dona,0,4/3/90,Peony,Walnut,LP,6/11/00,3722,10.5,Yerkes,B,,4,2,2,5,4,2,4,3,2,6,5,5,3,5,3,5,3,3,4,6,6,4,2,3,6,6,2,2,6,2,6,3,6,5,2,1,2,6,4,1,5,4,3
Arthur,1,5/21/91,Jaq,Rogger,MW,7/26/01,3719,10.4,Yerkes,A,6,2,5,6,2,1,3,6,7,7,4,1,2,2,3,7,4,6,6,5,2,3,7,6,4,1,2,6,5,4,4,2,3,2,3,2,4,7,3,2,5,3,2,5
Rebecca,0,5/20/91,Mickie,Frans,AH,7/15/01,3709,10.4,Yerkes,A,5,4,1,5,6,4,1,2,3,1,6,5,5,4,3,5,5,1,1,5,4,5,4,3,4,6,6,2,4,3,2,5,3,4,5,4,4,3,5,2,3,3,5,3
Amanda,0,6/15/91,Sheila,Jimoh,MW,7/26/01,3694,10.4,Yerkes,A,6,7,1,2,6,2,4,3,5,2,5,1,3,2,5,4,4,1,2,6,3,2,5,6,3,7,7,5,5,2,4,4,3,4,2,1,5,5,3,3,5,3,7,2
Scott,1,6/23/87,Jencie,Jimoh,LF,7/18/97,3678,10.3,Yerkes,A,2,2,5,5,2,4,1,1,5,2,4,1,5,5,1,4,5,4,4,4,3,4,3,5,5,1,2,4,3,4,1,4,4,5,4,6,1,4,4,2,1,3,2,5
Katrina,0,7/26/87,Sheila,Walnut,LF,7/18/97,3645,10.2,Yerkes,A,2,5,1,4,5,4,6,1,1,1,4,4,4,3,2,4,5,1,1,1,5,6,4,2,4,5,5,2,4,4,2,6,2,6,5,4,3,1,6,1,1,1,7,4
Evelyne,0,9/4/91,Sabrina,Puddin,MW,7/15/01,3602,10.1,Yerkes,A,5,6,2,3,6,4,1,1,2,2,2,6,2,2,5,3,2,1,1,1,4,2,5,2,2,7,6,2,6,2,5,6,1,4,2,2,2,1,4,2,2,5,2,1
Jarred,1,9/21/87,Gay,Ossabaw,LF,7/24/97,3594,10.1,Yerkes,A,3,1,7,7,1,3,1,5,5,5,4,1,1,6,1,6,3,6,6,4,2,4,3,5,5,1,1,5,2,6,2,2,4,6,2,5,2,6,3,1,1,1,1,7
Rhett,1,4/20/89,Atlanta,Walnut,JM,1/11/99,3553,10.0,Yerkes,B,,1,4,5,2,3,1,2,4,5,5,1,3,4,1,4,3,5,5,2,3,5,3,1,5,2,2,1,4,5,1,3,5,5,2,3,1,1,3,1,1,2,2,5
Storer,1,11/19/91,Mai,Walnut,WH,7/15/01,3526,9.9,Yerkes,A,5,1,4,6,5,6,2,2,1,2,5,4,5,6,2,2,4,2,1,5,6,6,3,2,5,3,4,2,6,4,2,5,2,4,5,4,1,1,6,4,2,2,5,6
Magnum,1,7/8/89,Gay,Rogger,SS,1/10/99,3473,9.8,Yerkes,A,,5,3,4,5,3,2,2,2,1,5,4,4,6,2,6,4,3,2,2,5,4,4,4,6,6,6,1,3,4,2,6,3,5,3,5,1,2,5,1,3,1,4,4
Travis,1,8/2/89,Cissie,Kipper,SS,1/13/99,3451,9.7,Yerkes,B,,4,5,5,2,2,1,5,5,6,4,1,1,4,1,5,2,6,4,5,1,3,2,2,4,2,2,3,5,6,1,3,1,3,2,3,1,2,3,4,2,2,4,5
Jewelle,0,3/9/92,Jaq,Rogger,AH,7/26/01,3426,9.6,Yerkes,A,9,3,6,7,5,3,1,7,6,5,4,3,3,3,5,4,3,6,5,4,3,3,4,6,4,2,2,5,4,5,3,3,5,5,3,3,3,4,3,2,3,4,4,6
Fritz,1,7/14/88,Bo,Ossabaw,WH,11/21/97,3417,9.6,Yerkes,A,8,3,5,5,2,2,5,4,5,6,3,4,2,4,4,4,3,5,6,3,2,2,5,5,4,2,2,6,2,3,4,2,5,3,6,3,5,6,2,4,5,3,2,6
Daisey,0,10/1/89,Tai,Phinneas,SS,1/16/99,3394,9.5,Yerkes,B,,5,5,4,2,3,2,7,5,5,3,5,1,3,3,4,2,6,5,5,3,3,5,5,2,2,4,6,4,5,4,2,5,3,2,2,4,5,3,5,5,5,5,2
Cathy,0,10/5/89,Georgia,Walnut,SS,1/13/99,3387,9.5,Yerkes,A,,5,2,5,3,6,1,1,1,2,4,1,3,5,1,6,5,1,1,4,6,4,1,1,5,5,5,1,6,6,1,5,4,5,2,3,1,1,7,1,2,5,5,5
Lamar,1,4/27/88,Lolita,Walnut,LF,7/24/97,3375,9.5,Yerkes,A,2,4,3,3,5,4,1,1,4,1,4,2,4,5,3,5,4,4,3,2,4,5,4,2,5,5,4,2,4,4,2,5,3,4,4,6,2,4,4,2,2,2,2,4
Ronald,1,5/4/88,Banana,Geoff,LF,7/24/97,3368,9.5,Yerkes,A,3,4,1,1,5,4,1,1,1,1,4,4,4,4,4,3,3,1,1,1,4,4,3,4,3,7,6,2,4,3,4,4,2,3,2,3,5,3,4,4,4,4,3,3
Faye,0,6/22/92,Sheila,,AH,7/15/01,3310,9.3,Yerkes,A,2,2,4,4,3,5,2,4,2,2,3,3,3,4,4,4,4,2,2,3,5,3,2,2,5,5,3,4,5,5,2,4,3,4,2,4,3,2,3,4,2,5,5,4
Elvira,0,10/31/88,Barbi,Jimoh,WH,11/5/97,3292,9.2,Yerkes,A,7,2,5,6,4,6,1,5,6,3,6,2,5,6,1,6,5,5,3,7,4,5,3,3,6,3,3,2,6,6,1,5,5,7,5,5,2,2,5,1,1,4,4,6
Wilma,0,10/27/88,Vivienne,Duncan,WH,7/23/97,3191,9.0,Yerkes,A,9,2,5,5,5,6,1,3,5,2,6,2,3,5,2,5,4,5,2,5,5,5,3,2,4,4,3,1,7,5,1,5,3,5,5,,,,,,5,5,4,6
Kevin,1,7/8/90,Barbara,Jimoh,JF,1/12/99,3110,8.7,Yerkes,B,,6,2,2,2,2,1,5,4,7,4,2,2,6,4,6,2,7,5,2,1,3,5,6,6,5,4,3,3,6,1,4,5,6,1,4,2,3,3,1,4,2,1,4
Agatha,0,1/21/93,Melinda,Walnut,AH,7/26/01,3108,8.7,Yerkes,A,11,5,3,4,5,5,2,5,5,3,5,5,5,3,3,4,5,3,3,5,5,4,5,3,4,5,5,2,5,5,2,5,5,4,4,4,4,3,4,3,5,4,4,5
Polyanna,0,2/17/89,Lilone,Jimoh,WH,7/30/97,3085,8.7,Yerkes,A,12,5,4,4,5,4,1,4,3,2,5,5,4,4,4,4,4,4,3,5,4,4,4,2,3,5,4,4,5,4,3,4,4,5,4,4,4,2,2,4,4,5,4,4
Lizzie,0,8/6/90,Foxy,Edward,SS,1/14/99,3083,8.7,Yerkes,A,,3,3,5,4,4,3,3,3,3,6,3,4,7,1,6,6,4,3,3,4,5,3,3,6,3,4,3,5,4,2,4,2,5,4,4,1,1,6,1,2,1,2,4
Alicia,0,6/26/89,Cynthia,Phineas,WH,11/11/97,3060,8.6,Yerkes,B,,1,5,3,6,4,1,5,4,2,5,6,4,3,4,5,3,5,5,6,4,2,5,2,4,3,5,5,5,4,2,4,2,3,4,3,2,3,3,5,3,4,4,3
Sylvia,0,7/19/93,Melissa,Carmichael,MW,7/24/01,2927,8.2,Yerkes,A,6,5,3,4,5,4,1,3,2,1,5,3,4,5,2,5,4,2,1,4,4,5,5,5,5,2,4,1,4,4,1,6,6,4,2,5,3,2,6,2,3,3,5,3
Missy,0,7/8/93,Mai,Jimoh,TH,8/16/00,2596,7.3,Yerkes,B,,6,1,4,7,2,2,1,1,1,6,7,6,7,1,7,3,1,1,1,7,6,4,5,6,7,7,1,7,2,1,7,1,6,4,5,2,1,7,1,5,3,6,1
Julie,0,8/29/94,Ellie,Conan,AH,7/15/01,2512,7.1,Yerkes,A,4,4,4,6,3,3,2,4,4,4,4,3,2,5,2,5,3,3,3,4,4,3,4,5,4,4,4,5,4,5,2,5,4,4,2,3,2,2,4,2,2,3,4,3
Sean,1,3/16/92,Barbi,Rogger,JM,1/11/99,2492,7.0,Yerkes,A,,5,3,4,4,3,1,5,5,3,5,2,2,6,2,5,3,5,5,4,3,4,2,2,5,3,4,2,3,4,1,4,4,3,3,3,3,3,4,1,3,2,4,3
Fiona,0,12/5/94,Leslie,Lux,AH,7/26/01,2425,6.8,Yerkes,A,11,6,2,5,6,3,1,6,6,3,6,5,5,5,2,4,5,2,1,5,4,5,4,3,6,6,5,2,4,3,2,5,5,5,4,5,5,3,5,3,2,3,4,3
Edwina,0,5/28/91,Lolita,Edward,WH,11/2/97,2350,6.6,Yerkes,A,6,4,5,6,5,3,1,6,6,5,3,3,2,1,5,4,3,6,5,5,2,2,5,6,5,2,4,6,4,4,5,2,6,5,3,3,4,4,2,4,4,2,2,6
Rosemary,0,2/11/94,Foxy,Carmichael,LP,6/11/00,2312,6.5,Yerkes,B,,5,2,2,5,4,6,3,2,2,7,3,6,4,3,3,5,2,2,4,6,7,4,2,5,4,6,2,5,5,4,6,3,5,6,5,1,2,6,3,1,3,4,4
Frannie,0,10/26/92,Borie,Jimoh,SS,1/3/99,2260,6.3,Yerkes,B,2,5,1,5,6,3,5,2,2,4,4,5,4,4,4,5,4,4,1,4,5,4,6,5,6,5,5,3,5,4,2,4,2,4,4,5,1,5,6,1,2,3,4,3
Christa,0,6/1/95,Lilone,Rogger,AH,7/26/01,2247,6.3,Yerkes,A,9,6,1,5,6,3,1,4,5,3,3,5,3,4,4,4,4,2,2,5,5,5,3,2,6,6,6,2,4,4,2,6,4,4,3,4,5,3,5,2,3,4,5,3
Brooks,1,11/10/92,Lena,Sellers,SS,1/3/99,2245,6.3,Yerkes,B,2,4,5,5,3,4,6,4,5,4,4,2,4,7,1,7,5,4,3,4,6,6,5,5,6,1,1,1,7,4,1,4,4,4,5,6,1,5,6,1,1,1,4,4
Claus,1,12/25/92,Gwennie,Jimoh,SS,1/10/99,2207,6.2,Yerkes,A,,3,2,4,4,4,1,3,4,5,5,2,5,7,2,7,4,4,3,5,5,6,3,3,6,4,5,1,3,4,1,5,3,5,4,5,2,1,5,1,3,1,4,5
Dover,1,2/25/94,Cissie,Homer,JF,2/10/99,1811,5.1,Yerkes,B,,4,1,2,2,4,1,2,5,5,6,2,3,7,1,7,2,1,1,2,4,5,5,5,6,6,6,1,5,4,1,5,1,4,2,4,2,3,6,1,5,3,4,3
Jolson,1,1/10/93,Suwannee,Carmichael,WH,11/30/97,1785,5.0,Yerkes,A,8,2,5,5,4,4,1,5,3,3,6,2,4,6,1,5,4,2,1,6,4,5,3,2,6,3,3,2,4,5,1,4,3,5,5,5,2,1,5,1,1,2,4,6
Liza,0,3/19/94,Georgia,Jimoh,SS,1/19/99,1767,5.0,Yerkes,B,,2,2,6,2,4,1,3,4,5,5,2,4,5,1,4,4,2,2,2,4,6,5,4,6,3,4,2,3,4,2,4,4,5,3,4,2,1,5,1,1,1,5,5
Patrick,1,7/14/93,Teppi,Zeb,KG,2/18/98,1680,4.7,Yerkes,A,4,6,1,2,5,2,7,6,6,4,3,7,4,5,4,4,4,2,4,3,6,6,6,6,4,6,5,6,3,4,5,5,5,3,3,3,5,5,4,5,4,2,4,3
Lucas,1,3/22/93,Bo,Rogger,WH,9/12/97,1635,4.6,Yerkes,A,2,1,6,7,2,2,6,4,6,7,6,1,2,4,3,5,2,4,6,3,4,5,7,4,3,3,2,3,5,5,2,3,6,2,4,2,3,4,5,2,2,1,1,5
Morgan,1,4/11/96,Kasey,,LP,6/3/00,1514,4.3,Yerkes,B,,4,4,4,4,3,1,5,6,4,6,2,2,7,1,7,2,2,6,2,3,7,5,5,6,4,6,2,4,3,1,4,5,3,2,4,2,1,3,1,1,2,4,4
Lindsey,0,2/10/94,Leslie,Lux,KG,2/1/98,1452,4.1,Yerkes,A,,4,5,6,5,3,5,4,6,3,5,5,5,4,3,4,5,4,3,7,4,5,5,3,5,5,6,4,4,6,4,5,2,6,4,5,4,4,4,3,2,4,5,3
Wilson,1,3/9/94,Gay,Rogger,KG,2/18/98,1442,4.1,Yerkes,A,,5,5,5,5,3,2,5,5,6,6,4,4,6,3,6,5,4,3,3,5,6,4,4,3,4,5,4,5,3,2,6,4,2,6,5,6,4,6,4,5,3,5,3
Samantha,0,8/28/97,Melinda,Lux,AH,7/26/01,1428,4.0,Yerkes,A,11,5,1,6,5,5,1,2,4,3,4,3,4,5,2,6,4,1,1,5,4,5,2,2,5,6,6,2,3,1,2,4,5,4,4,4,3,2,5,1,5,5,5,3
Abby,0,5/11/95,Barbara,Sam,SS,1/19/99,1349,3.8,Yerkes,A,,4,2,5,5,4,1,1,1,1,5,5,3,7,1,6,1,1,1,1,4,6,1,1,5,4,4,1,4,4,1,4,1,3,1,4,1,1,6,1,1,2,2,2
Jaimie,0,5/17/95,Ericka,,SS,1/14/99,1338,3.8,Yerkes,B,,2,1,4,4,3,1,2,4,4,7,4,4,7,1,7,4,2,1,4,7,6,2,1,7,5,5,1,4,2,1,4,1,3,4,4,5,1,6,1,5,5,7,4
Tara,0,9/5/95,Rita,Jimoh,JF,1/12/99,1225,3.4,Yerkes,B,,3,2,4,4,6,1,4,2,1,6,1,5,6,1,6,4,1,2,2,6,7,2,2,7,5,3,1,,6,1,4,1,4,,4,2,1,6,1,1,,,5
Grayson,1,5/22/97,Alicia,Elwood,LP,6/3/00,1108,3.1,Yerkes,A,,3,2,3,5,3,5,3,4,4,6,5,5,5,3,5,4,2,2,4,5,6,4,3,4,5,6,2,5,4,2,4,2,4,2,2,5,3,6,1,1,4,4,3
Julianne,0,5/15/98,Tai,,TH,8/16/00,824,2.3,Yerkes,A,,5,1,5,7,4,1,1,4,4,6,2,4,7,1,7,4,2,1,4,7,7,5,5,7,4,7,1,7,5,1,5,1,6,4,4,5,2,6,1,2,2,6,3
Azalea,0,3/7/97,Peony,Rhett,SS,1/19/99,683,1.9,Yerkes,A,,1,1,2,3,4,1,1,1,1,5,2,4,5,1,4,1,1,1,1,4,4,2,2,4,2,4,1,3,2,1,3,1,2,2,3,2,1,4,2,2,2,3,4
