"","chimp","Sub..","Year4","Glucose","BUN","Creatine","Protein","Albumn","Bilirubn","alkphos","sgpt","sgot","cholesterol","calcium","phosphate","sodium","potassium","chloride","ag_ratio","bc_ratio","globulin","lipase","amylase","triglicerides","cpk","ggtp","magnesium","osmolal","Year3","Glucose.1","BUN.1","Creatin","Protein.1","Albumn.1","Bilirubn.1","alkphos.1","sgpt.1","sgot.1","cholesterol.1","calcium.1","phosphate.1","sodium.1","potassium.1","chloride.1","ag_ratio.1","bc_ratio.1","globulin.1","lipase.1","amylase.1","triglicerides.1","cpk.1","ggtp.1","magnesium.1","osmolal.1","Year2","Glucose.2","BUN.2","Creatin.1","Protein.2","Albumn.2","Bilirubn.2","alkphos.2","sgpt.2","sgot.2","cholesterol.2","calcium.2","phosphate.2","sodium.2","potassium.2","chloride.2","ag_ratio.2","bc_ratio.2","globulin.2","lipase.2","amylase.2","triglicerides.2","cpk.2","ggtp.2","magnesium.2","osmolal.2","Year1","Glucose.3","BUN.3","Creatin.2","Protein.3","Albumn.3","Bilirubn.3","alkphos.3","sgpt.3","sgot.3","cholesterol.3","calcium.3","phosphate.3","sodium.3","potassium.3","chloride.3","ag_ratio.3","bc_ratio.3","globulin.3","lipase.3","amylase.3","triglicerides.3","cpk.3","ggtp.3","magnesium.3","osmolal.3","DaysInterval1","DaysInterval2","DaysInterval3","AverageDaysInterval","Interval1Centered","Interval2Centered","Interval3Centered","X","Sex.x","DOB.x","Dam.x","Sire.x","Rater.x","DOPR.x","DaysAgeatTest","YearsAgeatTest","location.x","Version.x","Group.size.x","fear.x","dom.x","pers.x","caut.x","stbl.x","aut.x","stngy.x","jeals.x","reckl.x","soc.x","tim.x","symp.x","play.x","sol.x","actv.x","help.x","buly.x","aggr.x","manp.x","gntl.x","affc.x","exct.x","impl.x","inqs.x","subm.x","depd.x","irri.x","pred.x","decs.x","depr.x","sens.x","defn.x","intll.x","prot.x","invt.x","clmy.x","errc.x","frdy.x","lazy.x","dsor.x","unem.x","imit.x","indp.x","DOB.y","Dam.y","Sire.y","location.y","Group.size.y","Sex.y","Rater.y","DOPR.y","Version.y","reckl.y","aut.y","symp.y","sol.y","buly.y","actv.y","fear.y","caut.y","imit.y","unem.y","stngy.y","play.y","sens.y","exct.y","aggr.y","indp.y","intll.y","affc.y","stbl.y","help.y","tim.y","impl.y","depd.y","decs.y","defn.y","irri.y","lazy.y","invt.y","dom.y","pred.y","frdy.y","depr.y","clmy.y","prot.y","subm.y","gntl.y","manp.y","soc.y","inqs.y","jeals.y","pers.y","errc.y","dsor.y","fear.z","dom.z","pers.z","caut.z","stbl.z","aut.z","stngy.z","jeals.z","reckl.z","soc.z","tim.z","symp.z","play.z","sol.z","actv.z","help.z","buly.z","aggr.z","manp.z","gntl.z","affc.z","exct.z","impl.z","inqs.z","subm.z","depd.z","irri.z","pred.z","decs.z","depr.z","sens.z","defn.z","intll.z","prot.z","invt.z","clmy.z","errc.z","frdy.z","lazy.z","dsor.z","unem.z","imit.z","indp.z","Colony","Status","Survey.1","BP.1","Weight.1..kg.","Survey.2","BP.2","Weight.2..kg.","Survey.3","BP.3","Weight.3..kg.","sex","maternity","paternity","momage","parity","bo","rearing","age","hi","date1","rbc","wbc","hct","hgb","mcv","mch","mchc","lymph","monos","eos","date2","rbc2","wbc2","hct2","hgb2","mcv2","mch2","mchc2","lymp2","mono2","eos2","date3","rbc3","wbc3","hct3","hgb3","mcv3","mch3","mchc3","lymp3","mono3","eos3"
"103","Lolita","222","11/30/99",107,12,0.9,7.8,3.8,0.1,147,25,16,233,9,1.5,137,2.6,96,1,13,4,49,13,138,59,16,1.7,270,"5/1/98",88,18,1.1,8.3,3.6,0.2,78,36,31,286,8.8,31,141,2.3,89,0.8,16,4.7,37,24,70,127,30,2.1,278,"3/17/97",106,13,0.9,7.6,3.1,0.4,58,25,26,283,9.3,1,140,2.3,92,0.7,14,4.5,NA,NA,76,100,NA,NA,NA,"3/25/96",112,16,1,7.8,3.5,0.4,86,35,46,310,9.5,2.8,142,2.3,87,0.8,16,4.3,NA,NA,57,385,NA,NA,NA,357,410,578,448.33,-91,-38,130,109,0,"8/1/59","","","WH","7/24/97",13872,39,"Yerkes","A",3,4,4,5,5,4,2,5,2,2,5,6,4,4,5,2,4,3,2,5,5,4,5,3,3,4,4,4,5,4,5,5,3,4,4,4,3,3,5,6,2,6,4,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"","",NA,NA,NA,1,"37.5","0.9","17/03/1997",4.31,10600,36.3,11.9,84.2,27.6,32.8,42,3,1,"30/04/1998",4.95,10600,42.1,14.2,85.1,28.7,33.7,54,2,7,"30/11/1999",4.85,8900,40.8,13.5,84.1,27.8,33.1,47,5,4
"104","Lucas","631","9/24/03",115,7,1.1,8,4.1,0.4,248,24,25,193,9.7,2,145,4.1,104,1.1,6,3.9,44,39,48,302,21,2,286,"1/9/03",116,11,1,7.2,3.7,0.2,289,35,25,197,9.2,3.5,138,3.9,101,1.1,11,3.5,55,38,70,266,20,2.2,274,"10/4/01",118,11,1.2,7.4,3.7,0.2,841,30,27,159,9.8,3.3,145,3.7,100,1,9,3.7,40,21,60,211,22,2,287,"10/2/00",103,13,1,7.5,3.7,0.1,1027,28,19,218,9.9,3.4,138,3.8,100,1,13,3.8,32,19,75,117,28,1.8,274,367,462,258,362.33,5,100,-104,110,1,"3/22/93","Bo","Rogger","WH","9/12/97",1635,4.6,"Yerkes","A",2,1,6,7,2,2,6,4,6,7,6,1,2,4,3,5,2,4,6,3,4,5,7,4,3,3,2,3,5,5,2,3,6,2,4,2,3,4,5,2,2,1,1,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yerkes","Alive","8/31/11","122/54",75.5,"2/15/11","138/60",76,"12/12/07","130/61",75,2,"Bo","Rogger",24.17,4,2,2,"4.5","0.91","23/09/1997",5.51,13500,42.8,14.3,77.7,26,33.4,39,4,2,"17/09/1998",5.25,7200,41.5,14,79,26.7,33.7,49,2,7,"25/10/1999",5.66,9900,44.8,14.7,79.2,26,32.8,60,1,8
"105","Lucy","336","5/30/00",111,53,5,7.9,2.3,0.1,111,20,27,222,12.4,0.9,132,4,95,0.4,11,5.6,45,43,143,327,22,3.3,278,"9/16/98",96,27,2.1,9,2.1,0.1,67,14,22,248,8.1,2,136,3.7,98,0.3,13,6.9,42,33,75,157,19,2.1,275,"9/22/97",101,15,1.4,7.4,2,0.3,121,14,27,335,8.5,4.2,139,4.1,96,0.4,11,5.4,NA,NA,96,125,NA,NA,NA,"9/10/96",89,19,1.2,7.2,2.2,0.3,67,19,22,343,8.7,3.8,142,4.2,97,0.4,16,5,NA,NA,76,129,NA,NA,NA,377,359,622,452.67,-76,-94,169,111,0,"7/1/56","","","DL","10/4/97",15070,42.3,"Yerkes","B",NA,6,2,2,6,5,5,3,3,2,5,6,5,2,5,3,5,2,3,3,6,5,3,2,2,6,7,4,5,4,3,6,3,4,6,2,5,2,5,5,2,5,6,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"","",NA,NA,NA,1,"40","0.3","10/9/96",4.99,8900,41.8,12.4,83.8,24.8,29.7,67,0,6,"22/09/1997",4.7,14500,37.1,11.5,78.9,24.5,31,51,7,1,"16/09/1998",4.37,10300,35.5,11.1,81.2,25.4,31.3,57,6,3
"106","Lulu","476","1/22/04",95,17,0.6,7.7,3.7,0.3,96,9,16,206,9.9,2.8,143,2.9,100,0.9,28,4,35,29,70,91,13,1.7,283,"2/27/03",104,16,1.1,7.8,3.9,0.3,96,14,17,204,9.4,1.9,144,2.6,105,1,15,3.9,38,27,76,100,20,1.6,284,"2/12/02",130,12,1.4,7.5,3.3,0.2,66,15,25,226,9.5,1.1,140,2.9,97,0.8,9,4.2,258,54,60,119,11,1.6,277,"2/27/01",101,10,0.9,7.4,3.8,0.3,92,11,17,213,9.5,1.6,140,2.5,99,1.1,11,3.6,19,17,76,71,26,1.4,274,350,380,329,353,-3,27,-24,112,0,"1/1/57","","","SS","1/14/99",15353,43.1,"Yerkes","B",NA,3,1,4,4,3,2,2,4,1,5,4,5,4,4,3,5,1,1,3,5,5,5,2,5,4,4,2,6,4,2,5,3,5,5,2,2,2,6,2,2,1,2,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yerkes","Alive","3/17/11","185/115",48.5,"2/10/10","102/50",42,"3/10/08","145/81",42,1,"","",NA,NA,NA,1,"40","-0.91","11/2/97",5.56,10100,45.2,14.2,81.3,25.5,31.4,18,0,2,"11/2/98",5.57,5800,44.6,14.3,80.1,25.7,32.1,48,0,4,"9/3/99",5.47,7100,45,14.6,82.3,26.7,32.4,43,2,1
"107","Luther","589","8/18/03",83,7,1.3,7.3,3.8,0.3,68,24,23,141,9.8,4.3,140,4.7,102,1.1,5,3.5,32,64,97,133,28,1.8,276,"6/11/02",83,8,0.9,6.8,3.7,0.3,94,23,20,155,8.9,4,140,4.9,104,1.2,9,3.1,34,57,68,606,20,1.6,277,"7/24/01",96,10,1.3,6.6,3.8,0.5,131,23,19,149,9.9,3.3,138,4.4,102,1.4,8,2.8,35,36,62,148,31,1.6,274,"9/18/00",96,7,1,6.2,3,0.2,95,47,41,176,10.3,1.8,135,4.5,100,0.9,7,3.2,44,37,82,229,26,1.8,267,309,322,433,354.67,-46,-33,78,113,1,"1/14/90","Pamela","Rogger","AH","7/15/01",4200,11.8,"Yerkes","A",2,2,2,5,4,7,2,2,2,2,4,3,3,1,5,1,5,4,3,2,6,4,2,1,5,3,4,2,7,6,4,4,3,2,4,2,4,1,4,5,3,5,3,4,"1/14/90","Pamela","Rogger","Yerkes",2,1,"MW","7/29/01","B",4,5,4,3,3,6,4,4,6,3,4,5,5,6,5,4,4,4,3,4,3,5,4,5,4,5,2,3,4,3,4,4,3,5,4,4,3,4,5,5,6,5,3,3,3,5.5,4,5,3.5,3,3.5,3,4,3,3.5,3,4,3.5,4.5,3.5,4,2.5,5,4,4,3,5,3.5,4,3.5,5,5.5,4,4.5,3.5,3,4.5,2.5,3.5,3,4,3.5,3,4,4.5,4,"Yerkes","Alive","8/18/09","131/66",59,"8/6/08","151/72",58,"10/10/07","147/71",50,2,"Pamela","Rogger",12.92,1,1,2,"7.5","","4/11/97",4.9,24100,41.5,12.6,84.7,25.7,30.4,63,2,3,"30/11/1998",4.77,15900,40.8,13.4,85.5,28.1,32.8,35,3,2,"19/07/1999",5.87,9200,49.6,16.3,84.5,27.8,32.9,34,0,3
"108","Lux","485","4/13/04",73,11,0.9,7.3,3.8,0.2,32,36,17,206,8.8,4.9,136,3.1,96,1.1,12,3.5,17,17,122,167,17,1.6,267,"3/31/03",104,10,1.1,7.4,3.8,0.3,149,35,16,202,8.5,4.3,141,3.1,106,1.1,9,3.6,16,16,124,222,20,1.5,277,"5/14/02",107,11,1,7.9,4,0.3,132,29,25,222,9.1,4.8,142,3.4,100,1,11,3.9,16,19,107,253,20,1.7,280,"3/7/01",128,11,1,7.4,3.5,0.1,135,29,15,206,9,2.7,140,3.9,101,0.9,11,3.9,23,9,67,96,20,2.3,279,433,321,379,377.67,55,-57,1,114,1,"8/16/81","Marilyne","Walnut","AH","7/26/01",7284,20.5,"Yerkes","A",11,2,6,5,3,4,3,2,2,3,3,3,3,3,5,3,4,4,5,4,4,3,5,4,4,1,1,2,3,3,5,3,5,4,4,4,5,4,4,6,5,4,3,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yerkes","Alive","3/31/10","185/126",78.5,"10/12/09","168/95",79.5,"4/18/07","158/93",68,2,"Marilyne","Walnut",10,1,1,1,"15.5","0.55","17/03/1997",5.78,15100,45.1,15.5,78,26.8,34.4,21,2,2,"17/03/1998",5.72,10900,44.9,15.3,78.5,26.7,34.1,28,1,0,"22/03/1999",5.9,10100,46,15.6,78,26.4,33.9,54,3,3
"109","Lyons","509","7/7/04",62,112,6.6,7.8,4.2,0.3,76,39,49,155,17.6,1.6,136,4.6,95,1.2,17,3.6,106,71,104,496,25,3,305,"11/25/03",89,77,4.9,7.5,3.9,0.4,79,35,39,151,15,1,136,3.5,94,1.1,16,3.6,104,72,110,533,19,2.2,292,"11/12/02",70,68,4.4,7.4,3.6,0.3,94,28,47,154,14.7,1,138,4.4,96,0.9,15,3.8,94,67,117,624,20,2.8,293,"11/9/01",91,62,4.1,8.4,4.6,0.3,120,32,58,190,9,0.9,154,4.1,105,1.2,15,3.8,98,50,154,446,25,1.9,321,368,378,225,323.67,44,54,-99,115,1,"8/3/84","Lilone","Rogger","SS","1/14/99",5277,14.8,"Yerkes","B",NA,4,5,5,2,2,5,6,5,7,4,2,3,5,3,5,2,6,6,5,2,3,6,6,5,3,3,5,3,4,3,3,5,4,3,4,2,5,3,3,2,4,3,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,"Lil'one","Rogger",15,2,2,2,"13","-0.8","10/9/97",4.77,13100,41,13.1,86,27.5,32,13,1,1,"21/10/1998",5.1,8600,43.6,13.5,85.5,26.5,31,29,3,0,"6/10/99",5.07,9300,43.1,13.5,85,26.6,31.3,31,8,2
"110","Magnum","581","1/13/04",107,10,1,8,3.6,0.3,213,31,54,176,9.2,3.2,142,3.7,100,0.8,10,4.4,31,42,75,427,177,1.5,281,"4/22/03",126,13,1.2,8.9,3.1,0.2,257,9,19,218,9.4,5.6,139,4,98,0.5,11,5.8,31,21,280,147,111,2,278,"5/14/02",108,13,1.1,9,3.1,0.2,116,30,79,188,9.2,4.2,142,3.4,96,0.5,12,5.9,31,23,74,1788,83,1.9,281,"6/11/01",81,15,1.4,8.4,3.4,0.3,80,33,37,175,9.5,4.5,141,3.7,96,0.7,11,5,36,26,71,454,27,1.9,279,337,343,266,315.33,22,28,-49,116,1,"7/8/89","Gay","Rogger","SS","1/10/99",3473,9.8,"Yerkes","A",NA,5,3,4,5,3,2,2,2,1,5,4,4,6,2,6,4,3,2,2,5,4,4,4,6,6,6,1,3,4,2,6,3,5,3,5,1,2,5,1,3,1,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,"Gay","Rogger",22.42,3,2,2,"7.5","0.41","14/05/1997",5.75,7100,44.9,15,78.1,26.1,33.4,22,1,3,"2/6/98",5.68,8600,46.1,15.3,81.2,26.9,33.2,37,0,4,"3/5/99",5.85,7900,47.4,15.9,81,27.2,33.5,27,4,0
"111","Mai","456","7/14/04",117,9,0.7,7.1,3,0.2,75,16,25,240,8.9,3.6,143,3.1,102,0.7,13,4.1,27,24,236,726,20,1.7,281,"6/18/03",107,11,0.8,7.7,3.3,0.1,82,20,23,264,8.6,2.8,144,3.4,105,0.8,14,4.4,27,21,218,734,17,1.7,284,"6/13/02",88,11,0.9,7.2,2.9,0.2,76,16,17,209,8,2.2,141,3.2,106,0.7,12,4.3,23,23,186,368,21,1.5,277,"5/14/01",106,9,0.8,7.8,3.4,0.2,85,28,17,200,9.4,3.1,143,3.4,106,0.8,11,4.4,23,15,170,270,23,1.6,281,395,370,392,385.67,9,-16,6,117,0,"1/1/64","","","TH","8/16/00",13377,37.6,"Yerkes","B",NA,5,2,6,4,2,1,6,6,2,3,6,3,2,4,2,4,5,4,4,3,5,6,1,2,6,6,6,2,5,5,4,4,4,6,2,2,6,3,6,4,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yerkes","Alive","11/10/09","142/90",69,"11/11/08","176/99",63,"12/4/07","189/109",64,1,"","",NA,NA,NA,1,"33","1","24/01/1997",5.37,12400,45.4,13.9,84.5,25.9,30.6,34,1,2,"3/3/98",5.34,11000,43.3,14,81.1,26.2,32.3,27,2,1,"30/03/1999",5.12,9600,43.6,13.8,85.2,27,31.7,22,3,0
"112","Marietta","472","10/27/03",74,13,0.9,8.8,4,0.5,97,37,22,212,9.3,3.3,140,3.2,96,0.8,14,4.8,36,29,105,355,19,1.6,275,"1/7/03",96,15,0.9,7.4,3.4,0.2,131,52,13,226,9,3,143,3.2,102,0.9,17,4,41,26,37,130,17,1.6,283,"10/4/01",88,13,1.1,8.2,3.7,0.4,66,33,27,178,9.5,2.3,141,3.8,98,0.8,12,4.5,44,20,121,508,23,1.8,279,"10/18/00",81,10,1,8,3.9,0.3,55,29,17,194,8.9,2,133,3.5,97,1,10,4.1,19,24,86,27,16,1.5,262,351,460,293,368,-17,92,-75,118,0,"8/3/73","Martha","Homer","MW","7/15/01",10208,28.7,"Yerkes","A",2,6,1,2,6,3,2,3,3,2,3,5,5,3,2,2,4,1,2,2,5,4,4,2,2,6,5,2,5,4,6,6,2,4,2,2,4,1,5,6,4,3,3,2,"8/3/73","Martha","Homer","Yerkes",2,0,"SS","1/14/99","B",3,6,3,6,5,3,3,3,4,3,5,2,3,2,2,5,4,2,4,3,4,3,3,4,4,4,2,4,4,4,2,4,1,2,3,4,4,2,4,5,5,4,2,4.5,2.5,3.5,4.5,3.5,4,4,4,2.5,2.5,4.5,4,2.5,4,2.5,3.5,3,2,3,4.5,3,3,2.5,3,4.5,4,3,4.5,4,5,4.5,3,4,2,3,2.5,2.5,3.5,4,3,3,3.5,3.5,"Yerkes","Alive","10/31/11","181/128",49.5,"2/24/11","147/90",44,"11/19/09","154/82",52.95,1,"Martha","Homer",13.07,1,1,2,"24","1","29/09/1997",3.91,18700,34.2,11,87.5,28.1,32.2,80,3,2,"6/10/98",4.35,13000,37.8,12.4,86.9,28.5,32.8,55,1,3,"25/10/1999",4.66,12400,39,12.8,83.7,27.5,32.8,50,0,5
"113","Marilyne","434","12/8/99",91,11,0.8,6.6,3.4,0.1,25,39,25,207,8.1,1.9,141,2.6,100,1.1,14,3.2,7,5,86,462,15,1.6,276,"11/17/98",93,14,0.9,6.6,3.5,0.3,54,62,50,235,8.2,3.2,140,2.1,92,1.1,16,3.1,36,13,95,603,23,2.2,274,"9/12/97",90,11,0.6,7.1,3.2,0.4,53,21,16,239,8.8,3.8,141,2.6,94,0.8,18,3.9,NA,NA,52,177,NA,NA,NA,"11/20/96",82,12,0.8,6.9,3.4,0.5,58,40,69,276,8.9,3.2,145,2,93,1,15,3.5,NA,NA,42,1530,NA,NA,NA,296,431,386,371,-75,60,15,119,0,"1/13/71","Lola","","SS","1/14/99",10228,28.7,"Yerkes","B",NA,2,7,7,1,5,2,7,6,6,3,1,1,3,6,3,3,5,5,7,3,4,3,5,4,1,1,5,4,7,4,4,7,7,3,5,2,3,3,2,1,2,1,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"Lola","",NA,3,2,1,"25.5","-0.82","20/11/1996",5.19,8400,41.8,13.1,80.5,25.2,31.3,23,1,0,"12/9/97",5.34,10000,40.3,13.6,75.5,25.5,33.7,31,3,0,"17/11/1998",5.23,11800,41.3,13.6,79,26,32.9,15,2,0
"114","Martha","204","1/13/04",91,10,1.1,8,3.8,0.2,79,41,49,239,9.6,2,140,2.6,99,0.9,9,4.2,39,29,120,459,18,1.5,274,"2/13/03",108,12,1.2,8.1,3.7,0.3,60,35,11,226,9.2,1.3,139,3,104,0.8,10,4.4,38,19,176,126,17,1.7,274,"12/19/01",143,12,1.5,8,3.4,0.3,72,28,17,225,8.9,1,143,2.8,101,0.7,8,4.6,42,19,118,122,19,1.9,283,"1/25/01",117,8,1.2,8.1,3.6,0.3,74,31,19,321,9.6,1.3,139,2.8,101,0.8,7,4.5,23,16,148,154,27,1.5,273,328,421,334,361,-33,60,-27,120,0,"7/7/60","Flora","Jent","SS","1/14/99",14070,39.5,"Yerkes","B",NA,2,3,3,4,4,2,3,2,2,3,2,4,2,4,2,4,2,1,2,4,4,3,1,3,2,3,1,6,4,2,4,1,5,4,1,1,2,4,6,1,4,1,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yerkes","Alive","7/12/10","122/74",37,"12/16/09","143/85",46,"12/9/09","132/73",44,2,"Flora","Jent",19,6,4,2,"36","","28/10/1996",4.51,8400,37,11.8,82,26.2,31.9,66,0,1,"8/1/98",4.59,20800,36,12.2,78.4,26.6,33.9,6,6,1,"13/01/1999",4.28,11800,34.9,11.6,81.5,27.1,33.2,21,1,0
"115","Mary","202","6/21/04",121,9,1.1,8.5,3.7,0.3,111,22,17,202,9.6,2.6,148,3.3,105,0.8,8,4.8,39,29,164,218,21,1.3,291,"6/11/03",88,12,0.8,8.2,3.6,0.2,121,29,14,198,9.2,3.6,141,3.3,101,0.8,15,4.6,44,27,138,117,27,1.4,278,"7/29/02",101,9,1.3,8.2,3.3,0.2,78,19,17,201,12.1,2.2,141,3.3,101,0.7,7,4.9,38,24,195,256,20,1.5,277,"6/15/01",103,9,1.1,8.3,3.9,0.2,91,34,23,236,9.5,2.7,145,3.7,106,0.9,8,4.4,38,22,191,191,23,1.6,286,409,317,376,367.33,42,-50,9,121,0,"7/7/60","Flora","Jent","AH","7/15/01",14983,42.1,"Yerkes","A",2,3,1,2,6,4,1,1,1,1,3,5,4,2,5,1,2,1,1,4,6,5,4,2,2,6,5,2,6,5,4,5,1,4,3,2,5,2,3,7,1,5,4,4,"7/7/60","Flora","Jent","Yerkes",2,0,"BN","6/2/00","A",3,3,3,5,2,3,3,4,3,4,4,2,4,3,2,3,3,3,4,3,5,2,4,4,3,3,4,3,3,4,2,4,3,2,5,4,3,3,3,3,3,2,4,3,2,2.5,5,4,2,2.5,2,2,3,5,3.5,2,5,2,2.5,1.5,1.5,3.5,5,4,3.5,2,2.5,5.5,4.5,2.5,5,4.5,4,4.5,2,3.5,2.5,2.5,4,2,2.5,5.5,2.5,4.5,3.5,3.5,"Yerkes","Alive","7/12/10","127/69",64,"2/9/10","135/72",70,"8/21/08","125/69",51.5,1,"Flora","Jent",19,5,3,2,"36.5","0.89","3/6/97",4.76,12700,40.8,13.1,85.7,27.5,32.1,58,1,1,"24/06/1998",4.11,15800,36.7,11.7,89.3,28.5,31.9,71,1,1,"23/04/1999",4.38,21800,38.6,12.5,88.1,28.5,32.4,53,0,0
