"","chimp","Sex.x","DOB.x","Dam.x","Sire.x","Rater.x","DOPR.x","DaysAgeatTest","YearsAgeatTest","location.x","Version.x","Group.size.x","fear.x","dom.x","pers.x","caut.x","stbl.x","aut.x","stngy.x","jeals.x","reckl.x","soc.x","tim.x","symp.x","play.x","sol.x","actv.x","help.x","buly.x","aggr.x","manp.x","gntl.x","affc.x","exct.x","impl.x","inqs.x","subm.x","depd.x","irri.x","pred.x","decs.x","depr.x","sens.x","defn.x","intll.x","prot.x","invt.x","clmy.x","errc.x","frdy.x","lazy.x","dsor.x","unem.x","imit.x","indp.x","DOB.y","Dam.y","Sire.y","location.y","Group.size.y","Sex.y","Rater.y","DOPR.y","Version.y","reckl.y","aut.y","symp.y","sol.y","buly.y","actv.y","fear.y","caut.y","imit.y","unem.y","stngy.y","play.y","sens.y","exct.y","aggr.y","indp.y","intll.y","affc.y","stbl.y","help.y","tim.y","impl.y","depd.y","decs.y","defn.y","irri.y","lazy.y","invt.y","dom.y","pred.y","frdy.y","depr.y","clmy.y","prot.y","subm.y","gntl.y","manp.y","soc.y","inqs.y","jeals.y","pers.y","errc.y","dsor.y","fear.z","dom.z","pers.z","caut.z","stbl.z","aut.z","stngy.z","jeals.z","reckl.z","soc.z","tim.z","symp.z","play.z","sol.z","actv.z","help.z","buly.z","aggr.z","manp.z","gntl.z","affc.z","exct.z","impl.z","inqs.z","subm.z","depd.z","irri.z","pred.z","decs.z","depr.z","sens.z","defn.z","intll.z","prot.z","invt.z","clmy.z","errc.z","frdy.z","lazy.z","dsor.z","unem.z","imit.z","indp.z"
"31","Brian",1,"3/31/79","Lolita","Jiggs","WH ","10/31/97",6789,19.1,"Yerkes","A",2,2,4,5,2,3,1,6,6,5,2,5,3,2,6,3,2,5,5,2,2,2,5,5,3,3,5,5,6,3,4,3,5,2,4,2,5,5,3,4,5,4,2,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","Brooks",1,"11/10/92","Lena","Sellers","SS","1/3/99",2245,6.3,"Yerkes","B",2,4,5,5,3,4,6,4,5,4,4,2,4,7,1,7,5,4,3,4,6,6,5,5,6,1,1,1,7,4,1,4,4,4,5,6,1,5,6,1,1,1,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","Buffy",0,"1/2/84","Beleka","Juan","LP","6/11/00",6005,16.9,"Yerkes","B",NA,5,1,1,6,2,6,2,2,1,2,6,3,2,7,1,5,1,2,2,5,2,6,2,1,7,2,2,2,4,6,6,2,5,1,1,1,2,2,5,1,5,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","Callie",0,"2/18/91","Waga","Rogger","MW","7/15/01",3800,10.7,"Yerkes","A",5,5,3,5,5,4,1,2,2,2,4,5,3,3,5,4,4,3,5,5,3,2,4,2,3,6,5,4,5,4,2,5,2,4,6,2,1,2,2,2,2,4,5,2,"2/18/91","Waga","Rogger","Yerkes",5,0,"DL","10/4/97","B",1,4,4,4,2,5,5,6,5,5,2,3,5,2,1,2,3,4,5,3,6,2,7,5,2,2,2,4,1,6,5,6,2,4,7,6,4,5,4,5,2,2,5,5,2,3.5,5.5,4.5,2.5,2,3.5,1.5,4.5,5.5,3.5,3,4.5,4.5,3.5,2.5,3,4.5,4.5,3,3,2,3.5,6.5,6,3,5.5,4.5,4,5,2,3.5,5,3,1.5,2,3.5,2,3.5,4.5,5,2
"35","Carl",1,"5/21/86","Reba","Phillip","LF","12/8/97",4219,11.9,"Yerkes","A",3,4,4,5,4,4,5,3,3,3,5,3,6,4,4,3,5,3,3,3,5,5,4,3,5,4,3,2,4,4,3,6,3,4,4,5,4,3,5,4,5,4,4,4,"5/21/86","Reba","Phillip","Yerkes",3,1,"AH","7/15/01","B",4,1,4,2,3,5,2,3,4,3,4,2,5,6,2,5,4,4,5,5,1,2,3,5,5,2,4,3,4,5,5,3,3,4,5,4,5,4,4,3,5,2,2,3,4,5,3.5,4.5,3,3.5,3,3.5,4.5,2,5,3,3,4,5,3,2.5,4,4.5,4.5,5,2.5,4.5,4.5,3,2,4.5,4.5,3,5.5,4,4,4,4,3.5,2.5,5,4,3.5,3.5,4,4.5
"36","Carmicheal",1,"3/21/83","Ericka","Rogger","WH","11/3/97",5341,15,"Yerkes","A",7,3,2,4,5,5,1,3,4,2,6,6,4,4,6,2,4,3,2,5,6,5,3,2,1,6,6,2,5,5,4,5,2,1,4,1,5,3,4,5,6,5,1,3,"3/21/83","Ericka","Rogger","Yerkes",7,1,"MW","7/26/01","B",6,4,4,3,5,5,2,4,4,3,4,3,5,5,6,5,3,4,3,3,3,5,3,3,2,4,5,3,6,5,3,5,4,3,2,4,3,3,3,4,3,5,5,2.5,4,3.5,4.5,4,2.5,3.5,4,4,4.5,4.5,4,3.5,4.5,3.5,3.5,4,4,4,5,4.5,4,3.5,2,4,4.5,3,5,4,4.5,5,2,2,3.5,2,4.5,4,3.5,5,5.5,4,2.5,4
"37","Cathy",0,"10/5/89","Georgia","Walnut","SS","1/13/99",3387,9.5,"Yerkes","A",NA,5,2,5,3,6,1,1,1,2,4,1,3,5,1,6,5,1,1,4,6,4,1,1,5,5,5,1,6,6,1,5,4,5,2,3,1,1,7,1,2,5,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","Cheeta",0,"1/1/57","","","WH","8/13/97",14834,41.7,"Yerkes","B",NA,2,5,5,2,2,4,6,5,5,4,3,2,2,5,4,3,5,6,5,3,2,5,5,4,3,2,6,3,4,4,4,5,5,3,4,4,5,2,4,4,3,4,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","Cheri",0,"1/1/55","","","DL","10/4/97",15617,43.9,"Yerkes","B",NA,4,1,1,6,5,6,2,2,2,2,6,2,1,7,3,1,2,2,2,5,1,4,2,3,7,6,6,4,5,5,5,1,4,1,2,6,4,2,5,5,5,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","Christa",0,"6/1/95","Lilone","Rogger","AH","7/26/01",2247,6.3,"Yerkes","A",9,6,1,5,6,3,1,4,5,3,3,5,3,4,4,4,4,2,2,5,5,5,3,2,6,6,6,2,4,4,2,6,4,4,3,4,5,3,5,2,3,4,5,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","Cissie",0,"11/28/76","Boka","Hep","LP","6/11/00",8596,24.1,"Yerkes","B",NA,6,4,3,4,3,6,2,3,4,3,4,4,3,5,3,4,4,3,3,4,5,5,6,2,3,3,4,3,4,4,4,4,5,5,2,1,4,4,2,1,2,3,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","Claus",1,"12/25/92","Gwennie","Jimoh","SS","1/10/99",2207,6.2,"Yerkes","A",NA,3,2,4,4,4,1,3,4,5,5,2,5,7,2,7,4,4,3,5,5,6,3,3,6,4,5,1,3,4,1,5,3,5,4,5,2,1,5,1,3,1,4,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","Clint",1,"6/6/80","Cheri","Walnut","DL","10/4/97",6329,17.8,"Yerkes","A",3,1,4,6,5,3,1,6,5,2,5,2,2,7,3,6,4,6,5,5,3,3,6,2,7,2,2,5,5,6,1,6,7,7,2,7,2,2,5,1,3,1,4,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","Colombus",1,"10/10/77","Sonia","Phinneas","WH","11/12/99",8068,22.7,"Yerkes","A",NA,6,4,3,6,4,6,6,4,5,3,6,4,3,7,3,3,5,4,6,2,2,6,5,5,3,5,3,3,5,5,2,4,3,5,2,6,5,4,5,5,3,2,5,"10/10/77","Sonia","Phinneas","Yerkes",NA,1,"LP","8/17/97","B",2,4,4,6,NA,2,2,6,NA,2,6,3,3,4,2,4,4,1,2,2,2,5,3,5,4,6,6,2,5,6,2,6,2,3,2,3,3,1,2,4,4,3,4,4,4.5,3.5,6,3,5,6,4,3.5,2,4,4,3,6.5,2.5,2.5,NA,3,4.5,2.5,1.5,5,5,3.5,2.5,4,4.5,4.5,5,5.5,2.5,4,3.5,4,2,4,4,3,5.5,4.5,2.5,NA,4.5
"45","Conan",1,"1/3/86","Mai","Walnut","MW","7/15/01",5672,15.9,"Yerkes","A",2,2,6,5,2,5,2,4,4,2,5,2,3,4,1,4,5,2,4,2,4,4,4,2,3,3,2,4,5,5,2,4,2,4,4,3,2,2,5,5,2,4,2,6,"1/3/86","Mai","Walnut","Yerkes",2,1,"WH","8/13/97","B",3,1,4,5,5,4,5,4,4,4,4,4,4,5,3,4,3,3,4,4,5,3,6,3,3,4,5,2,3,4,3,4,5,4,5,3,4,4,3,4,4,5,5,3.5,4.5,4.5,3,4.5,1.5,4,4,2.5,4.5,3.5,3.5,4,3,4,4.5,3.5,3.5,3,3.5,3.5,4.5,2.5,3,4,4,4,4.5,4,3,4,2.5,3.5,4,2.5,3.5,3.5,4,5,3.5,4,3,5
"46","Cynthia",0,"6/7/80","Beleka","Iyk","SS","1/13/99",6794,19.1,"Yerkes","B",NA,2,2,5,6,6,1,2,7,2,6,2,6,3,2,4,6,4,1,1,6,5,1,2,5,4,2,2,6,5,2,6,1,6,5,4,1,2,6,5,1,2,4,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47","Daisey",0,"10/1/89","Tai","Phinneas","SS","1/16/99",3394,9.5,"Yerkes","B",NA,5,5,4,2,3,2,7,5,5,3,5,1,3,3,4,2,6,5,5,3,3,5,5,2,2,4,6,4,5,4,2,5,3,2,2,4,5,3,5,5,5,5,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48","Dara",0,"6/16/88","Leslie","Homer","AH","7/26/01",4788,13.4,"Yerkes","A",11,2,6,6,5,3,2,5,5,3,3,4,3,3,4,4,3,5,5,4,3,3,3,3,3,3,4,5,4,5,3,5,5,4,4,4,3,3,3,2,5,3,4,5,"6/16/88","Leslie","Homer","Yerkes",11,0,"WH","12/30/98","B",5,NA,1,2,6,6,5,5,4,3,7,4,3,5,6,6,6,4,4,2,2,5,4,5,6,6,2,4,6,4,2,2,2,5,1,2,5,5,5,6,6,2,1,3.5,6,6,5,3.5,NA,6,5.5,4,4,3,2,3.5,3,5,2.5,5.5,5.5,4.5,2.5,3.5,4,4,4,2,4,5.5,4,5,2.5,4,5.5,5,4.5,4,2.5,2.5,2.5,2,3,3,4,5.5
"49","David",1,"6/27/77","Flora","Hal","MW","7/15/01",8784,24.7,"Yerkes","A",2,5,3,3,5,5,2,4,3,2,5,2,5,3,2,4,4,2,3,2,4,3,5,3,5,3,3,3,5,5,2,5,2,4,3,4,2,2,5,2,2,3,2,5,"6/27/77","Flora","Hal","Yerkes",2,1,"SS","1/14/99","B",6,7,2,6,4,6,4,3,4,2,4,6,4,6,5,4,2,2,2,2,5,7,4,3,4,3,3,2,2,4,4,3,5,3,5,2,2,2,5,5,5,6,6,4.5,2.5,4,4,3.5,4.5,4,4,4,3.5,3.5,3.5,4.5,4,5,3,3,4,2,3,2.5,5.5,5,5,4,3.5,3,4.5,4,2.5,4.5,3,3,3,3,3.5,4,4.5,2.5,4,2.5,3,4.5
"50","Dobbs",1,"1/1/61","","","MW","7/15/01",14805,41.6,"Yerkes","A",2,1,7,5,2,2,2,5,5,5,2,1,2,2,6,3,2,6,7,5,2,1,6,6,2,1,1,6,5,6,5,2,6,5,3,2,2,6,2,2,5,3,2,6,"1/1/61","","","Yerkes",2,1,"WH","8/28/97","B",2,5,2,6,2,1,4,4,2,6,4,1,2,1,1,6,3,2,4,3,6,4,5,6,2,3,6,3,2,4,3,6,5,3,5,4,3,2,2,3,6,5,5,2.5,4.5,5.5,3,3,3.5,4.5,4,3.5,2,3.5,2,1.5,6,2,2.5,4,4,4,3,1.5,3.5,5,2,3,3,4.5,4.5,6,5.5,2,4,4,3,2.5,3.5,5.5,2.5,4,5,4.5,2,6
"51","Dona",0,"4/3/90","Peony","Walnut","LP","6/11/00",3722,10.5,"Yerkes","B",NA,4,2,2,5,4,2,4,3,2,6,5,5,3,5,3,5,3,3,4,6,6,4,2,3,6,6,2,2,6,2,6,3,6,5,2,1,2,6,4,1,5,4,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52","Donald",1,"10/15/87","Reba","Jimoh","WH","7/15/01",5022,14.1,"Yerkes","A",4,2,4,4,2,2,4,4,5,6,4,4,2,5,6,4,2,5,4,5,4,3,6,5,5,2,4,4,3,2,5,2,6,4,4,3,4,5,3,2,6,3,4,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53","Dover",1,"2/25/94","Cissie","Homer","JF","2/10/99",1811,5.1,"Yerkes","B",NA,4,1,2,2,4,1,2,5,5,6,2,3,7,1,7,2,1,1,2,4,5,5,5,6,6,6,1,5,4,1,5,1,4,2,4,2,3,6,1,5,3,4,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54","Duff",1,"2/8/90","Lena","Clint","MW","7/15/01",4175,11.7,"Yerkes","A",2,2,5,5,3,2,7,5,6,5,3,3,2,2,3,6,4,4,6,5,3,2,6,6,4,3,3,6,2,3,3,3,5,3,5,2,3,6,3,2,6,3,2,2,"2/8/90","Lena","Clint","Yerkes",2,1,"AH","7/30/01","B",6,7,2,4,5,5,2,2,4,3,3,3,3,4,5,5,3,3,2,4,2,5,2,3,3,5,3,3,5,3,2,4,5,3,3,3,4,4,2,4,4,5,6,2,5,4.5,2.5,2,7,4,5,5.5,3.5,2.5,2,2.5,3.5,5.5,4,4.5,5.5,4.5,3,2.5,5,5.5,3,3,2.5,5.5,2.5,3,3.5,3,4,3,4,2.5,4,5.5,2.5,2.5,6,3,3,3.5
"55","Edwina",0,"5/28/91","Lolita","Edward","WH","11/2/97",2350,6.6,"Yerkes","A",6,4,5,6,5,3,1,6,6,5,3,3,2,1,5,4,3,6,5,5,2,2,5,6,5,2,4,6,4,4,5,2,6,5,3,3,4,4,2,4,4,2,2,6,"5/28/91","Lolita","Edward","Yerkes",6,0,"KB","10/4/97","B",4,2,2,5,6,5,3,5,4,5,6,4,4,3,5,5,5,3,5,3,2,3,2,6,5,4,2,3,6,6,4,4,4,3,2,3,6,5,4,7,6,2,2,3.5,5.5,6,5,4,1.5,6,6.5,4.5,4,2.5,2,2.5,5,4.5,3,6,5,5.5,2.5,2.5,4,4.5,4.5,2,3,5,5,5,4.5,3,5.5,5,3,3,4,3,3,3,3,3.5,3,5.5
"56","Ellie",0,"8/14/72","Cookie","Homer","AH","7/15/01",10562,29.7,"Yerkes","B",NA,2,2,2,5,5,1,4,2,2,3,5,2,1,6,1,3,2,1,4,5,2,1,1,1,6,4,1,6,3,5,4,1,4,2,3,2,2,2,7,2,7,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"57","Elvira",0,"10/31/88","Barbi","Jimoh","WH","11/5/97",3292,9.2,"Yerkes","A",7,2,5,6,4,6,1,5,6,3,6,2,5,6,1,6,5,5,3,7,4,5,3,3,6,3,3,2,6,6,1,5,5,7,5,5,2,2,5,1,1,4,4,6,"10/31/88","Barbi","Jimoh","Yerkes",7,0,"MW","7/26/01","B",5,2,3,3,4,5,6,2,4,3,4,4,5,6,2,3,6,5,3,5,2,6,5,3,3,5,2,5,3,5,3,2,4,4,6,3,4,4,5,6,6,4,4,4,4,6,3,4.5,1.5,4.5,6,4,5,2,4,5,2,5.5,5,4.5,2.5,5.5,3.5,5,4.5,4.5,5.5,4.5,4,3.5,5.5,4.5,1.5,5,4,6.5,4.5,5,3,3,4,1.5,2.5,3.5,4,4.5
"58","Elwood",1,"2/19/90","Jaq","Harv","AH","7/26/01",4175,11.7,"Yerkes","A",9,1,6,2,2,5,1,3,2,2,2,2,2,2,5,3,3,5,4,4,4,3,2,3,2,4,2,2,4,4,5,3,5,3,3,3,3,3,3,6,3,6,3,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"59","Erika",0,"10/20/73","","","SS","1/16/99",9219,25.9,"Yerkes","B",NA,1,7,7,1,2,1,7,7,7,2,1,2,4,1,4,3,7,6,7,1,4,5,6,5,1,1,7,7,7,1,4,6,2,2,4,1,2,1,4,2,1,1,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"60","Evelyne",0,"9/4/91","Sabrina","Puddin","MW","7/15/01",3602,10.1,"Yerkes","A",5,6,2,3,6,4,1,1,2,2,2,6,2,2,5,3,2,1,1,1,4,2,5,2,2,7,6,2,6,2,5,6,1,4,2,2,2,1,4,2,2,5,2,1,"9/4/91","Sabrina","Puddin","Yerkes",5,0,"MW","7/29/01","B",2,1,3,2,6,6,4,5,5,6,7,2,2,4,5,5,6,3,6,3,2,2,4,6,3,2,1,4,6,6,3,2,1,6,3,4,6,6,6,6,4,1,1,5,4,3.5,5.5,5,1,4,4,2,4,4,2.5,2,3.5,4.5,2.5,3.5,3,3.5,4,2.5,4.5,2,4,5,5,2,6,4,3.5,4,2,5,4,3,1.5,1,3.5,1.5,1.5,5.5,3.5,3
"61","Faye",0,"6/22/92","Sheila","","AH","7/15/01",3310,9.3,"Yerkes","A",2,2,4,4,3,5,2,4,2,2,3,3,3,4,4,4,4,2,2,3,5,3,2,2,5,5,3,4,5,5,2,4,3,4,2,4,3,2,3,4,2,5,5,4,"6/22/92","Sheila","","Yerkes",2,0,"WH","6/16/02","B",2,2,3,5,2,4,4,5,2,6,4,3,5,4,2,5,5,4,6,3,6,4,5,4,1,4,3,2,2,5,4,3,3,4,5,4,3,5,5,3,4,6,4,3,3,4,4,5.5,2,4,2.5,2,4,4.5,3,3.5,4.5,4,3.5,2,2,3,4.5,3.5,3,3,5,5,4,4,5,4.5,2.5,4.5,2,4.5,3,3,3,4,3.5,3.5,3,5.5,3.5,4.5
"62","Fiona",0,"12/5/94","Leslie","Lux","AH","7/26/01",2425,6.8,"Yerkes","A",11,6,2,5,6,3,1,6,6,3,6,5,5,5,2,4,5,2,1,5,4,5,4,3,6,6,5,2,4,3,2,5,5,5,4,5,5,3,5,3,2,3,4,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
