chimp,Sex.x,DOB.x,fear.z,dom.z,pers.z,caut.z,stbl.z,aut.z,stngy.z,jeals.z,reckl.z,soc.z,tim.z,symp.z,play.z,sol.z,actv.z,help.z,buly.z,aggr.z,manp.z,gntl.z,affc.z,exct.z,impl.z,inqs.z,subm.z,depd.z,irri.z,pred.z,decs.z,depr.z,sens.z,defn.z,intll.z,prot.z,invt.z,clmy.z,errc.z,frdy.z,lazy.z,dsor.z,unem.z,imit.z,indp.z
Magnum,1,07/08/1989,5,3,4,5,3,2,2,2,1,5,4,4,6,2,6,4,3,2,2,5,4,4,4,6,6,6,1,3,4,2,6,3,5,3,5,1,2,5,1,3,1,4,4
Mai,0,01/01/1964,5,2,6,4,2,1,6,6,2,3,6,3,2,4,2,4,5,4,4,3,5,6,1,2,6,6,6,2,5,5,4,4,4,6,2,2,6,3,6,4,1,1,2
Marietta,0,08/03/1973,4.5,2.5,3.5,4.5,3.5,4,4,4,2.5,2.5,4.5,4,2.5,4,2.5,3.5,3,2,3,4.5,3,3,2.5,3,4.5,4,3,4.5,4,5,4.5,3,4,2,3,2.5,2.5,3.5,4,3,3,3.5,3.5
Marilyne,0,1/13/1971,2,7,7,1,5,2,7,6,6,3,1,1,3,6,3,3,5,5,7,3,4,3,5,4,1,1,5,4,7,4,4,7,7,3,5,2,3,3,2,1,2,1,7
Martha,0,07/07/1960,2,3,3,4,4,2,3,2,2,3,2,4,2,4,2,4,2,1,2,4,4,3,1,3,2,3,1,6,4,2,4,1,5,4,1,1,2,4,6,1,4,1,5
Mary,0,07/07/1960,3,2,2.5,5,4,2,2.5,2,2,3,5,3.5,2,5,2,2.5,1.5,1.5,3.5,5,4,3.5,2,2.5,5.5,4.5,2.5,5,4.5,4,4.5,2,3.5,2.5,2.5,4,2,2.5,5.5,2.5,4.5,3.5,3.5
Mason,1,9/18/1984,1,5,2,2,3,2,2,2,3,5,1,3,4,3,4,3,3,3,4,3,4,4,3,4,4,3,4,4,4,2,4,3,5,3,2,3,3,4,4,3,3,2,6
Maxine,0,02/10/1957,5,1.5,3.5,5.5,3.5,2,2,3,2,3,5.5,3,2,3,1.5,4.5,1,1,1.5,5,3.5,4,2,3.5,5.5,5,3,5,3,5,4.5,2,4,1.5,2,2.5,1.5,3.5,5,3,3.5,2,2.5
Mega,0,11/27/1984,1.5,5.5,4,3.5,5,2.5,5.5,3.5,6,5,2,3,3,3.5,4.5,3,4.5,3,4.5,3,3,5.5,3.5,2.5,3,3,4.5,6,6,3,4.5,5.5,5.5,4.5,3.5,2.5,2.5,4,3,2,2.5,5.5,5.5
Melinda,0,10/30/1982,6,3,2,5,6,1,2,2,1,5,6,4,4,3,4,4,1,2,5,6,5,3,1,1,5,5,2,5,4,3,5,1,4,6,2,2,2,5,4,4,5,2,3
Melissa,0,6/27/1981,2,6,6.5,2.5,3,1,6.5,6.5,5,4,2,1.5,4,3.5,4.5,3,6.5,4,6.5,2.5,4,5,5.5,5.5,2,2,4.5,4.5,6,2,3.5,5,6,4.5,4,3,4,4,5,4,2.5,3,6.5
Merv,1,01/06/1976,2,6,6,2,2.5,3,6,6,5.5,4.5,2,3,5,4,6,3,6,6,4.5,2.5,4,5.5,5.5,5,2,2,5.5,4.5,5.5,2,3.5,5,4.5,3,6,2,4.5,4,1.5,2.5,1.5,4.5,6
Missy,0,07/08/1993,6,1,4,7,2,2,1,1,1,6,7,6,7,1,7,3,1,1,1,7,6,4,5,6,7,7,1,7,2,1,7,1,6,4,5,2,1,7,1,5,3,6,1
Morgan,1,04/11/1996,4,4,4,4,3,1,5,6,4,6,2,2,7,1,7,2,2,6,2,3,7,5,5,6,4,6,2,4,3,1,4,5,3,2,4,2,1,3,1,1,2,4,4
Mortimer,1,12/20/1976,1,6.5,6.5,1,1.5,6.5,6.5,6,4,1,2,1,2,2,5,1.5,7,7,5,1,1.5,7,6.5,3,1.5,1.5,7,3.5,6,3,4,6,3.5,1.5,3,1.5,4.5,2,2.5,4.5,1.5,3,6.5
Natasha,0,12/19/1987,5,3,2,3,4,1,4,6,3,4,2,2,3,2,2,5,6,2,4,6,4,3,1,3,5,4,2,7,2,1,5,1,5,2,1,2,1,6,7,1,2,3,5
Ossabaw,1,11/17/1976,3.5,3.5,5,3,3.5,2,3.5,4.5,4,3,3,3,3.5,4,3.5,3.5,4,3,3,3.5,3,4.5,4,4,3.5,3,4,4,4,3,3,3,4,3,3,3,3.5,3.5,4,3.5,3,4.5,4
Panzee,0,12/31/1985,3.5,3,6,4.5,3.5,1,6.5,4,5,5.5,1,4,5,3.5,3,4,4,6,4,5,5,5.5,3.5,7,1.5,2.5,4,6,6.5,1,4.5,6,4.5,3.5,7,1,1,6,3,1,1,5,7
Patrick,1,7/14/1993,6,1,2,5,2,7,6,6,4,3,7,4,5,4,4,4,2,4,3,6,6,6,6,4,6,5,6,3,4,5,5,5,3,3,3,5,5,4,5,4,2,4,3
Peony,0,01/01/1968,1,7,5,1,6,1,6,3,2,5,1,4,2,5,1,4,3,1,2,6,5,1,1,2,1,2,1,6,6,1,4,5,4,4,2,1,1,6,4,1,4,1,6
Phillip,1,4/30/1977,2.5,5.5,4.5,2,3.5,3.5,5.5,5.5,5.5,2,2,1.5,2.5,6,3,1.5,4.5,4.5,4.5,1.5,1.5,4,6,3,1.5,2,5,3.5,5.5,3,2,5,3,2,1.5,2,3.5,1.5,3.5,3,3,2,6
Phineas,1,01/01/1966,5,6,4,4,3,2,7,7,2,6,2,4,6,2,5,2,6,5,6,3,5,5,2,5,2,2,2,6,6,1,4,1,6,5,4,1,2,4,1,1,2,1,6
Polyanna,0,2/17/1989,5,4,4,5,4,1,4,3,2,5,5,4,4,4,4,4,4,3,5,4,4,4,2,3,5,4,4,5,4,3,4,4,5,4,4,4,2,2,4,4,5,4,4
Puddin,1,12/23/1978,1.5,5.5,5,1,3,5.5,4.5,4.5,6,1.5,1.5,2,2.5,5.5,4,3.5,5.5,5.5,4.5,2.5,2,5,5,3.5,1,2,5.5,3.5,4.5,4,3,5.5,4,3.5,4.5,3,3.5,1.5,4.5,4.5,4,4,5
Ranette,0,12/17/1987,2,5,4,4,5,1,4,5,4,5,2,4,4,2,4,4,5,5,4,4,3,3,2,2,3,3,5,6,5,2,4,4,5,3,3,1,2,3,5,3,3,4,3
Reba,0,11/03/1958,6,3,3,5,2,6.5,3.5,2.5,3,2.5,5.5,4,2,4,4,3.5,4,2.5,1.5,4.5,3.5,5.5,5.5,2,5.5,5.5,4,3.5,4,4.5,2,3,2,3.5,1.5,6,6,4,4.5,6,1.5,4,4.5
Rebecca,0,5/20/1991,4,2.5,4,5.5,3.5,1.5,2.5,3.5,1.5,4.5,5,4,2.5,4.5,3,4,1.5,1.5,4,4,4,4,2.5,3,6,4.5,2.5,4.5,4,4,5,2.5,3,4,3.5,4.5,3,4,4,4,3,3.5,4
Rhett,1,4/20/1989,1,4,5,2,3,1,2,4,5,5,1,3,4,1,4,3,5,5,2,3,5,3,1,5,2,2,1,4,5,1,3,5,5,2,3,1,1,3,1,1,2,2,5
Rogger,1,01/01/1969,3,5,6,3,4,3,6,5.5,4,3,2.5,3.5,2,4.5,3.5,4,6,4,3.5,4,3,3.5,3,2.5,3.5,2,4,5,5,4.5,4,4.5,2.5,4,2,4.5,2.5,3.5,5,5,2.5,1.5,6
Ronald,1,05/04/1988,4,1,1,5,4,1,1,1,1,4,4,4,4,4,3,3,1,1,1,4,4,3,4,3,7,6,2,4,3,4,4,2,3,2,3,5,3,4,4,4,4,3,3
Rosemary,0,02/11/1994,5,2,2,5,4,6,3,2,2,7,3,6,4,3,3,5,2,2,4,6,7,4,2,5,4,6,2,5,5,4,6,3,5,6,5,1,2,6,3,1,3,4,4
Rowena,0,8/13/1988,3,2,6,4,5,2,4,3,6,3,3,2,4,4,4,3,2,2,3,3,2,3,5,4,2,3,5,3,5,4,4,4,4,2,3,4,5,3,5,4,3,4,5
Sabrina,0,10/16/1978,4.5,3,3,4,3,3.5,2.5,2,3,3,5,3,2,5,4,3,3.5,3.5,3,4,2.5,4.5,3.5,3,5,4.5,4,4.5,3.5,5,4,3.5,4.5,2.5,4,3.5,4,3,4.5,2.5,4,3,4.5
Sam,1,5/19/1982,2,5,5,6,5,1,2,6,3,5,5,5,4,2,5,4,5,5,6,4,4,3,2,1,3,5,3,5,3,2,4,3,2,5,2,4,5,5,2,3,5,2,2
Samantha,0,8/28/1997,5,1,6,5,5,1,2,4,3,4,3,4,5,2,6,4,1,1,5,4,5,2,2,5,6,6,2,3,1,2,4,5,4,4,4,3,2,5,1,5,5,5,3
Scott,1,6/23/1987,1.5,5.5,3.5,3,5.5,1,1,5,2,5,1,5,5.5,1,5,5.5,2.5,3,5.5,4.5,5.5,2.5,3,6,1,2.5,2.5,4.5,5,1,4.5,5,6,4.5,6.5,2.5,2.5,5.5,1.5,1,2,1.5,6
Sean,1,3/16/1992,5,3,4,4,3,1,5,5,3,5,2,2,6,2,5,3,5,5,4,3,4,2,2,5,3,4,2,3,4,1,4,4,3,3,3,3,3,4,1,3,2,4,3
Sellers,1,12/18/1983,2,4,5,3,5,2,5,4.5,4.5,5,2.5,3.5,5,3,4,4,4,3.5,4,3.5,4,4,3,4.5,2.5,2.5,3,5.5,6,3,4,4.5,5,5,4,3,2.5,4.5,4,2.5,3.5,2,4.5
Sheena,0,1/20/1989,2,6,5,1,4,2,6,6,6,5,3,4,5,2,5,3,6,5,5,3,4,5,5,6,2,2,3,5,5,2,4,5,5,5,5,4,4,3,3,3,3,4,5
Sheila,0,3/19/1972,3,6,5,3,3,1,5,5,5,4,1,3,4,5,5,3,5,5,4,4,2,6,1,4,1,1,3,6,6,4,5,3,6,4,4,1,1,2,3,1,2,4,6
Shirley,0,01/11/1985,3,5,6,3.5,3,4.5,6.5,4.5,3.5,3.5,3,3,3,3,5,2.5,5.5,6,6,2.5,2.5,6.5,4,4,2.5,3.5,6,3.5,4,4.5,5,5.5,5,5.5,2.5,2.5,3.5,2.5,3.5,4,1.5,3,5.5
Socrates,1,1/23/1987,1,7,7,1,5,1,3,1,6,6,1,5,5,2,5,4,6,6,7,6,6,4,6,6,1,1,3,5,7,2,6,7,7,4,7,1,2,4,1,1,1,1,7
Sonia,0,11/01/1959,2.5,5,3.5,5,6.5,1,4,1.5,1,6.5,2,5.5,3,3,1,5,3.5,1.5,2.5,6.5,6.5,2,1,5.5,3,2,1,6.5,6,3,5,2.5,5.5,6,3,3,1,7,5.5,1,5,2.5,4.5
Sparkle,0,01/01/1955,6,4,6,4,2,3,5,6,6,2,3,3,1,3,3,5,3,3,4,3,4,6,5,5,5,6,6,3,6,5,5,6,6,4,6,5,5,3,5,2,2,4,6
Storer,1,11/19/1991,1,4,6,5,6,2,2,1,2,5,4,5,6,2,2,4,2,1,5,6,6,3,2,5,3,4,2,6,4,2,5,2,4,5,4,1,1,6,4,2,2,5,6
Suwanee,0,2/17/1985,4.5,2,3.5,5,5,1.5,4,4.5,2,4.5,5,4.5,4,3.5,4,4.5,2,2,4,5,4.5,3,2.5,4,6,5,3,4.5,3.5,3.5,5,2.5,4.5,3,3,3.5,2.5,5,3.5,3.5,3.5,3.5,4
Suzanna,0,2/25/1976,3.5,4.5,5,4,2.5,2.5,4.5,5,6,2.5,2.5,2,4,3.5,6,4,4.5,4,4.5,2.5,3,6,6,4.5,2,2.5,5,3,5,2.5,2.5,4.5,4.5,2.5,4,2,5,2.5,2,4,2,3.5,5.5
Sylvia,0,7/19/1993,5.5,4,5,3.5,3.5,1,4.5,4,3,4,2.5,3.5,6,3,6,4,3.5,3,4,4.5,3.5,6,6,5.5,4,3,1.5,4,5,2.5,5,6,5,3.5,5.5,2,3.5,4.5,1.5,3.5,2.5,4.5,5
Tai,0,01/01/1967,3,2,3,3,4,1,4,2,1,3,3,3,2,5,3,4,2,2,2,5,4,5,3,4,3,4,2,6,2,2,5,2,5,3,4,2,1,3,5,3,3,1,4
Tank,1,2/18/1986,2,5,6,2,2,4,3,5,6,4,2,2,5,4,5,4,6,6,6,2,3,5,5,4,3,4,5,5,5,4,3,6,5,4,4,5,5,3,2,4,3,4,5
Tara,0,09/05/1995,3,2,4,4,6,1,4,2,1,6,1,5,6,1,6,4,1,2,2,6,7,2,2,7,5,3,1,NA,6,1,4,1,4,NA,4,2,1,6,1,1,NA,NA,5
Travis,1,08/02/1989,4,5,5,2,2,1,5,5,6,4,1,1,4,1,5,2,6,4,5,1,3,2,2,4,2,2,3,5,6,1,3,1,3,2,3,1,2,3,4,2,2,4,5
Vivienne,0,7/27/1974,4,1.5,3.5,5.5,3.5,3.5,3.5,3.5,3.5,2.5,4.5,2.5,2,6,2.5,2.5,3.5,2.5,2.5,3.5,2.5,3.5,3,4.5,6.5,4,4.5,5,4.5,5.5,3.5,3,4.5,3,2.5,2.5,2.5,2.5,5.5,3.5,4,2.5,4.5
Waga,0,3/19/1982,2,2,2,5,3,1,3,2,2,3,5,3,3,3,3,3,3,2,2,3,3,3,2,4,5,3,1,5,3,5,4,2,3,2,3,4,3,3,5,4,5,2,4
Walnut,1,01/01/1965,2,7,4,5,5,5,2,3,2,6,2,5,5,2,3,3,2,3,5,5,5,2,2,5,2,2,2,5,5,4,4,3,5,5,3,2,2,6,4,3,4,4,5
Wenka,0,5/21/1954,5,2,2,5,2,6,1,2,2,3,5,4,2,6,2,2,1,1,4,4,3,5,5,4,6,6,4,5,4,6,3,4,3,4,3,5,5,4,4,6,3,4,5
Wilma,0,10/27/1988,2,4.5,4,4.5,5,1,3.5,4,2.5,5,2.5,3,4,3,4.5,4,3,1.5,5,5,4.5,3,2.5,3,4,3,2,6.5,5,2.5,4.5,3.5,4.5,4.5,4,4,3,4,4,4,5.5,4,5.5
Wilson,1,03/09/1994,5,4,4.5,5,3,4,4.5,5,5.5,6,4.5,4.5,6,2.5,6,5,4,3.5,4,4.5,6,5,4,4.5,4,5,3,4.5,3,2,5.5,3.5,2.5,5.5,4,4,3.5,6,3,3,2.5,5,3
Winston,1,01/12/1987,2,5,5.5,2.5,3,2,2.5,4.5,4.5,3.5,1.5,2.5,3.5,4,4.5,4,4.5,5,4,2.5,3,5.5,5,4.5,1.5,2,5,4,5,3,3.5,4.5,4.5,3,4,3,4.5,3.5,3,3.5,2.5,3.5,4.5
Woodruff,1,7/22/1975,3.5,2,5.5,5,5,2.5,3.5,3.5,2,4,4,4.5,2.5,3.5,2,4,1,1.5,2,5,3.5,2.5,3,4,6,3.5,2,5,4,4,3.5,2,3,3.5,3.5,4,2.5,4.5,6,4,4,3,5
