"","chimp","Sex.x","DOB.x","fear.z","pers.z","caut.z","stbl.z","aut.z","stngy.z","jeals.z","reckl.z","soc.z","tim.z","symp.z","play.z","sol.z","actv.z","help.z","buly.z","aggr.z","manp.z","gntl.z","affc.z","exct.z","impl.z","inqs.z","subm.z","depd.z","irri.z","pred.z","decs.z","depr.z","sens.z","defn.z","intll.z","prot.z","invt.z","clmy.z","errc.z","frdy.z","lazy.z","dsor.z","unem.z","imit.z","indp.z","dom.z"
"109","Lamar",1,"4/27/1988",3.5,3.5,6,5,2,3.5,5.5,1.5,5.5,3,5,5.5,2.5,5.5,4.5,3,2.5,3,5,6,3.5,2,5.5,3,4.5,2,4,4.5,1.5,5.5,2.5,5,4.5,6,1.5,3.5,5.5,2,2,2,3,4.5,4.5
"110","Lana",0,"10/07/1970",3,3,7,5.5,6,3.5,3.5,1,4.5,4.5,4.5,2,2,2,5,1,1.5,5,5,5.5,2.5,5.5,5,6,4.5,3.5,6,6.5,2,7,1.5,6.5,6,4,1.5,1.5,4,4,1,3,4.5,5.5,2
"111","Lee",0,"12/29/1983",2.5,4.5,4.5,5.5,2,5.5,5.5,3.5,5,3,4,4,3.5,3,4,4,3.5,4,3.5,4.5,4,4.5,3.5,4.5,4,2,5.5,5,3.5,4,5.5,5.5,5,4.5,4.5,2,5.5,4,4,3.5,3.5,5.5,4
"112","Lena",0,"2/29/1976",4,4,5,3.5,2,3,3,2,4.5,3.5,4,3,3.5,3,3.5,2,2,4.5,4.5,4,4,3,4.5,4.5,3,2,3.5,4,3,5,4,4.5,4,4.5,2.5,1.5,3.5,3.5,2.5,3,3.5,3.5,3.5
"113","Les",1,"09/08/1975",7,5.5,5.5,2,4.5,4,5.5,3,2.5,6,3,2.5,4,4.5,2.5,1.5,2.5,4.5,3,2.5,6,4,3,7,3.5,4.5,4,3.5,4,5.5,1.5,4,1.5,3,3,5.5,3,3.5,4,2,2.5,2,1
"114","Leslie",0,"01/01/1970",3.5,3.5,4.5,6,4.5,3.5,2,1.5,5,3.5,5,2,4,1.5,3.5,2.5,2.5,4.5,5,5,2.5,2.5,3,3,3.5,2.5,5.5,4.5,4.5,3.5,3,4.5,4.5,4,3.5,2.5,5,6,2.5,5,3,5.5,5
"115","Lil'One",0,"01/01/1969",3.5,5.5,4,4,1.5,3.5,3.5,2.5,4.5,3.5,5,2.5,3.5,2.5,4.5,2.5,2,5,5.5,5.5,3.5,2,5,3.5,2.5,2,5.5,5,2,5,3.5,6,5,4.5,3,2.5,5.5,2.5,2,3,2.5,4.5,3.5
"116","Lindsey",0,"02/10/1994",4.5,5,4,3,5.5,5,6,4,4.5,4,4,5,2.5,5,4,4,3.5,5,3.5,5.5,5.5,4,4.5,4.5,5,4,3.5,5.5,3,4.5,3,4.5,3.5,4.5,4,4.5,4.5,2.5,2,3.5,4.5,3.5,4.5
"117","Liza",0,"3/19/1994",2,6,2,4,1,3,4,5,5,2,4,5,1,4,4,2,2,2,4,6,5,4,6,3,4,2,3,4,NA,4,4,NA,3,4,2,NA,5,1,1,NA,5,5,2
"118","Lizzie",0,"08/06/1990",3,5,4,4,3,3,3,3,6,3,4,7,1,6,6,4,3,3,4,5,3,3,6,3,4,3,5,4,NA,4,2,NA,4,4,1,NA,6,1,2,NA,2,4,3
"119","Lolita",0,"08/01/1959",4,5,5,4,2,5,2,2,5,6,4,4,5,2,4,3,2,5,5,4,5,3,3,4,4,4,5,4,NA,5,3,NA,4,4,3,NA,5,6,2,NA,4,5,4
"120","Lucas",1,"3/22/1993",1,7,2,2,6,4,6,7,6,1,2,4,3,5,2,4,6,3,4,5,7,4,3,3,2,3,5,5,NA,3,6,NA,4,2,3,NA,5,2,2,NA,1,5,6
"121","Lucy",0,"07/01/1956",6,2,6,5,5,3,3,2,5,6,5,2,5,3,5,2,3,3,6,5,3,2,2,6,7,4,5,4,NA,6,3,NA,6,2,5,NA,5,5,2,NA,6,5,2
"122","Lulu",0,"01/01/1957",3,4,4,3,2,2,4,1,5,4,5,4,4,3,5,1,1,3,5,5,5,2,5,4,4,2,6,4,NA,5,3,NA,5,2,2,NA,6,2,2,NA,2,4,1
"123","Luther",1,"1/14/1990",3,5.5,4,5,3.5,3,3.5,3,4,3,3.5,3,4,3.5,4.5,3.5,4,2.5,5,4,4,3,5,3.5,4,3.5,5,5.5,4,4.5,3.5,3,4.5,2.5,3.5,3,4,3.5,3,4,4.5,4,3
"124","Lux",1,"8/16/1981",2,5,3,4,3,2,2,3,3,3,3,3,5,3,4,4,5,4,4,3,5,4,4,1,1,2,3,3,NA,3,5,NA,4,4,5,NA,4,6,5,NA,3,5,6
"125","Lyons",1,"08/03/1984",4,5,2,2,5,6,5,7,4,2,3,5,3,5,2,6,6,5,2,3,6,6,5,3,3,5,3,4,NA,3,5,NA,3,4,2,NA,3,3,2,NA,3,5,5
"126","Magnum",1,"07/08/1989",5,4,5,3,2,2,2,1,5,4,4,6,2,6,4,3,2,2,5,4,4,4,6,6,6,1,3,4,NA,6,3,NA,3,5,1,NA,5,1,3,NA,4,4,3
"127","Mai",0,"01/01/1964",5,6,4,2,1,6,6,2,3,6,3,2,4,2,4,5,4,4,3,5,6,1,2,6,6,6,2,5,NA,4,4,NA,6,2,2,NA,3,6,4,NA,1,2,2
"128","Marietta",0,"08/03/1973",4.5,3.5,4.5,3.5,4,4,4,2.5,2.5,4.5,4,2.5,4,2.5,3.5,3,2,3,4.5,3,3,2.5,3,4.5,4,3,4.5,4,5,4.5,3,4,2,3,2.5,2.5,3.5,4,3,3,3.5,3.5,2.5
"129","Marilyne",0,"1/13/1971",2,7,1,5,2,7,6,6,3,1,1,3,6,3,3,5,5,7,3,4,3,5,4,1,1,5,4,7,NA,4,7,NA,3,5,2,NA,3,2,1,NA,1,7,7
"130","Martha",0,"07/07/1960",2,3,4,4,2,3,2,2,3,2,4,2,4,2,4,2,1,2,4,4,3,1,3,2,3,1,6,4,NA,4,1,NA,4,1,1,NA,4,6,1,NA,1,5,3
"131","Mary",0,"07/07/1960",3,2.5,5,4,2,2.5,2,2,3,5,3.5,2,5,2,2.5,1.5,1.5,3.5,5,4,3.5,2,2.5,5.5,4.5,2.5,5,4.5,4,4.5,2,3.5,2.5,2.5,4,2,2.5,5.5,2.5,4.5,3.5,3.5,2
"132","Mason",1,"9/18/1984",1,2,2,3,2,2,2,3,5,1,3,4,3,4,3,3,3,4,3,4,4,3,4,4,3,4,4,4,NA,4,3,NA,3,2,3,NA,4,4,3,NA,2,6,5
"133","Maverick",1,"09/16/1993",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"134","Maxine",0,"02/10/1957",5,3.5,5.5,3.5,2,2,3,2,3,5.5,3,2,3,1.5,4.5,1,1,1.5,5,3.5,4,2,3.5,5.5,5,3,5,3,5,4.5,2,4,1.5,2,2.5,1.5,3.5,5,3,3.5,2,2.5,1.5
"135","Mega",0,"11/27/1984",1.5,4,3.5,5,2.5,5.5,3.5,6,5,2,3,3,3.5,4.5,3,4.5,3,4.5,3,3,5.5,3.5,2.5,3,3,4.5,6,6,3,4.5,5.5,5.5,4.5,3.5,2.5,2.5,4,3,2,2.5,5.5,5.5,5.5
"136","Melinda",0,"10/30/1982",6,2,5,6,1,2,2,1,5,6,4,4,3,4,4,1,2,5,6,5,3,1,1,5,5,2,5,4,NA,5,1,NA,6,2,2,NA,5,4,4,NA,2,3,3
"137","Melissa",0,"6/27/1981",2,6.5,2.5,3,1,6.5,6.5,5,4,2,1.5,4,3.5,4.5,3,6.5,4,6.5,2.5,4,5,5.5,5.5,2,2,4.5,4.5,6,2,3.5,5,6,4.5,4,3,NA,4,5,4,2.5,3,6.5,6
"138","Merlin",1,"02/02/1993",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"139","Merv",1,"01/06/1976",2,6,2,2.5,3,6,6,5.5,4.5,2,3,5,4,6,3,6,6,4.5,2.5,4,5.5,5.5,5,2,2,5.5,4.5,5.5,2,3.5,5,4.5,3,6,2,4.5,4,1.5,2.5,1.5,4.5,6,6
"140","Missy",0,"07/08/1993",6,4,7,2,2,1,1,1,6,7,6,7,1,7,3,1,1,1,7,6,4,5,6,7,7,1,7,2,NA,7,1,NA,4,5,2,NA,7,1,5,NA,6,1,1
"141","Morgan",1,"04/11/1996",4,4,4,3,1,5,6,4,6,2,2,7,1,7,2,2,6,2,3,7,5,5,6,4,6,2,4,3,NA,4,5,NA,2,4,2,NA,3,1,1,NA,4,4,4
"142","Mortimer",1,"12/20/1976",1,6.5,1,1.5,6.5,6.5,6,4,1,2,1,2,2,5,1.5,7,7,5,1,1.5,7,6.5,3,1.5,1.5,7,3.5,6,3,4,6,3.5,1.5,3,1.5,4.5,2,2.5,4.5,1.5,3,6.5,6.5
"143","Natasha",0,"12/19/1987",5,2,3,4,1,4,6,3,4,2,2,3,2,2,5,6,2,4,6,4,3,1,3,5,4,2,7,2,NA,5,1,NA,2,1,2,NA,6,7,1,NA,3,5,3
"144","Ossabaw",1,"11/17/1976",3.5,5,3,3.5,2,3.5,4.5,4,3,3,3,3.5,4,3.5,3.5,4,3,3,3.5,3,4.5,4,4,3.5,3,4,4,4,3,3,3,4,3,3,3,3.5,3.5,4,3.5,3,4.5,4,3.5
"145","Panzee",0,"12/31/1985",3.5,6,4.5,3.5,1,6.5,4,5,5.5,1,4,5,3.5,3,4,4,6,4,5,5,5.5,3.5,7,1.5,2.5,4,6,6.5,1,4.5,6,4.5,3.5,7,1,NA,6,3,1,1,5,7,3
"146","Patrick",1,"7/14/1993",6,2,5,2,7,6,6,4,3,7,4,5,4,4,4,2,4,3,6,6,6,6,4,6,5,6,3,4,NA,5,5,NA,3,3,5,NA,4,5,4,NA,4,3,1
"147","Peony",0,"01/01/1968",1,5,1,6,1,6,3,2,5,1,4,2,5,1,4,3,1,2,6,5,1,1,2,1,2,1,6,6,NA,4,5,NA,4,2,1,NA,6,4,1,NA,1,6,7
"148","Pericles",1,"08/03/2001",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"149","Phillip",1,"4/30/1977",2.5,4.5,2,3.5,3.5,5.5,5.5,5.5,2,2,1.5,2.5,6,3,1.5,4.5,4.5,4.5,1.5,1.5,4,6,3,1.5,2,5,3.5,5.5,3,2,5,3,2,1.5,2,3.5,1.5,3.5,3,3,2,6,5.5
"150","Phineas",1,"01/01/1966",5,4,4,3,2,7,7,2,6,2,4,6,2,5,2,6,5,6,3,5,5,2,5,2,2,2,6,6,NA,4,1,NA,5,4,1,NA,4,1,1,NA,1,6,6
"151","Polyanna",0,"2/17/1989",5,4,5,4,1,4,3,2,5,5,4,4,4,4,4,4,3,5,4,4,4,2,3,5,4,4,5,4,NA,4,4,NA,4,4,4,NA,2,4,4,NA,4,4,4
"152","Puddin",1,"12/23/1978",1.5,5,1,3,5.5,4.5,4.5,6,1.5,1.5,2,2.5,5.5,4,3.5,5.5,5.5,4.5,2.5,2,5,5,3.5,1,2,5.5,3.5,4.5,4,3,5.5,4,3.5,4.5,3,3.5,1.5,4.5,4.5,4,4,5,5.5
"153","Ranette",0,"12/17/1987",2,4,4,5,1,4,5,4,5,2,4,4,2,4,4,5,5,4,4,3,3,2,2,3,3,5,6,5,NA,4,4,NA,3,3,1,NA,3,5,3,NA,4,3,5
"154","Reba",0,"11/03/1958",6,3,5,2,6.5,3.5,2.5,3,2.5,5.5,4,2,4,4,3.5,4,2.5,1.5,4.5,3.5,5.5,5.5,2,5.5,5.5,4,3.5,4,4.5,2,3,2,3.5,1.5,6,6,4,4.5,6,1.5,4,4.5,3
"155","Rebecca",0,"5/20/1991",4,4,5.5,3.5,1.5,2.5,3.5,1.5,4.5,5,4,2.5,4.5,3,4,1.5,1.5,4,4,4,4,2.5,3,6,4.5,2.5,4.5,4,4,5,2.5,3,4,3.5,4.5,3,4,4,4,3,3.5,4,2.5
"156","Reid",1,"06/05/1993",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"157","Rhett",1,"4/20/1989",1,5,2,3,1,2,4,5,5,1,3,4,1,4,3,5,5,2,3,5,3,1,5,2,2,1,4,5,NA,3,5,NA,2,3,1,NA,3,1,1,NA,2,5,4
"158","Rita",0,"09/23/1987",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"159","Rogger",1,"01/01/1969",3,6,3,4,3,6,5.5,4,3,2.5,3.5,2,4.5,3.5,4,6,4,3.5,4,3,3.5,3,2.5,3.5,2,4,5,5,4.5,4,4.5,2.5,4,2,4.5,2.5,3.5,5,5,2.5,1.5,6,5
"160","Ronald",1,"05/04/1988",4,1,5,4,1,1,1,1,4,4,4,4,4,3,3,1,1,1,4,4,3,4,3,7,6,2,4,3,NA,4,2,NA,2,3,5,NA,4,4,4,NA,3,3,1
"161","Rosemary",0,"02/11/1994",5,2,5,4,6,3,2,2,7,3,6,4,3,3,5,2,2,4,6,7,4,2,5,4,6,2,5,5,NA,6,3,NA,6,5,1,NA,6,3,1,NA,4,4,2
"162","Rowena",0,"8/13/1988",3,6,4,5,2,4,3,6,3,3,2,4,4,4,3,2,2,3,3,2,3,5,4,2,3,5,3,5,NA,4,4,NA,2,3,4,NA,3,5,4,NA,4,5,2
"163","Rufus",1,"01/20/1981",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"164","Sabrina",0,"10/16/1978",4.5,3,4,3,3.5,2.5,2,3,3,5,3,2,5,4,3,3.5,3.5,3,4,2.5,4.5,3.5,3,5,4.5,4,4.5,3.5,5,4,3.5,4.5,2.5,4,3.5,4,3,4.5,2.5,4,3,4.5,3
"165","Sam",1,"5/19/1982",2,5,6,5,1,2,6,3,5,5,5,4,2,5,4,5,5,6,4,4,3,2,1,3,5,3,5,3,NA,4,3,NA,5,2,4,NA,5,2,3,NA,2,2,5
"166","Samantha",0,"8/28/1997",5,6,5,5,1,2,4,3,4,3,4,5,2,6,4,1,1,5,4,5,2,2,5,6,6,2,3,1,NA,4,5,NA,4,4,3,NA,5,1,5,NA,5,3,1
"167","Sara",0,"05/16/1979",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"168","Scott",1,"6/23/1987",1.5,3.5,3,5.5,1,1,5,2,5,1,5,5.5,1,5,5.5,2.5,3,5.5,4.5,5.5,2.5,3,6,1,2.5,2.5,4.5,5,1,4.5,5,6,4.5,6.5,2.5,2.5,5.5,1.5,1,2,1.5,6,5.5
"169","Sean",1,"3/16/1992",5,4,4,3,1,5,5,3,5,2,2,6,2,5,3,5,5,4,3,4,2,2,5,3,4,2,3,4,NA,4,4,NA,3,3,3,NA,4,1,3,NA,4,3,3
"170","Sellers",1,"12/18/1983",2,5,3,5,2,5,4.5,4.5,5,2.5,3.5,5,3,4,4,4,3.5,4,3.5,4,4,3,4.5,2.5,2.5,3,5.5,6,3,4,4.5,5,5,4,3,2.5,4.5,4,2.5,3.5,2,4.5,4
"171","Sheena",0,"1/20/1989",2,5,1,4,2,6,6,6,5,3,4,5,2,5,3,6,5,5,3,4,5,5,6,2,2,3,5,5,NA,4,5,NA,5,5,4,NA,3,3,3,NA,4,5,6
"172","Sheila",0,"3/19/1972",3,5,3,3,1,5,5,5,4,1,3,4,5,5,3,5,5,4,4,2,6,1,4,1,1,3,6,6,NA,5,3,NA,4,4,1,NA,2,3,1,NA,4,6,6
"173","Shirley",0,"01/11/1985",3,6,3.5,3,4.5,6.5,4.5,3.5,3.5,3,3,3,3,5,2.5,5.5,6,6,2.5,2.5,6.5,4,4,2.5,3.5,6,3.5,4,4.5,5,5.5,5,5.5,2.5,2.5,3.5,2.5,3.5,4,1.5,3,5.5,5
"174","Socrates",1,"1/23/1987",1,7,1,5,1,3,1,6,6,1,5,5,2,5,4,6,6,7,6,6,4,6,6,1,1,3,5,7,NA,6,7,NA,4,7,1,NA,4,1,1,NA,1,7,7
"175","Sonia",0,"11/01/1959",2.5,3.5,5,6.5,1,4,1.5,1,6.5,2,5.5,3,3,1,5,3.5,1.5,2.5,6.5,6.5,2,1,5.5,3,2,1,6.5,6,3,5,2.5,5.5,6,3,3,1,7,5.5,1,5,2.5,4.5,5
"176","Sparkle",0,"01/01/1955",6,6,4,2,3,5,6,6,2,3,3,1,3,3,5,3,3,4,3,4,6,5,5,5,6,6,3,6,NA,5,6,NA,4,6,5,NA,3,5,2,NA,4,6,4
"177","Steward",1,"09/08/1993",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"178","Storer",1,"11/19/1991",1,6,5,6,2,2,1,2,5,4,5,6,2,2,4,2,1,5,6,6,3,2,5,3,4,2,6,4,NA,5,2,NA,5,4,1,NA,6,4,2,NA,5,6,4
"179","Suwanee",0,"2/17/1985",4.5,3.5,5,5,1.5,4,4.5,2,4.5,5,4.5,4,3.5,4,4.5,2,2,4,5,4.5,3,2.5,4,6,5,3,4.5,3.5,3.5,5,2.5,4.5,3,3,3.5,2.5,5,3.5,3.5,3.5,3.5,4,2
"180","Suzanna",0,"2/25/1976",3.5,5,4,2.5,2.5,4.5,5,6,2.5,2.5,2,4,3.5,6,4,4.5,4,4.5,2.5,3,6,6,4.5,2,2.5,5,3,5,2.5,2.5,4.5,4.5,2.5,4,2,5,2.5,2,4,2,3.5,5.5,4.5
"181","Sylvia",0,"7/19/1993",5.5,5,3.5,3.5,1,4.5,4,3,4,2.5,3.5,6,3,6,4,3.5,3,4,4.5,3.5,6,6,5.5,4,3,1.5,4,5,2.5,5,6,5,3.5,5.5,2,3.5,4.5,1.5,3.5,2.5,4.5,5,4
"182","Tai",0,"01/01/1967",3,3,3,4,1,4,2,1,3,3,3,2,5,3,4,2,2,2,5,4,5,3,4,3,4,2,6,2,NA,5,2,NA,3,4,2,NA,3,5,3,NA,1,4,2
"183","Tank",1,"2/18/1986",2,6,2,2,4,3,5,6,4,2,2,5,4,5,4,6,6,6,2,3,5,5,4,3,4,5,5,5,NA,3,6,NA,4,4,5,NA,3,2,4,NA,4,5,5
"184","Tara",0,"09/05/1995",3,4,4,6,1,4,2,1,6,1,5,6,1,6,4,1,2,2,6,7,2,2,7,5,3,1,4,6,NA,4,1,NA,4,4,2,NA,6,1,1,NA,4,5,2
"185","Travis",1,"08/02/1989",4,5,2,2,1,5,5,6,4,1,1,4,1,5,2,6,4,5,1,3,2,2,4,2,2,3,5,6,NA,3,1,NA,2,3,1,NA,3,4,2,NA,4,5,5
"186","Virginia",0,"04/18/1991",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"187","Vivienne",0,"7/27/1974",4,3.5,5.5,3.5,3.5,3.5,3.5,3.5,2.5,4.5,2.5,2,6,2.5,2.5,3.5,2.5,2.5,3.5,2.5,3.5,3,4.5,6.5,4,4.5,5,4.5,5.5,3.5,3,4.5,3,2.5,2.5,2.5,2.5,5.5,3.5,4,2.5,4.5,1.5
"188","Waga",0,"3/19/1982",2,2,5,3,1,3,2,2,3,5,3,3,3,3,3,3,2,2,3,3,3,2,4,5,3,1,5,3,NA,4,2,NA,2,3,4,NA,3,5,4,NA,2,4,2
"189","Walnut",1,"01/01/1965",2,4,5,5,5,2,3,2,6,2,5,5,2,3,3,2,3,5,5,5,2,2,5,2,2,2,5,5,NA,4,3,NA,5,3,2,NA,6,4,3,NA,4,5,7
"190","Wenka",0,"5/21/1954",5,2,5,2,6,1,2,2,3,5,4,2,6,2,2,1,1,4,4,3,5,5,4,6,6,4,5,4,NA,3,4,NA,4,3,5,NA,4,4,6,NA,4,5,2
"191","Wilma",0,"10/27/1988",2,4,4.5,5,1,3.5,4,2.5,5,2.5,3,4,3,4.5,4,3,1.5,5,5,4.5,3,2.5,3,4,3,2,6.5,5,2.5,4.5,3.5,4.5,4.5,4,4,NA,4,4,4,5.5,4,5.5,4.5
"192","Wilson",1,"03/09/1994",5,4.5,5,3,4,4.5,5,5.5,6,4.5,4.5,6,2.5,6,5,4,3.5,4,4.5,6,5,4,4.5,4,5,3,4.5,3,2,5.5,3.5,2.5,5.5,4,4,3.5,6,3,3,2.5,5,3,4
"193","Winston",1,"01/12/1987",2,5.5,2.5,3,2,2.5,4.5,4.5,3.5,1.5,2.5,3.5,4,4.5,4,4.5,5,4,2.5,3,5.5,5,4.5,1.5,2,5,4,5,3,3.5,4.5,4.5,3,4,3,4.5,3.5,3,3.5,2.5,3.5,4.5,5
"194","Woodruff",1,"7/22/1975",3.5,5.5,5,5,2.5,3.5,3.5,2,4,4,4.5,2.5,3.5,2,4,1,1.5,2,5,3.5,2.5,3,4,6,3.5,2,5,4,4,3.5,2,3,3.5,3.5,4,2.5,4.5,6,4,4,3,5,2
"195","Zana",0,"06/18/1990",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
