chimp,openness,aggreeableness,methodical,reactivityscale,dominance,extroversion,meanactive,meanaffectionatefriendly,meanaffiliative,meanaggressive,meananxious,meanautistic,meanbold,meanbullying,meancalm,meancautious,meanconsideratekind,meandeceptive,meandefiant,meandependent,meandepressed,meandominant,meaneccentric,meanexcitable,meanfearful,meanhumanoriented,meanimpulsive,meaninquisitivecurious,meanintelligent,meaninventive,meanirritable,meanJealousattentionseeking,meanmanipulative,meanmethodical,meanmischevious,meanpersistent,meanplayful,meanpredictable,meanprotective,meanrelaxed,meanselfcaring,meansexual,meansociallyinept,meansolitary,meanstingy,meantemperamentalmoody,meantimid
Lacey     ,4,4.17,4.58,3.63,2.44,3.86,3.67,4.17,4.17,3.83,5,2.83,3.5,4.33,4.83,5.17,3.33,3.67,3.83,4.33,4.5,3.5,4.17,3.33,4.5,3.67,3.67,4.33,4,4,4.17,3.17,4.17,4.17,3.67,3.83,3.17,4.67,5,4.17,5,4.83,4,4.17,3.83,3.33,4.67
Lexus     ,4.56,4.06,4.5,4.46,2.37,5.3,5.78,4.8,5.38,4.44,4.78,3.5,4.22,3.78,3.67,4.88,4.11,4.22,4.44,4.75,3.13,2.89,3.63,5.33,4.33,4,4.78,4.56,4.44,5,4.67,5.11,5.22,3.88,5.44,4.56,5.11,4.67,4,3.22,5.13,5.75,3.75,3.11,4.56,4.44,4.67
Lulu      ,4.67,4.65,4.85,3.69,2.74,4.88,4.6,5,5.1,3.8,4.7,3.1,3.6,3.11,4.5,4.5,4.7,3,3.9,4.3,3.4,4.1,4,4.2,4,4.8,4,4.6,4.6,4.7,3.8,4.1,3.3,4.6,3.7,4.3,4.8,4.44,4.6,3.8,5.1,5.2,3,3,4.5,3.9,4.1
Lyle      ,4.94,4.76,4.83,3.87,3.01,5,5.44,4.89,5,4.33,3.89,3.44,3.78,3.56,4,3.89,4.67,3.44,4,4,2.78,3.44,3.56,4.22,3.78,5.11,4.56,5,5.22,4.78,3.56,4.22,3.67,4.56,4.56,4.63,5.22,4.11,4.86,4.11,5.11,4.44,3.44,3.33,4,3.33,3.67
Mae       ,4.47,4.7,4.6,4.36,3.51,4.12,3.8,4.44,4.5,4.8,3.9,2.8,4.8,4.3,3.8,3.7,4.1,4.89,4.6,3.7,3.3,5.3,3.8,4.6,2.9,4,4.1,4,5.3,4,4.5,4.9,5,4.7,4.6,5.1,3.5,4.3,5.3,3.2,4.5,3.6,3.2,3.4,5.4,4.4,3
Magic     ,5.06,5,5.17,4.1,3.08,5.83,6.33,6.33,5,5,4.67,3,4.67,3.67,3.67,4,5.33,3.67,4.33,4.67,1.67,4.33,2.67,6,3.33,4.67,3.33,4.67,5,5,3.33,5.67,4.67,4.67,4.33,4.67,5.67,5,4.67,3.33,5.67,5.67,2.67,2,4.67,4,3
Mahi      ,4.33,4.87,3.9,4.45,3.74,4.12,3.2,4.5,4.2,3,2.8,4.25,5.4,5.4,3.2,3.4,5.4,4.2,3.6,3,4,4.25,4.4,3.2,3.5,4.6,5,4.75,4,4.5,5.4,6.25,5.25,3.8,4.6,3.6,4,4.4,4.33,3.75,4,4.5,3.8,3.2,4.2,3.4,2.8
Mahsho,4.67,4.5,4.33,3.67,3.02,5.28,5.33,5.17,5,4,4.17,3.33,4.5,3.5,4,4.5,5.17,3.33,3.83,4.33,2,4.17,3.17,5.17,3.83,5,3.83,4.67,4.83,4.17,3.33,4.17,3.5,3.67,3.67,4.17,4.67,4.83,3.83,3.5,5,5.2,3.17,2.5,3.33,3.17,3.17
MANDY     ,4.77,4.13,4.94,3.66,2.62,4.98,5.38,5.13,5.13,3.63,4.88,2.88,3.75,3.38,4.13,4.25,4.25,4.25,4.25,4.5,2.38,3.75,3.13,4.38,4.75,4.75,3.5,4.63,5.25,4.25,3.13,4.63,3.88,4.38,3.88,4.63,4.5,4.75,4,3.63,5.5,4.13,3,2.88,3.25,3.75,3.75
Marcus,4.72,4.6,4.7,3.6,4.09,5.02,5.2,4.6,5.2,4.8,2.8,2.4,5.6,4.1,4.8,3.8,4.7,3.1,3.8,3,2.6,6.1,3.1,3.9,2.8,4.3,3.8,4.5,5.5,4.4,3.7,3.8,4.7,4.5,3.5,5,4.6,4.3,4.5,4.1,4.9,5.1,2.5,3.4,3.8,3.5,2.7
MARTHA    ,4.26,4.29,4.46,3.94,3.4,3.91,2.85,4.62,4.69,3.69,3.31,3.54,4.69,3.92,4.62,4.23,4.15,4.08,4,3.85,3,4.15,3.69,3.54,3.31,4.31,3.85,4.23,4.15,3.92,4.62,4.38,3.92,4.31,3.54,4.31,3.62,4.77,4.42,4.75,4.62,3.31,2.92,4,4.62,4.69,3.69
Martin,4.62,4.3,4.55,4.14,3.39,4.92,4.91,5,5.18,4.64,4.18,3,5.4,4.9,4.1,4,4.3,4.27,4.36,3.91,2.82,4.64,3.64,5.09,3.82,4.73,4.27,4.3,4.6,4.2,4,4.55,4.18,4.1,4.36,4.91,4.64,4.91,4.3,4.09,5,5,3.27,3.36,4.27,3.73,3.09
MARY      ,4.57,4.99,4.57,4,3.67,4.42,3.58,5.08,4.73,4.18,3,2.5,4.9,5,4.2,3.91,4.1,4,3.55,3.91,2.82,5,3.45,4.36,3.27,4.64,3.82,4.55,4.4,4,4.1,4.75,4.91,4.55,3.45,4.73,3.73,4.82,5.89,4.83,4.6,4.73,3,3.45,5.55,4,3.27
MAXI      ,5.7,4.94,5.15,4.1,3.54,4.88,5.1,5.7,5.2,3.1,3.8,3.4,5.3,3.7,5.4,4.3,5.1,3.8,4,4.5,3.2,5,4.7,5.2,3.9,5.6,4.5,6.1,5.7,5.2,3.6,5.5,4.7,5.1,4.8,5.9,5,5.3,4.78,5.1,5.2,4.7,2.9,3.5,5.1,3.56,2.56
MAYNARD   ,4.83,4.44,4,2.83,3.4,4.5,4.33,5.56,4.78,2.89,2.89,2.33,3.78,2.67,4.78,4.11,4.78,2.33,2.56,3.89,3.11,3.33,2.56,4.11,3.33,4.89,3.11,4.67,4.89,4.33,2.44,3.33,2.78,3.78,3,4.67,4.67,4.67,4.11,5.33,4.22,3.89,2.11,3.56,3.33,2.22,3
MISTY     ,4.79,5,4.78,4.09,3.16,4.79,4.25,5.25,4.88,4.13,4.13,2.5,4.5,4.25,4.25,4.25,5,4.38,3.75,5.13,3,4.88,3.88,4,4.13,4.5,4.25,4.75,4.75,4.88,3.63,4.88,5.13,4.43,4.88,4.63,4.5,4.88,5,4.63,5.13,5.25,3.38,3.13,5.25,4.25,3.13
Michon,4.29,4.43,4.63,3.85,3.45,4.38,3.71,4.71,4.57,4.71,3.57,2.86,4.71,5,5.14,3.86,3.71,4,4.14,5.14,2.43,5.86,3.29,3.57,3.57,3.67,3.33,4.5,4,4.33,3.33,4.33,4.5,3.83,3.83,4.5,3.17,5,5.14,4.86,5.43,4.29,2.43,3,5.29,3.71,3.71
MONIQUE   ,4.55,4.5,4.45,3.87,2.8,4.95,4.9,4.6,4.9,4,4.5,2.7,4,4.7,4.2,4.8,4.4,4.2,3.5,4.6,2.4,4.1,3.2,4.2,4.1,4.4,3.8,4.6,4.9,4.4,3.9,4.33,4.3,3.9,4.4,4.4,4.5,4.2,4.6,3.9,5,5,3,3.2,4.6,3.6,3.6
MOOSE     ,4.15,4,3.95,3.29,4,3.73,2.8,4.8,3.9,4.1,2.8,2.2,4.4,3.8,4.6,3.3,4,3.4,2.6,3.4,3.4,5.1,2.9,4,2.6,3.5,3.2,3.9,4.6,3.9,3.5,3.6,4.1,4.1,2.3,4.2,3,4.2,4,5.2,3.8,3.9,2.5,3.8,4.8,2.6,2.6
Muffin,4.48,4.75,4.68,3.58,3.02,4.7,4.45,5.09,4.55,3.73,4.18,2.82,3.91,3.5,4.45,4.64,4.27,3.45,3.73,3.91,2.45,3.82,3.18,3.73,3.73,4,3.91,4.82,4.73,4,3.64,4.45,3.73,4.18,3.82,4.27,3.64,4.45,5.22,4.55,5.18,5.1,2.64,3.09,3.91,3.36,3.64
NAHAGIO   ,5.08,3.19,5.19,4.45,3.91,4.88,5.63,4.63,4.88,4.38,4.13,3.13,5.75,5.63,3.75,2.75,2.63,4,4.75,4,2.5,5.38,4.13,4.63,2.63,5.13,5,5.38,4.88,5,3.5,5.25,4.75,5,4.5,5.5,4,4.38,3.75,4.13,5.38,4.88,3.88,3.63,5.5,4.63,2.5
Nahja,5.5,3.11,4.93,4.98,3.96,4.66,5.43,4.14,4.43,5.29,3.29,3.29,6,5.14,3.29,2.71,2.71,4.86,5.29,3.29,2.57,5.57,4.57,5.43,3.14,6,5.29,6.14,6.14,5.14,4.43,6,5.57,4.86,5.86,5.43,4.71,4.57,3.5,3.43,5,3.83,4.71,3.86,5.29,5.43,2.86
Nahko,3.79,4,4.25,3.67,2.72,4.82,4.75,3,3.75,4.75,4,2.5,3.25,3.5,4,4.5,4,3.75,2.75,5.5,2.75,3.25,3.25,4,3.25,4.75,4.25,3.5,4.25,3,4.75,4.25,3,3.75,3.75,4.25,4,4.25,4,4.25,4.75,5.67,3,2.5,3.25,4.5,3.75
NICK      ,5.14,4.68,4.91,4.21,3.68,5.33,5.82,4.91,5.36,5.36,4.64,2.82,6.09,4.73,3.45,3.18,4.27,3.6,3.91,4.18,2.09,5.73,2.91,5.82,3.55,5.45,4,5,5.45,4.73,4.27,5,4.73,4.64,4.09,5.27,4.55,4.64,5.09,3.64,5.18,5.36,3.27,3,4.64,4.09,2.45
Nina,4.35,4.02,4.59,3.04,2.55,3.97,3.73,3.91,4.09,2.73,4.64,2.82,3.09,2.45,4.73,5.09,4.36,3.18,2.64,4.27,3.36,2.91,2.91,3.64,3.73,4.64,3.18,4.36,5.27,3.55,3.18,3,3.18,4.18,3.36,4.36,3.55,4.55,3.67,4.36,5,4.27,2.91,4.45,3.18,3.09,4.27
Nowi,5.68,4.45,5.28,2.96,4.24,5.2,5.11,6,5.33,2.33,2.89,1.89,5.11,3,5.22,3.22,4.78,2.67,2.89,3.33,2,5.44,3.11,3.78,2.11,6.75,3.11,5.44,5.67,5.33,1.89,4.67,4,5.11,2.56,4.89,5.56,5.33,4.13,5.44,5.44,4.63,2.44,3.44,4,2.78,2.56
OREO      ,4.91,5.32,4.5,3.91,2.72,4.65,3.36,5.45,5.18,3.4,4.27,3.6,3.45,3.91,4.9,5.09,5.09,3.7,4.2,4.82,3,4,3.7,5.09,4,5.82,3.55,4.82,4.9,4.18,3.18,4.55,4.45,3.91,4.55,4.3,4.73,5,5.56,4.36,5.09,4.82,3.27,3.2,4.64,3.36,3.9
Oscar,5.1,4.06,4.56,4.39,3.89,5.19,5.75,4.75,4.88,5.25,3.63,3.13,5.63,5.13,3.63,3.38,3.63,3.38,4.63,3.5,2.5,5.25,4,5.75,3.13,5.63,4.63,5.63,5.25,4.13,4.5,5.25,4.13,4.38,4.75,5.25,5.13,4,4.5,3.86,4.75,4.75,3.63,2.88,4.25,4,2
Pacer,4.29,4.19,4.59,3.95,3.91,4.13,3.43,4.21,4.5,4.57,3.36,2.77,5.15,4.85,4.54,3.86,4.23,3.5,3.93,3.38,3.08,5.57,3.14,4.29,2.71,4.29,3.93,4,4.77,3.67,4.5,3.93,4.71,4.71,3.14,4.79,3.64,4.86,4.15,4.36,4.46,4.21,3.07,3.93,5.07,4.71,2.5
PATTI     ,5.07,5.15,4.93,3.66,3.77,4.95,4.71,5.29,5,3.71,2.29,4,4.29,3.86,5,3.86,5.14,3,3.14,3.57,2.71,4.71,3.86,4,2.71,5,3.57,5.57,5.43,4.43,3.14,4.71,4,4.86,2.86,4.71,4.57,5.29,5.17,4.6,5,5,2.71,2.86,3.86,3.86,3
Pecos,4.28,4.52,4.51,3.9,3.05,4.48,4.07,4.92,4.93,4,4.54,3.5,4.46,3.92,4,4.5,4.54,3.54,3.62,4.23,3.69,5,3.85,4,4.71,3.79,4,4.15,4.25,3.83,3.92,4.21,4.15,4.33,3.93,4.75,4.46,4.31,4.5,4.14,4.69,4.85,3,3.71,4.67,3.57,3.21
Pepper,5.37,4.67,4.86,3.14,2.78,4.1,3.5,5.08,4.75,2.45,3.75,2.27,3.73,2.73,4.36,4.5,5,3.45,3.2,4.27,3.5,2.55,3.64,3.64,4.18,5.67,3.08,5.09,5.73,5.55,3.27,3.5,3.5,4.91,2.92,5.09,3.45,5.08,4.33,4.27,4.82,4,3,3.58,3.17,3.58,3.6
PERRY     ,4.15,4.11,4.06,3.94,2.78,4.37,4.44,4.33,3.67,3.22,3.56,4.56,3.22,5.44,4.11,5,3.33,2.33,3.78,3.56,3.89,3.44,3.33,4.22,5,3.44,4.44,4.78,4.56,3,4,4.22,4.33,3.33,4.11,4.78,5,4.22,4.89,4.44,4.78,4.44,2.78,3.44,3.33,3.22,3.78
PIERRE    ,3.87,4.56,4.96,2.9,3.94,4.31,3,4.44,4.33,2.89,2.56,2.5,3.88,3,4.88,3.56,4.38,2.78,2.56,3.44,2.56,4.78,2.78,3.78,2.33,3.89,2.44,3.38,4.63,3,2.88,3.11,3.22,4.67,2.44,3.89,4,4.56,4.75,5.22,5.25,4.78,2,3.67,3.56,2.78,2.44
PIMACH    ,4.47,4.03,4.3,4.91,3.7,4.27,4.6,3.8,4.8,5.8,4.2,4.4,5.4,5.6,2.8,3.4,3.8,5.2,4.6,3.2,4,5.4,4.8,3.8,2.8,5.4,4,4.8,3.6,4.6,4.4,5.6,4.2,5,5.2,4.6,3.6,4,4.25,3.4,3.6,4,3.4,3.4,6.2,5.2,3
PIPLIN    ,4.52,4.3,4.7,3.49,2.25,4.8,5.2,4.6,5,3.2,4.8,3.8,2.8,3.2,3.8,5.2,4.2,3.6,3.2,4.4,3.2,3.6,2.6,3.2,5,4.8,3.6,4.2,4.8,4.5,3,4.4,3,4.6,3.6,4.2,4,4.8,4.4,3.8,4.8,4.8,3.6,3,3.6,3.8,4.8
POLLY     ,4.03,4.64,4.77,3.79,2.77,4.21,3.18,4.27,4.73,3.82,3.64,3.18,3.55,3.45,4,4.82,4.55,3.64,3.27,5.18,3.18,4.09,3.36,4.45,3.55,4.09,3.55,3.45,4,3.82,4.64,4.27,3.82,4.45,3.45,4.55,3.64,4.64,4.73,3.6,5.09,4,2.91,3.09,4.27,4.27,3.91
PRISSY    ,3.81,3.75,4.58,3.05,2.79,3.03,2.5,3.67,3.5,2.83,3.33,3.5,3.17,2.33,4.17,4.67,3.83,2.67,2.5,2.67,3.67,2.33,3,3.83,4.67,3.83,2.5,4,4.5,2.67,3.83,3,2.83,4.33,2.17,4.17,2.33,4.67,3.67,4.67,4.83,2.67,2.67,5.17,3.5,3,4.5
Punch,4.61,4.5,4.65,3.8,3.67,4.95,5.15,4.77,4.77,4.62,3.62,2.92,4.58,4.5,4.33,3.77,4.17,3.46,3.77,4.15,2.69,5.77,3,4.85,3,4.77,3.54,4.25,5.17,4,3.75,4.38,4,4.46,3.69,4.69,4.69,4.69,4.83,4.46,4.83,4.69,2.85,2.92,4,3.77,2.92
QUINCY    ,4.39,4.92,4.25,3.27,2.52,4.22,3.5,5.33,4.83,3.17,3.83,3.17,3,2.33,4.17,5.5,4.83,2.8,3,5,3.33,3.83,3.67,3.67,4.67,4,3.83,5.17,4.33,3.67,3.17,2.83,3,3.17,3.83,3.83,3.5,5.17,5,4,5.33,3.5,2.5,2.67,3.33,3.5,3.67
Radar,4.46,4.34,5.07,4.62,3.88,5.06,4.88,4.25,4.75,5.75,3.38,2.86,5.14,5.57,3.43,4,4.43,4.14,4.71,3.86,2.43,5.86,4.14,5.25,3,4.38,4.29,4.29,4.75,4.13,4.38,4.71,5.29,5,4.57,5,4.57,4.38,4.25,5,5.14,5.86,3.38,3.25,5.86,5,2.71
Reno      ,4.5,4.5,4.25,4.22,3.37,4.75,6,5,5,5,4,3.5,5,5.5,3.5,3,4,5,3.5,4.5,2,5,2.5,5,3,3,5,4.5,6.5,3.5,4,4.5,4,3.5,4.5,4.5,3.5,6.5,5,4,5,3.5,4,3.5,4,3.5,4.5
REEUH     ,4.14,3.38,4,3.41,3.1,4.76,5.17,4.33,4.17,4.83,3.33,2.67,4.33,2.67,4.33,4.33,3.17,3.17,3.33,3.83,2,3.33,3,4.17,3.17,3.67,3.33,4.5,4.33,3.5,4.17,3.5,2.5,3,3.5,4.5,3.83,4.17,3.6,4,5,4.2,2.33,2.83,4,3.33,4.17
RHODA     ,4.58,4.58,4.66,3.64,3.15,4.14,3.29,5,4.93,2.86,3.36,3,4.23,3.54,4.07,4.38,4.69,3.46,3.43,4.14,3.54,4.43,3.71,3.93,3.64,4.71,3.38,4.5,4.71,4.21,4.07,4.43,4,4.46,3.43,4.31,3.64,4.57,4.46,3.67,4.86,3.54,2.69,3,4.07,3.93,3.57
ROSIE     ,3.9,3.88,4.13,3.41,2.56,3.04,2.88,3.75,3.25,3.25,3.5,4.25,3,3,4.75,4.63,4,3.25,3.38,4.5,4.5,2.5,3.25,4.25,4.88,4.75,3.5,3.88,3.38,3.75,3.5,3.5,2.38,3.75,2.38,3.88,2.63,4.63,3.75,5.25,4.5,3.38,3.25,5.38,3.13,4,4.75
RUSTY     ,4.57,4.89,5.22,4.12,3.45,5,5,4.89,5,5.11,3.89,2.56,5.33,4.67,3.78,3.56,4.78,4.29,3.67,4.78,2.22,4.33,3.44,4.67,3.44,4.67,4.56,4.78,4.44,4.44,3.56,5.22,4.22,4.67,4.11,4.22,4.56,5.11,5,4.25,5.78,5.11,3.33,3.44,5.44,3.67,2.67
Samson    ,5.04,4.88,5,4.08,3.81,5.13,6,5.5,4.75,3.5,4,4,5.5,4,3.5,2.75,4.25,4,2.75,3.5,4,5.25,3.5,4.5,4,5.25,4.5,5,5.75,4.5,3.5,3.75,5.5,4.75,4.25,4.25,5,4.5,5.5,4.75,5.25,5,1.75,2,5.25,3.75,2.75
SANDY     ,4.6,4.33,4.72,3.18,2.82,4,4.3,4.8,4.9,3.1,4,3.1,3.3,2.8,5.3,4.11,4.56,3,3.11,4.89,3.44,3.56,3.67,3.67,4.22,5,3.22,4.56,5,3.89,2.89,3.33,3.11,4.56,3.22,4.33,3.11,4.44,4.11,4.78,4.89,3.67,3.22,4.56,3.78,3,3.89
SHAHEE    ,4.06,4.25,4.5,4.09,3.29,4.42,4.17,3.5,3.83,4.67,3.67,3,4.5,4.33,4,4,4.33,4.67,4.5,4,3.33,4.83,3.33,4.33,3.33,3.83,3.67,4.17,4.5,4,4.33,4.33,4.33,4.5,4.33,4.33,4.33,4.17,4.17,3,4.5,4.33,2.67,2.83,4.5,4.17,3
SHAKAL    ,4.26,3.86,4.36,3.93,2.8,4.6,4.86,4.29,4.29,4.29,4,3.14,3.57,4.14,3.57,4.43,3.86,3.5,3.29,4.29,2.43,3.71,3,4.57,4,3.57,4.29,4.43,4.71,4,3.57,4.86,4.57,3.86,3.71,4.57,3.86,4,3.86,3.83,4.86,4.14,2.71,3.14,4.43,4,4
SHOHSHON  ,4.15,4.64,4,3.11,3.12,4.29,4.38,5.25,4.5,2.88,4.13,4.29,4.29,3.14,4.14,3.57,4.86,2.14,3,4.25,3.63,3.38,4.25,3.13,3.38,3.5,2.88,3.63,5.25,4,2.75,2.5,2.5,3.5,2.25,3.25,3.5,4,4.43,4.38,4.5,4.71,2.5,3.75,2.5,3.5,3.75
SIMBA     ,4.94,2.52,4,4.96,4.24,5.09,5.44,3.89,4.33,5.44,2.89,3.89,5.44,6.11,2.67,2.78,2.67,3.67,4.44,2.78,2.22,6.22,5.33,5.33,2.44,6.56,4.67,5.33,5,3.89,4.11,5.78,5.11,3.78,5.22,5,4.22,4.22,2.38,3.25,4.22,6,4.78,3.25,5.67,5.33,2.11
SIMON     ,4.29,3.46,4.35,3.76,4.18,4.71,4.88,4,3.88,4.25,3.25,2.25,5,5,3.5,2.57,3.5,2.75,3.38,2.63,2.38,5.5,3.25,5.25,2.75,4.13,3.63,4.5,5,4,3.13,4.25,4,4.13,3.88,4.13,4.88,4.63,3.43,4.63,4.57,4.75,3.13,3.75,5.14,3.25,2.5
Sindee,5.31,4.27,4.65,3.82,2.9,5.35,5.86,5.43,5.43,3.5,4.21,2.46,4.62,3.85,4,4.57,4.46,4.15,4.08,4.5,2.71,3.21,2.93,4.36,3.64,5.62,4.46,5.42,5.25,5.25,3.42,5.15,4.38,4.31,5.23,4.92,5.77,4.92,4.08,3.92,5,5,2.92,3.23,3.69,3,3.62
SKEETER   ,4.24,3.73,4.17,3,2.51,4.4,3.9,4.8,5,3,4,2.6,2.9,3.2,4.4,5,4.2,2.78,2.7,4.9,2.7,2.7,3.1,4.2,4,4.33,3.11,4.56,4.33,3.44,2.67,3.56,2.33,3.67,3,4,3.89,4.56,3.25,4.5,4.67,4,2.56,3.67,3.11,2.44,4.11
Sophie2,4.47,5.05,4.68,3.66,3.16,4.89,4.91,4.27,5.09,3.82,3.82,2.91,4.45,4.18,4.73,4.27,4.91,4.18,3.45,4.64,2.91,4.36,3.18,3.73,3.64,4.09,4.18,4.82,4.55,4.55,3.27,3.91,4.09,4.18,3.55,4.55,4.27,3.91,5.18,4.09,5.18,5,3.09,3,4,3.91,3.27
Staun,4.88,4.86,4.43,2.85,3.57,4.74,4,5.29,4.71,3.43,3,2.29,4,1.86,4.86,3.86,5,2,2.71,4.14,2.43,4,3.29,3.29,3.14,5.57,3,4.43,5,4,2.43,4,2.71,3.86,3,5,4.43,4.57,4.71,5,5,4.29,2.71,2.57,3,3.14,2.29
SUHNA     ,4.33,3.38,4.25,3.33,3.47,3.69,3,4.5,4.5,3.75,3,3.5,4.25,3.5,5,4.5,3.75,3.5,3.5,3.75,3.25,4.25,2.5,2.5,3,4,3.25,4.75,4.5,4,3.25,4,3.25,4,2.75,4.25,2.75,4.5,3,4.75,4.5,3.67,3,4.5,4,3.5,3.25
TABU      ,4.89,4.31,4.79,4.05,3.8,4.75,5.08,4.73,4.58,4.75,3.75,3.25,5.42,4.5,4.17,3.75,3.92,3.27,3.92,3.42,3.33,5.33,3.67,4.75,2.92,4.75,4.25,4.83,5.25,4.67,4,4.83,4.08,4.58,4.25,5.08,4.33,4.58,4.7,4,5,5,3.17,3.17,4.5,3.67,2.5
Taffy,4.42,3.16,3.79,4.33,2.15,5.42,6.21,3.86,4.93,4.21,4.93,3.38,4.62,3.67,2.92,5.29,3.25,4.15,4,5.21,2,2.57,3.93,4.64,5.29,4.57,5.15,5.08,4.77,4.15,3.85,5.21,4,3.25,5.57,4.08,5.79,4.57,3.08,2.86,4.33,4.17,3.93,2.57,4.43,4.57,4.14
TAMBLO    ,4.11,4.17,4.25,3.18,1.86,4.25,3.83,4.33,4,2.83,5,3.33,2,2.83,5.17,5.5,4.5,3,2.33,4.67,3.17,2.17,4.17,3.83,5,5,3.17,4.33,3.83,4.5,3,4.17,2.83,4.17,2.67,2.67,4.67,4.67,3.83,3.4,4.33,4,3.8,3.83,3.5,3,4.5
TANG      ,4.35,3.77,4.16,3.24,1.88,3.7,2.75,4.5,3.88,2.75,4.63,3.13,2.63,2.13,3.71,5.57,4.25,3,2,4.5,3.38,2.13,3.5,4.25,5.86,4.88,3.88,4.25,4.75,4.25,3.5,3,2.25,3.75,3.13,3.5,3.5,4.38,3.29,3.75,4.57,3.57,2.88,4.13,3.86,4.13,4.88
Tasha,4.29,3.86,3.93,3.7,2.21,4.5,5.29,4.29,4.14,3.86,4.71,2.71,3.29,3.29,3.71,4.71,3.71,2.71,3.86,5,2.86,3.14,3.57,5,4.29,3.71,3.71,4.29,5,3.71,4.29,4.14,3.14,3.71,3.86,4.71,4.14,4.29,4,2.83,4.14,4.17,3.29,3.86,3.86,4.14,4.86
Tina,4.26,4.64,4.42,3.59,2.59,4.73,4.55,4.73,5,3.64,4.36,3.09,3.55,3.64,4.55,4.73,4.55,3.36,3.18,4.36,2.91,3.64,3.55,3.91,4.45,3.64,4,4.36,4.45,3.82,3.82,3.55,3.55,4.2,3.91,4.55,4.27,4.73,4.73,3.55,4.64,5.09,3.27,3.64,4.36,3.27,4.09
TOHBI     ,4,3.83,4.33,3.79,2.69,3.72,3.33,5,4,3,3,4.33,3.67,3,4.33,5.67,3.67,3,4,4.67,4.67,3.33,5,2.67,5,2.67,4.33,4,4,4,3.67,4,4.33,3.33,2.67,4.33,3,3.33,4,4.5,5.33,4.67,3.33,4,4.67,4,3.67
Totoni,4.07,3.45,3.9,4.28,3.07,4.63,4.4,3.8,4.6,4.8,4,3.6,4.6,3.6,2.8,2.8,3.4,4.6,4.4,3.8,3,3.2,3.2,4.8,3.4,3.2,4,4.2,4.8,4.2,5,4,3,3.6,5,4.2,4.2,4.2,3.5,3,4.2,5,3,3.4,5.2,4.4,4.2
TULIK     ,4.17,4.43,4.2,3.38,2.57,4.3,3.6,4.4,5,2.6,4.6,3.75,3,2,3.5,5,4.25,2.5,3,4.8,3.2,3.6,2.8,4,3.8,4.6,2.4,4.8,3.8,3.6,4,4,3.6,3.4,3.4,3.8,3.2,4.8,4.6,3.8,5,4,2.75,2.8,4.2,3.6,3.6
URSULA    ,4.17,4.23,4.7,3.22,2.52,3.51,3,4.88,4.63,2.94,4.06,3.13,2.4,2.67,5,5.38,4.73,2.8,3.47,4.4,4.13,3.27,3.06,3.27,4.33,4.13,3.38,4.13,4.47,3.13,3.33,3.56,3.56,4.4,3.06,4.27,2.87,5.06,3.73,5.06,5,3.19,3.63,4.5,3.69,3.5,4.4
Xena,5.08,3.65,3.89,4.27,2.42,5.48,6.27,5.36,5.09,4,5.27,2.8,4.7,3.1,3.3,4.5,4,4.27,5.4,4.67,2.1,2.78,3.55,5.7,4.9,4.8,4.64,5.7,5,5.2,4.3,5.64,4.18,3.22,5.9,4.44,6.1,4.4,3.3,2.73,4.56,4.44,4.09,2.91,3.2,4.09,3.5
ZIPPY     ,4.41,4.38,4.47,4.11,2.76,4.09,4.31,4.44,4.19,4.13,4.56,3.75,3.88,3.63,4.13,4.44,4.25,3.56,3.88,4.63,4.06,3.31,4.56,5.06,3.88,4.44,4.13,4.25,4.44,4.13,4.69,5.13,3.75,4.25,3.63,4.75,4.06,4.5,4.5,4.13,4.69,4.06,3.69,4,4.06,4.25,3.75
ZOE       ,5.23,4,4.62,4.01,3.12,5.67,6.5,5.42,5.5,3,3.67,3.73,5.18,3.55,3.55,4.08,4.18,3.83,4.17,4.83,1.83,3.08,4.5,4.67,3.33,5.75,4.17,5.64,4.45,5.27,2.82,5,4.33,4.33,4.92,4.83,6.08,4.92,3.82,3.83,4.91,3.92,3.42,2.17,4.25,3.08,3.25
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
