location,ID,Folder,Image_name,Repeat measure?,Year taken,DOB,Age at photo,Sex,width,height,fHWR,Notes,A,B,C,D,E,F,G,lower.face,face.height,lffh
Edinburgh,Rene,Edinburgh New,Holland - Rene 2.JPG,N,2012,21/02/1993,19,1,N/A,N/A,N/A,,,,,,,,,125.7815567,638.2005954,0.197087808
Edinburgh,Rene,Vanessa photos 27.11.13 -Rene,2013-11-27 13.56.15,N,2013,21/02/1993,20,1,591,460,1.284782609,,"1167, 438","1104, 1209",,,,,,161.0124219,734.2492765,0.219288499
Edinburgh,Rene,Vanessa photos 27.11.13 -Rene,2013-11-27 13.57.01,N,2013,21/02/1993,20,1,562,385,1.45974026,,"1300, 632","1436, 1203","1231, 726","1425, 665","1119, 770","1539, 661","1416, 1110",95.12623192,586.9727421,0.162062435
Edinburgh,Rene,Vanessa photos 27.11.13 -Rene,2013-11-27 13.57.07,N,2013,21/02/1993,20,1,851,582,1.462199313,,"1359, 546","1554, 1386",,,,,,140.5204611,820.2560576,0.171312921
Edinburgh,Sophie,Edinburgh New,Sophie2010.jpg,N,2010,22/11/1981,29,0,103,48,2.145833333,,"297.3, 101.3","289.3, 205.3",,,,,,38.01315562,103.3924562,0.367658889
Edinburgh,Sophie,Edinburgh New,Holland - Sophie 1.JPG,N,2010,22/11/1981,29,0,492,267,1.842696629,,"1910, 532","2012, 1010",,,,,,131.7004176,488.488485,0.269608029
Edinburgh,Sophie,Vanessa photos 27.11.13 -Sophie,2013-11-27 14.32.43,N,2013,22/11/1981,32,0,615,419,1.46778043,,"1080, 648","1128, 1431",,,,,,198.3053202,723.9461306,0.273922757
Edinburgh,Sophie,Vanessa photos 27.11.13 -Sophie,2013-11-27 14.32.47,N,2013,22/11/1981,32,0,678,434,1.562211982,,"1080, 669","1086, 1437",,,,,,170.2380686,723.0248958,0.235452568
Edinburgh,Sophie,Vanessa photos 27.11.13 -Sophie,2013-11-27 14.37.34-1,N,2013,22/11/1981,32,0,802,488,1.643442623,,"1372, 418","1364, 1282","1212, 522","1548, 524","1026, 568","1686, 568","1376, 1048",234.3074903,864.0370362,0.271177601
Edinburgh,Sophie,Vanessa photos 27.11.13 -Sophie,2013-11-27 14.37.34-2,N,2013,22/11/1981,32,0,802,472,1.699152542,,"1353, 414","1347, 1317",,,,,,220.0363606,844.2369336,0.260633422
Edinburgh,Sophie,Vanessa photos 27.11.13 -Sophie,Sophie,N,2013,22/11/1981,32,0,N/A,N/A,N/A,,,,,,,,,113.7453296,455.0703242,0.249951103
Japan,Akira,Not online,akira20030324_1,N,2003,01/01/1980,23,1,170,126,1.349206349,,"530, 422","504, 652",,,,,,66.65133157,226.0169905,0.294895226
Japan,Akira,Not online,akira20030324_2,N,2003,01/01/1980,23,1,170,116,1.465517241,,"388, 416","396, 616",,,,,,51.03097099,189.7522595,0.268934721
Japan,Aruku,Online images,Aruku.20020618_1,N,2002,12/07/1989,13,1,83,57,1.456140351,,"323.3, 106","311.3, 201.3",,,,,,17.22904524,94.28997826,0.182724035
Japan,Aruku,Online images,Aruku.20020618_2,N,2002,12/07/1989,13,1,82,48,1.708333333,,"306.7, 98.7","295.3, 186",,,,,,28.77846417,90.03110574,0.319650236
Japan,Aruku,Online images,Aruku.20020618_3,N,2002,12/07/1989,13,1,84,45,1.866666667,,"301.3, 80.7","288, 166",,,,,,30.67898303,90.05775924,0.340658965
Japan,Aruku,Online images,Aruku.20020618_4,N,2002,12/07/1989,13,1,92,48,1.916666667,,"263.3, 100","262.7, 199.3",,,,,,34.29868802,98.22464049,0.34918619
Japan,Ayumu,Not online,Ayumu.20001211_26,N,2000,4/24/2000,0,1,N/A,N/A,N/A,,,,,,,,,54.80912333,209.9180793,0.261097679
Japan,Ayumu,Not online,Ayumu.20060611_ 019,N,2006,4/24/2000,6,1,237,153,1.549019608,,"596, 420","608, 692",,,,,,63.61131975,267.6319861,0.237682052
Japan,Ayumu,Not online,Ayumu.20080501_007,N,2008,4/24/2000,8,1,360,162,2.222222222,,"846, 398","834, 772",,,,,,121.7683046,363.7064751,0.334798286
Japan,Ayumu,Online images,Ayumu.20000723,N,2000,4/24/2000,0,1,N/A,N/A,N/A,,,,,,,,,15.56309738,58.23435412,0.26724942
Japan,Black,Online images,Black.20030205,N,2003,2/21/1971,32,1,141,81,1.740740741,,"245, 95","253, 265",,,,,,59.0041524,162.422443,0.363275858
Japan,Chiko,Online images,Chiko.20031029,N,2003,6/26/1989,14,0,223,116,1.922413793,,"280.5, 117","270, 366",,,,,,86.79222315,245.0888818,0.354125501
Japan,Chloe,Online images,Chloe20050407,N,2005,12/12/1980,25,0,123,72,1.708333333,,"298, 85","293, 214",,,,,,34.31457416,126.4070014,0.271461025
Japan,Cleo,Not online,Cleo.20050414,N,2005,6/19/2000,5,0,185,104,1.778846154,,"792, 237","804, 438",,,,,,57.39494751,187.246255,0.306521204
Japan,Cleo,Not online,Cleo.20060611???? 024,N,2006,6/19/2000,6,0,210,137,1.532846715,,"884, 398","776, 593","836, 407","907, 448","783, 389","936, 476","797, 552",46.06517123,222.9102959,0.206653403
Japan,Cleo,Not online,Cleo.20060611???? 036,N,2006,6/19/2000,6,0,245,145,1.689655172,,"796, 408","777, 653",,,,,,47.66812352,229.4215552,0.207775261
Japan,Cleo,Not online,Cleo.20060611???? 063,N,2006,6/19/2000,6,0,471,266,1.770676692,,"834, 224","854, 806",,,,,,183.6545126,542.8176305,0.33833557
Japan,Cleo,Not online,Cleo.20060611???? 072,N,2006,6/19/2000,6,0,444,298,1.489932886,,"718, 378","756, 914",,,,,,136.4990842,509.1738406,0.268079531
Japan,Cleo,Not online,Cleo.20060611???? 084,N,2006,6/19/2000,6,0,190,108,1.759259259,,"634, 725","639, 932",,,,,,59,190.0236827,0.310487615
Japan,Cleo,Online images,Cleo.20050409,N,2005,6/19/2000,5,0,78,34,2.294117647,,"247.3, 129.3","281.3, 201.3",,,,,,29.06888371,75.15317691,0.386795142
Japan,Cleo,Online images,Cleo.20060611,N,2006,6/19/2000,6,0,N/A,N/A,N/A,,,,,,,,,44.55333882,178.2273829,0.249980323
Japan,Conan,Online images,Conan_jp.20031022,N,2003,03/12/1997,6,1,162,100,1.62,No pers data,"354, 120","391, 301",,,,,,42.95346319,182.5842271,0.235252869
Japan,Cookie,Online images,Cookie.20111113,N,2011,02/12/1991,20,0,74,40,1.85,,"241, 227","229, 316",,,,,,31.78049716,92.65527508,0.34299717
Japan,Cookie,Online images,Cookie.20121229,N,2012,02/12/1991,21,0,155,112,1.383928571,,"314, 104","291, 286",,,,,,36.49657518,177.3696705,0.205765592
Japan,Daio,Online images,Daio.20011106,N,2001,5/17/1986,15,1,54,30,1.8,,"262.7, 304","260.7, 360",,,,,,16,54,0.296296296
Japan,Gon,Not online,Gon.19990812_17,N,1999,01/01/1966,33,1,436,259,1.683397683,,X,,,,,,,117.3413823,441.909493,0.265532613
Japan,Gon,Not online,Gon.19990812_23,N,1999,01/01/1966,33,1,N/A,N/A,N/A,,,,,,,,,118.4314148,398.5599077,0.297148339
Japan,Gon,Not online,Gon.20080501,N,2008,01/01/1966,42,1,230,154,1.493506494,,"844, 303","851, 560",,,,,,56.75385449,244.2048321,0.232402668
Japan,Gon,Not online,gon040609_6,N,2004,01/01/1966,38,1,N/A,N/A,N/A,,,,,,,,,85.72630868,250.2878343,0.342510889
Japan,Gon,Online images,Gon.20070620,N,2007,01/01/1966,41,1,88,40,2.2,,"312, 54.4","314, 138.4","296.4, 62","329.6, 61.2","280, 66.4","347.2, 66","314.4, 108.4",30.00266655,84.02380615,0.357073405
Japan,Hope,Online images,Hope.20030401_1,N,2003,06/04/1990,13,1,178,96,1.854166667,,"319, 139","313, 303",,,,,,44.10215414,160.1124605,0.275444859
Japan,Hope,Online images,Hope.20030401_2,N,2003,06/04/1990,13,1,107,60,1.783333333,,"241, 161","229, 269",,,,,,30.59411708,105.9292217,0.288816595
Japan,Ichigo,Online images,Ichigo.20030211_1,N,2003,01/01/1980,23,0,118,55,2.145454545,,"286, 89","289, 206",,,,,,38.05259518,116.1077086,0.327735304
Japan,Ichigo,Online images,Ichigo.20030211_2,N,2003,01/01/1980,23,0,137,57,2.403508772,,"263, 120","263, 244",,,,,,40.01249805,120.0166655,0.333391183
Japan,James,Online images,James20041102,N,2004, 05/09/1993,11,1,155,74,2.094594595,,"321.5, 58.5","335, 210","293, 80.5","352.5, 79.5","257, 89.5","383, 88.5","331.5, 163",47.13013898,152.1002959,0.309862244
Japan,Kanae,Online images,Kanae.20030129_1,N,2003,2/21/1979,24,0,133,68,1.955882353,,"275, 262","292, 390",,,,,,35.35533906,123.4058345,0.286496495
Japan,Kanae,Online images,Kanae.20030129_2,N,2003,2/21/1979,24,0,129,64,2.015625,,"293, 175","288, 318",,,,,,42.04759208,136.0918807,0.308964737
Japan,Kanao,Online images,Kanao.20041101,N,2004,6/13/1990,14,1,120,56,2.142857143,,"298, 88","306, 211",,,,,,41.19465985,123.259888,0.334209778
Japan,Kazuma,Online images,Kazuma.20030205_1,N,2003,7/21/1999,4,1,242,133,1.819548872,,"330, 136","421, 399",,,,,,66.73080248,267.8675046,0.249118692
Japan,Kazuma,Online images,Kazuma.20030205_2,N,2003,7/21/1999,4,1,75,44,1.704545455,,"325.3, 111.3","338.7, 209.3",,,,,,29.01723626,97.16480844,0.298639361
Japan,Kazumi,Online images,Kazumi.20030205,N,2003,12/19/1986,17,0,115,66,1.742424242,,"176, 68","177, 198",,,,,,37.01351105,124.0040322,0.298486351
Japan,Kazuya,Online images,Kazuya.20041028,N,2004,9/18/1987,17,1,239,128,1.8671875,,"232, 166","269, 396",,,,,,54.74486277,218.7989945,0.25020619
Japan,Koiko,Online images,Koiko.20031023,N,2003,2/21/1977,26,0,N/A,N/A,N/A,height ratio only,"289, 124","302, 259",,,,,"301, 224",38.01315562,132.4575404,0.286983704
Japan,Konatsu,Online images,Konatsu.20030702,N,2003,2/21/1977,26,0,305,157,1.942675159,,"227, 212.5","229, 487","170.5, 249","282, 249","115.5, 255","337, 257.5","226, 413.5",73.56119901,274.5072859,0.267975397
Japan,Kotaro,Online images,Kotaro.20030415,N,2003,5/15/1993,10,1,223,109,2.04587156,,"253.5, 76.5","249, 316.5",,,,,,84.00595217,238.1029189,0.352813618
Japan,Kotetsu,Online images,Kotetsu.20020619_1,N,2002,1/31/1990,12,1,53,29,1.827586207,,"253.3, 157.3","248.7, 215.3",,,,,,15,57.03507693,0.262996051
Japan,Kotetsu,Online images,Kotetsu.20020619_2,N,2002,1/31/1990,12,1,72,41,1.756097561,,"258, 167","253, 239",,,,,,16.03121954,70.17834424,0.22843542
Japan,Kotetsu,Online images,Kotetsu.20020619_3,N,2002,1/31/1990,12,1,64,31,2.064516129,,"273, 161","270, 222",,,,,,18,60.03332408,0.299833472
Japan,Kotetsu,Online images,Kotetsu.20020619_4,N,2002,1/31/1990,12,1,156,92,1.695652174,,"281, 151","263, 311",,,,,,33.24154028,153.6391877,0.216361078
Japan,Lennon,Online images,Lennon.20041006,N,2004,2/21/1970,34,1,117,42,2.785714286,,"273, 75","261, 173",,,,,,34.56356463,95.34956738,0.362493146
Japan,Lennon,Online images,Lennon.20111013,N,2011,2/21/1970,41,1,94,31,3.032258065,,"231, 220","212, 305",,,,,,39.09782603,36.89024261,1.059841933
Japan,Maruku,Online images,Maruku.20060521_1,N,2006,2/21/1980,26,1,168,100,1.68,,"204, 152","180, 330",,,,,,46.56715581,178.4551764,0.260945951
Japan,Maruku,Online images,Maruku.20060521_2,N,2006,2/21/1980,26,1,182,98,1.857142857,,"396, 145","373, 313",,,,,,39.062002,169.5092328,0.230441737
Japan,Miki,Online images,Miki.20030414,N,2003,2/21/1976,27,0,113,61,1.852459016,,"252, 80","240, 204",,,,,,43.00290688,124.52566,0.3453337
Japan,Mimi,Online images,Mimi.20051006,N,2005,01/01/1956,49,0,100,57,1.754385965,,"229, 80","216, 209",,,,,,41.3,125.5242606,0.329020062
Japan,Mimi,Not online,mimie20051006,N,2005,01/01/1956,49,0,159,96,1.65625,,"334, 670","355, 884",,,,,,80.23091673,209.0381066,0.383810005
Japan,Miro,Online images,Miro.20070927,N,2007,2/21/1973,34,0,59,31,1.903225806,,"380, 207","377, 265",,,,,,13.70912105,57.29511323,0.239272082
Japan,Misaki,Online images,Misaki.20060628,N,2006,1/14/1999,7,0,68,38,1.789473684,,"320, 139","313, 213",,,,,,19.28989373,70.75372782,0.272634309
Japan,Misaki,Online images,Misaki.20070113,N,2007,1/14/1999,8,0,247,140,1.764285714,,"265, 114","274, 398",,,,,,79.33788502,276.2191159,0.287228075
Japan,Mizuki,Online images,Mizuki.20050705_1,N,2005,12/16/1996,9,0,47,26,1.807692308,,X,,,,,,,17.5524927,52.11765536,0.336785924
Japan,Mizuki,Online images,Mizuki.20050705_2,N,2005,12/16/1996,9,0,52,24,2.166666667,,X,,,,,,,17.15400828,50.22917479,0.341514834
Japan,Mizuki,Online images,Mizuki.20070113,N,2007,12/16/1996,11,0,N/A,N/A,N/A,height ratio only,"276, 92","366, 380",,,,,"346, 285",93.06583691,286.7411725,0.324563913
Japan,Mizuo,Online images,Mizuo.20020619_1,N,2002,11/02/1989,13,1,59,28,2.107142857,,"400.7, 146.7","392, 205.3",,,,,,16.70359243,57.92754095,0.288353211
Japan,Mizuo,Online images,Mizuo.20020619_2,N,2002,11/02/1989,13,1,75,39,1.923076923,,"282, 169","285, 242",,,,,,20.90598001,72.70990304,0.287525896
Japan,Naoko,Not online,Naoko.JMC.2013-07-24 06.04.02,N,2013,9/15/1981,32,0,239,142,1.683098592,,"1144, 606","1130, 898",,,,,,97.28951639,286.5924807,0.339469885
Japan,Naoko,Not online,Naoko.JMC.040609_1,N,2004,9/15/1981,,0,132,85,1.552941176,,"628, 184","634, 354",,,,,,53.37349529,162.0025,0.329460936
Japan,Naoko,Not online,Naoko.JMC.040609_2,N,2004,9/15/1981,,0,134,79,1.696202532,,"654, 250","660, 422",,,,,,60.41895398,164.3372751,0.367652159
Japan,Naoya,Online images,Naoya.20090731,N,2009,01/01/1981,28,1,167,76,2.197368421,,"210, 121.5","255, 259.5",,,,,,40.67284106,144.2494021,0.281961939
Japan,Nicky,Online images,Nicky.20010227,N,2001,8/30/1988,13,1,42,20,2.1,,"304, 228.7","303.3, 268",,,,,,10.3754518,36.72955213,0.282482393
Japan,Niko,Online images,Niko.20031029,N,2003,2/21/1974,29,0,130,71,1.830985915,,"189, 75","186, 228",,,,,,52.03844733,147.3179555,0.353239
Japan,Nono,Online images,Nono20041213,N,2004,5/25/1992,12,0,158,90,1.755555556,,"381, 105","343.5, 273",,,,,,36.58209945,168.5659811,0.217019467
Japan,Nozomi,Online images,Nozomi20030509,N,2003,2/21/1978,25,0,151,87,1.735632184,,"271, 139","278, 297",,,,,,41.82690522,149.5835887,0.279622287
Japan,Pal,Not online,Pal.20060611???? 005,N,2006,08/09/2000,6,0,219,118,1.855932203,,"998, 364","1018, 592",,,,,,47,222.4466228,0.211286642
Japan,Pal,Not online,Pal.20060611???? 006,N,2006,08/09/2000,6,0,202,120,1.683333333,,"1048, 286","1068, 520",,,,,,62.24347355,233.7354274,0.266298842
Japan,Pal,Not online,Pal.20060611???? 008,N,2006,08/09/2000,6,0,271,148,1.831081081,,"800, 414","780, 718",,,,,,86.5231183,303.2630871,0.285307121
Japan,Pal,Online images,Pal.20050414,N,2005,08/09/2000,5,0,76,40,1.9,,"275.3, 152","292, 234.7",,,,,,23.26069646,77.5067739,0.300111788
Japan,Pal,Online images,Pal.20060611,N,2006,08/09/2000,6,0,85,43,1.976744186,,"193.5, 116.5","198, 200.5","177.5, 129","211, 128.5","157.5, 135","226, 131.5","196, 180",20.59732992,84.12044936,0.244855206
Japan,Pan,Online images,Pan.20050414,N,2005,12/07/1983,22,0,129,73,1.767123288,,X,,,,,,,21.51139233,84.10493446,0.255768493
Japan,Pan,Online images,Pan.20060611_1,N,2006,12/07/1983,23,0,84,54,1.555555556,,"291.3, 114.7","278.7, 203.3",,,,,,17.12103969,86.01325479,0.199051178
Japan,Pan,Online images,Pan.20060611_2,N,2006,12/07/1983,23,0,116,58,2,,X,,,,,,,31.12073264,105.8642999,0.293968152
Japan,Pendesa,Online images,Pendesa.20050409,N,2005,02/02/1977,28,0,143,62,2.306451613,,"253, 98","274, 248",,,,,,60.02107963,156.2629835,0.384102993
Japan,Puchi,Online images,Puchi20050414,N,2005,01/01/1966,39,0,70,30,2.333333333,,"252, 52","255.3, 120.7",,,,,,25.3444274,68.63213533,0.369279307
Japan,Reiko,Online images,Reiko.20050414,N,2005,01/01/1966,39,0,162,93,1.741935484,,"268, 133","255, 305",,,,,,44.0596187,167.0464007,0.263756768
Japan,Reo,Online images,Reo.20050414_1,N,2005,5/18/1982,23,1,131,76,1.723684211,,"276, 99","275, 265",,,,,,55.05569907,162.3005237,0.339220711
Japan,Reo,Online images,Reo.20050414_2,N,2005,5/18/1982,23,1,125,59,2.118644068,,"296, 98","317, 226",,,,,,59.28988109,132.6566244,0.446942483
Japan,Ryu,Online images,Ryu.20121026,N,2012,2/20/1997,15,1,206,111,1.855855856,,"280, 129","249, 318",,,,,,38.55191305,178.9105922,0.215481446
Japan,Sachi,Online images,Sachi.20030512,N,2003,2/21/1977,26,0,125,76,1.644736842,,"292, 149","280, 283",,,,,,31.00064515,129.1897829,0.23996205
Japan,Sakura,Online images,Sakura.20050930,N,2005,4/26/1991,14,0,124,73,1.698630137,,"178.5, 103.5","178.5, 238.5",,,,,,34.30131193,131.5009506,0.260844593
Japan,Sanzo,Online images,Sanzo.20030402,N,2003,2/21/1974,29,1,179,104,1.721153846,,"249, 123","256, 299",,,,,,41.20594617,176.2367726,0.23381015
Japan,Satoru,Online images,Satoru.20050908,N,2005,1/24/1995,10,1,353,171,2.064327485,,"302, 207","251, 520",,,,,,101.3076996,312.0340526,0.32466873
Japan,Shiomi,Online images,Shiomi.20021112_1,N,2002,01/01/1980,22,0,106,49,2.163265306,,"338.7, 82.7","375.3, 185.3",,,,,,34.20073099,105.825942,0.323179084
Japan,Shiomi,Online images,Shiomi.20021112_2,N,2002,01/01/1980,22,0,104,45,2.311111111,,"325, 64","330, 160",,,,,,32.97347419,97.20185183,0.339226811
Japan,Shiomi,Online images,Shiomi.20030410,N,2003,01/01/1980,23,0,123,69,1.782608696,,"335.6, 84","342.4, 208","314, 102.4","361.2, 78.8","281.2, 110","384, 102.8 ","341.2, 179.2",28.82498916,124.1863116,0.23211084
Japan,Susumu,Online images,Susumu.20021128,N,2002,2/21/1978,24,1,86,47,1.829787234,,"255.3, 222.7","258.7, 299.3",,,,,,12.53235812,72.26229999,0.173428719
Japan,Suzumi,Online images,Suzumi.20030312,N,2003,8/25/1996,7,0,223,113,1.973451327,,"162, 97","150, 334",,,,,,68.09001395,235.6719118,0.288918664
Japan,Suzumi,Online images,Suzumi.20090417,N,2009,8/25/1996,13,0,200,95,2.105263158,,"259.5, 108","289.5, 325.5",,,,,,79.85298993,216.924526,0.368114161
Japan,Suzumi,Online images,Suzumi.20090429,N,2009,8/25/1996,13,0,141,86,1.639534884,,"314, 166","297, 310",,,,,,25.44661078,144.2175093,0.176446056
Japan,Takashi,Online images,Takashi.20090406,N,2009,4/30/1988,21,1,200,115,1.739130435,,"262.5, 168","312, 390",,,,,,67.82514283,220.5957842,0.307463459
Japan,Tamae,Online images,Tamae.20030320,N,2003,2/21/1979,24,0,99,54,1.833333333,,"303, 150","321, 251",,,,,,31.86361561,101.4347081,0.314129317
Japan,Tom,Online images,Tom.20050706,N,2005,8/26/1996,9,1,209,130,1.607692308,,X,,,,,,,58.50213671,227.8431478,0.25676496
Japan,Tsubaki,Online images,Tsubaki.20061020,N,2006,2/17/1996,10,0,113,58,1.948275862,,"260, 105","270, 211",,,,,,26.87936011,103.8168098,0.258911444
Japan,Tsubaki,Online images,Tsubaki.20070113,N,2007,2/17/1996,11,0,263,131,2.007633588,,"385, 72","337, 381",,,,,,94.28281922,303.7371396,0.310409255
Japan,Tsutomu,Not online,Tsutomu.JMC.Alpha.Male. 2013-07-24 06.04.13-1,N,2013,01/01/1985,28,1,394,234,1.683760684,No pers data,"1272, 759","1281, 1173",,,,,,97.50512807,396.1114111,0.246155817
Japan,Tsutomu,Not online,Tsutomu.JMC.Alpha.Male. 2013-07-24 06.04.13-2,N,2013,01/01/1985,28,1,362,188,1.925531915,No pers data,"1179, 576","1209, 957",,,,,,109.9113279,408.5688436,0.269015442
Japan,Tsutomu,Not online,Tsutomu.JMC.Alpha.Male.2013-07-24 06.03.56,N,2013,01/01/1985,28,1,399,241,1.65560166,No pers data,"1278, 807","1293, 1215",,,,,,131.2440475,380.3531254,0.345058417
Japan,Yamato,Online images,Yamato.20060126_1,N,2006,06/02/1999,7,1,222,132,1.681818182,,"292.5, 154.5","306, 397.5",,,,,,61.16575839,236.0095337,0.259166473
Japan,Yamato,Online images,Yamato.20060126_2,N,2006,06/02/1999,7,1,110,54,2.037037037,,"208, 282","213, 404",,,,,,44.90267253,124.3971061,0.360962356
Japan,Yoshizu,Online images,Yoshizu.20031022,N,2003,8/29/1990,13,0,97,49,1.979591837,,"336, 134","342, 228",,,,,,25.3505424,92.27025523,0.274742303
Japan,Yotaro,Online images,Yotaro.20060126,N,2006,01/01/1963,43,1,306,161,1.900621118,,"165, 442.5","466.5, 508.5",,,,,,86.22354667,290.2623813,0.297053811
Japan,Yukio,Online images,Yukio.20050930,N,2005,1/26/1987,18,1,273,113,2.415929204,,"297, 113","318, 379",,,,,,90.00277773,259.1611468,0.347284996
Japan,Yukio,Online images,Yukio.20070718,N,2007,1/26/1987,20,1,90,43,2.093023256,,"233.3, 78","261.3, 156",,,,,,20.14447815,82.10152252,0.245360592
Japan,Yuko,Online images,Yuko.20031023,N,2003,01/01/1978,25,0,116,51,2.274509804,,"263, 135","311, 236",,,,,,35.7762491,105.5968276,0.338800416
Japan,Yuri,Online images,Yuri.20121026,N,2012,01/01/1971,41,0,143,98,1.459183673,,"370, 136","288, 283",,,,,,35.92352989,165.563432,0.216977442
Yerkes,Agatha,,,,,,,0,,,1.34,,"78.5, 7.5","80.5, 166.5","59,68.5","99.5, 70.5","34.76, 73.5","125.5, 77","76.5, 135",31.75295262,159.0125781,0.199688308
Yerkes,Barbie,,,,,,,0,,,1.06,,"80.5, 66","88.5, 174","63, 81","99.5, 79","44, 85.5","121, 82","84.5, 152.5",21.86892773,108.295891,0.201936819
Yerkes,Barney,,,,,,,1,,,1.55,,"95, 52","101, 164","75, 63.5","114.5, 62","44.5, 69","144, 67","97, 124.5",39.70201506,112.1605991,0.353974706
Yerkes,Bjorn,,,,,,,1,,,1.16,,"100, 58","99.5, 175.5","79.5, 73.5","115, 73.5","58, 77","138, 74.5","99, 142.5",33.00378766,117.5010638,0.280880756
Yerkes,Callie,,,,,,,0,,,1.33,,"88, 51","93, 170","65, 62","114, 62","41.5, 66.5","137.5, 66.5","91.5, 134",36.03123645,119.1049957,0.302516584
Yerkes,Conan,,,,,,,1,,,1.04,REDO,"81, 66","80, 67.5","64, 76","102, 76","40.5, 79","103, 79","78, 133.5",66.03029608,1.802775638,36.62701819
Yerkes,Cynthia,,,,,,,0,,,1.19,,"87, 60.5","87, 166.5","68, 74","105.5, 75.5","49, 78.5","129, 80.5","86.5, 141",25.50490149,106,0.240612278
Yerkes,Duff,,,,,,,1,,,1.41,,"79, 57.5","75.5, 163","61, 69.5","99, 71","41, 72.5","127.5, 75.5","74, 129.5",33.53356527,105.5580409,0.317678928
Yerkes,Fiona,,,,,,,0,,,1.08,,"101, 52","98.5, 167.5","79.5, 67.5","121, 69.5","56, 75","139, 73.5","101, 145",22.63846285,115.5270531,0.195958109
Yerkes,Fritz,,,,,,,1,,,1.31,,"91.5, 64.5","94, 167","72.5, 79","101.5, 77.5","46, 84","134.5, 80","93.5, 143.5",23.50531855,102.5304833,0.229252002
Yerkes,Georgia,,,,,,,0,,,1.18,,"96, 57","98, 165.5","77, 69","117, 68.5","52, 74.5","136, 70","78, 140",32.40756085,108.5184316,0.298636465
Yerkes,Jimmy,,,,,,,1,,,1.1,,"98, 62.5","96, 164","78.5, 73.5","114.5, 75.5","57, 78","133.5, 80","96, 143.5",20.5,101.5197025,0.201931246
Yerkes,Kengee,,,,,,,1,,,1.33,,"96.5, 63","97, 168","79, 75","115, 76","51, 80","137.5, 80","97.5, 139.5",28.50438563,105.0011905,0.271467261
Yerkes,Lee,,,,,,,1,,,2.01,,"97, 56","101, 149.5","77.5, 65","116, 65.5","44.5, 74.5","141.5, 76","100.5, 112.5",37.00337822,93.58552238,0.395396396
Yerkes,Les,,,,,,,1,,,1.46,,"89.5, 45.5","94, 162","67.5, 61.5","110, 61","40, 66","138, 68.5","92.5, 127.5",34.5325933,116.5868775,0.296196228
Yerkes,Martha,,,,,,,0,,,N/A,,X,,,,,,,NA,NA,NA
Yerkes,Mason,,,,,,,1,,,1.15,,"93.5, 57","94.5, 165.5","77, 71","109.5, 70.5","55.5, 74.5","129, 74.5","96.5, 134",31.5634282,108.5046082,0.290894818
Yerkes,Merv,,,,,,,1,,,1.2,,"82, 55","89.5, 156","65.5, 68.5","100, 67","46.5, 72","124, 72","83, 131",25.83118271,101.2780825,0.255052051
Yerkes,Phineus,,,,,,,1,,,1.12,,"87.5, 62","88.5, 168","68.5, 76","108, 76.5","48.5, 78","126, 79.5","89.5, 145",23.02172887,106.0047169,0.217176457
Yerkes,Rhett,,,,,,,1,,,1.35,,"101, 70","106, 160","83.5, 83.5","120, 81.5","62.5, 86","139.5, 82.5","105.5, 137.5",22.50555487,90.13878189,0.249676714
Yerkes,Rita,,,,,,,0,,,N/A,,X,,,,,,,NA,NA,NA
Yerkes,Rowena,,,,,,,0,,,1.41,,"103, 38","105.5, 153.5","81.5, 55","124.5, 55.5","55.5, 62.5","147.5, 61.5","105, 120",33.50373114,115.5270531,0.290007667
Yerkes,Rufus,,,,,,,1,,,N/A,,X,,,,,,,NA,NA,NA
Yerkes,Sheila,,,,,,,0,,,1.05,,"110.5, 46","106, 167","89.5, 62.5","128.5, 61","67, 69.5","148, 68","110, 139",28.28427125,121.0836488,0.233592822
Bastrop,,,,,,,,,,,,,,,,,,,,NA,NA,NA
Bastrop,,,,,,,,Sex,width,height,fHWR,Notes,A,B,C,D,E,F,G,NA,NA,NA
Bastrop,Totoni,,,,,,,1,,,1.663665,,"307, 240","322, 625","241, 296","374, 298","113, 319","500, 311","321, 526",99.00505038,385.292097,0.25696102
Bastrop,Staun,,,,,,,1,,,1.525198,,"315, 240","320, 638","258, 315","386, 313","149, 334","486, 334","317, 532",106.0424443,398.0314058,0.26641728
Bastrop,Sparky,,,,,,,1,,,1.651261,,"303, 214","306, 625","230, 275","379, 275","113, 297","506, 304","304, 513",112.0178557,411.0109488,0.272542267
Bastrop,Samson,,,,,,,1,,,1.385862,,"301, 259","306, 624","232, 304","374, 302","118, 322","472, 327","301, 556",68.18357573,365.034245,0.186786792
Bastrop,Rusty,,,,,,,1,,,1.403321,,"312, 281","311, 635","251, 315","373, 320","139, 338","494, 339","309, 563",72.02777242,354.0014124,0.203467472
Bastrop,Radar,,,,,,,1,,,1.62753,,"299, 258","296, 634","245, 308","363, 308","105, 321","507, 324","295, 555",79.00632886,376.0119679,0.210116527
Bastrop,Punch,,,,,,,1,,,1.504296,,"281, 268","268, 625","201, 300","361, 306","93, 309","460, 327","267, 539",86.00581376,357.2366163,0.240753075
Bastrop,Pecos,,,,,,,1,,,1.521087,,"290, 295","282, 620","230, 333","349, 335","133, 354","451, 357","288, 540",80.22468448,325.0984466,0.246770433
Bastrop,Pacer,,,,,,,1,,,1.692071,,"295, 270","286, 649","211, 312","366, 316","101, 330","472, 339","286, 527",122,379.1068451,0.321809014
